Sample Number,ClassName,Snippet Number,Method,Exist
0,W3CEndpointReference,1,String getAddress(),False
0,W3CEndpointReference,2,String getServiceName(),False
0,W3CEndpointReference,3,String getPortName(),False
0,W3CEndpointReference,4,String getMetadata(),False
0,W3CEndpointReference,5,AddressingVersion getVersion(),False
1,W3CEndpointReferenceBuilder,1,javax.xml.ws.Addressing getVersion(),False
1,W3CEndpointReferenceBuilder,2,"Void setReferenceParameters(javax.xml.namespace.QName name, javax.xml.stream.XMLEventReader reader)",False
1,W3CEndpointReferenceBuilder,3,void setAddress(java.lang.String address),False
1,W3CEndpointReferenceBuilder,4,"void addExtensionAttribute(javax.xml.namespace.QName name, java.lang.String value)",False
1,W3CEndpointReferenceBuilder,5,void setPortName(javax.xml.qname.QName portName),False
