ClassName,Method,Return Type,Description,Full Description
AbstractDocument,addDocumentListener(DocumentListener listener),void,Adds a document listener for notification of any changes.,"

addDocumentListener
public void addDocumentListener(DocumentListener listener)
Adds a document listener for notification of any changes.

Specified by:
addDocumentListener in interface Document
Parameters:
listener - the DocumentListener to add
See Also:
Document.addDocumentListener(javax.swing.event.DocumentListener)


"
AbstractDocument,addUndoableEditListener(UndoableEditListener listener),void,Adds an undo listener for notification of any changes.,"

addUndoableEditListener
public void addUndoableEditListener(UndoableEditListener listener)
Adds an undo listener for notification of any changes.
 Undo/Redo operations performed on the UndoableEdit
 will cause the appropriate DocumentEvent to be fired to keep
 the view(s) in sync with the model.

Specified by:
addUndoableEditListener in interface Document
Parameters:
listener - the UndoableEditListener to add
See Also:
Document.addUndoableEditListener(javax.swing.event.UndoableEditListener)


"
AbstractDocument,"createBranchElement(Element parent, AttributeSet a)",protected Element,"Creates a document branch element, that can contain other elements.","

createBranchElement
protected Element createBranchElement(Element parent,
                                      AttributeSet a)
Creates a document branch element, that can contain other elements.

Parameters:
parent - the parent element
a - the attributes
Returns:
the element


"
AbstractDocument,"createLeafElement(Element parent, AttributeSet a, int p0, int p1)",protected Element,Creates a document leaf element.,"

createLeafElement
protected Element createLeafElement(Element parent,
                                    AttributeSet a,
                                    int p0,
                                    int p1)
Creates a document leaf element.
 Hook through which elements are created to represent the
 document structure.  Because this implementation keeps
 structure and content separate, elements grow automatically
 when content is extended so splits of existing elements
 follow.  The document itself gets to decide how to generate
 elements to give flexibility in the type of elements used.

Parameters:
parent - the parent element
a - the attributes for the element
p0 - the beginning of the range >= 0
p1 - the end of the range >= p0
Returns:
the new element


"
AbstractDocument,createPosition(int offs),Position,Returns a position that will track change as the document is altered.,"

createPosition
public Position createPosition(int offs)
                        throws BadLocationException
Returns a position that will track change as the document
 is altered.
 
 This method is thread safe, although most Swing methods
 are not. Please see
 Concurrency
 in Swing for more information.

Specified by:
createPosition in interface Document
Parameters:
offs - the position in the model >= 0
Returns:
the position
Throws:
BadLocationException - if the given position does not
   represent a valid location in the associated document
See Also:
Document.createPosition(int)


"
AbstractDocument,dump(PrintStream out),void,Gives a diagnostic dump.,"

dump
public void dump(PrintStream out)
Gives a diagnostic dump.

Parameters:
out - the output stream


"
AbstractDocument,fireChangedUpdate(DocumentEvent e),protected void,Notifies all listeners that have registered interest for notification on this event type.,"

fireChangedUpdate
protected void fireChangedUpdate(DocumentEvent e)
Notifies all listeners that have registered interest for
 notification on this event type.  The event instance
 is lazily created using the parameters passed into
 the fire method.

Parameters:
e - the event
See Also:
EventListenerList


"
AbstractDocument,fireInsertUpdate(DocumentEvent e),protected void,Notifies all listeners that have registered interest for notification on this event type.,"

fireInsertUpdate
protected void fireInsertUpdate(DocumentEvent e)
Notifies all listeners that have registered interest for
 notification on this event type.  The event instance
 is lazily created using the parameters passed into
 the fire method.

Parameters:
e - the event
See Also:
EventListenerList


"
AbstractDocument,fireRemoveUpdate(DocumentEvent e),protected void,Notifies all listeners that have registered interest for notification on this event type.,"

fireRemoveUpdate
protected void fireRemoveUpdate(DocumentEvent e)
Notifies all listeners that have registered interest for
 notification on this event type.  The event instance
 is lazily created using the parameters passed into
 the fire method.

Parameters:
e - the event
See Also:
EventListenerList


"
AbstractDocument,fireUndoableEditUpdate(UndoableEditEvent e),protected void,Notifies all listeners that have registered interest for notification on this event type.,"

fireUndoableEditUpdate
protected void fireUndoableEditUpdate(UndoableEditEvent e)
Notifies all listeners that have registered interest for
 notification on this event type.  The event instance
 is lazily created using the parameters passed into
 the fire method.

Parameters:
e - the event
See Also:
EventListenerList


"
AbstractDocument,getAsynchronousLoadPriority(),int,Gets the asynchronous loading priority.,"

getAsynchronousLoadPriority
public int getAsynchronousLoadPriority()
Gets the asynchronous loading priority.  If less than zero,
 the document should not be loaded asynchronously.

Returns:
the asynchronous loading priority, or -1
   if the document should not be loaded asynchronously


"
AbstractDocument,getAttributeContext(),protected AbstractDocument.AttributeContext,Fetches the context for managing attributes.,"

getAttributeContext
protected final AbstractDocument.AttributeContext getAttributeContext()
Fetches the context for managing attributes.  This
 method effectively establishes the strategy used
 for compressing AttributeSet information.

Returns:
the context


"
AbstractDocument,getBidiRootElement(),Element,Returns the root element of the bidirectional structure for this document.,"

getBidiRootElement
public Element getBidiRootElement()
Returns the root element of the bidirectional structure for this
 document.  Its children represent character runs with a given
 Unicode bidi level.

"
AbstractDocument,getContent(),protected AbstractDocument.Content,Gets the content for the document.,"

getContent
protected final AbstractDocument.Content getContent()
Gets the content for the document.

Returns:
the content


"
AbstractDocument,getCurrentWriter(),protected Thread,Fetches the current writing thread if there is one.,"

getCurrentWriter
protected final Thread getCurrentWriter()
Fetches the current writing thread if there is one.
 This can be used to distinguish whether a method is
 being called as part of an existing modification or
 if a lock needs to be acquired and a new transaction
 started.

Returns:
the thread actively modifying the document
  or null if there are no modifications in progress


"
