ClassName,Method,Return Type,Description,Full Description
BreakIteratorProvider,getCharacterInstance(Locale locale),abstract BreakIterator,Returns a new BreakIterator instance for character breaks for the given locale.,"

getCharacterInstance
public abstract BreakIterator getCharacterInstance(Locale locale)
Returns a new BreakIterator instance
 for character breaks
 for the given locale.

Parameters:
locale - the desired locale
Returns:
A break iterator for character breaks
Throws:
NullPointerException - if locale is null
IllegalArgumentException - if locale isn't
     one of the locales returned from
     getAvailableLocales().
See Also:
BreakIterator.getCharacterInstance(java.util.Locale)


"
BreakIteratorProvider,getLineInstance(Locale locale),abstract BreakIterator,Returns a new BreakIterator instance for line breaks for the given locale.,"

getLineInstance
public abstract BreakIterator getLineInstance(Locale locale)
Returns a new BreakIterator instance
 for line breaks
 for the given locale.

Parameters:
locale - the desired locale
Returns:
A break iterator for line breaks
Throws:
NullPointerException - if locale is null
IllegalArgumentException - if locale isn't
     one of the locales returned from
     getAvailableLocales().
See Also:
BreakIterator.getLineInstance(java.util.Locale)


"
BreakIteratorProvider,getSentenceInstance(Locale locale),abstract BreakIterator,Returns a new BreakIterator instance for sentence breaks for the given locale.,"

getSentenceInstance
public abstract BreakIterator getSentenceInstance(Locale locale)
Returns a new BreakIterator instance
 for sentence breaks
 for the given locale.

Parameters:
locale - the desired locale
Returns:
A break iterator for sentence breaks
Throws:
NullPointerException - if locale is null
IllegalArgumentException - if locale isn't
     one of the locales returned from
     getAvailableLocales().
See Also:
BreakIterator.getSentenceInstance(java.util.Locale)


"
BreakIteratorProvider,getWordInstance(Locale locale),abstract BreakIterator,Returns a new BreakIterator instance for word breaks for the given locale.,"

getWordInstance
public abstract BreakIterator getWordInstance(Locale locale)
Returns a new BreakIterator instance
 for word breaks
 for the given locale.

Parameters:
locale - the desired locale
Returns:
A break iterator for word breaks
Throws:
NullPointerException - if locale is null
IllegalArgumentException - if locale isn't
     one of the locales returned from
     getAvailableLocales().
See Also:
BreakIterator.getWordInstance(java.util.Locale)


"
CollatorProvider,getInstance(Locale locale),abstract Collator,Returns a new Collator instance for the specified locale.,"

getInstance
public abstract Collator getInstance(Locale locale)
Returns a new Collator instance for the specified locale.

Parameters:
locale - the desired locale.
Returns:
the Collator for the desired locale.
Throws:
NullPointerException - if
 locale is null
IllegalArgumentException - if locale isn't
     one of the locales returned from
     getAvailableLocales().
See Also:
Collator.getInstance(java.util.Locale)


"
DateFormatProvider,"getDateInstance(int style, Locale locale)",abstract DateFormat,Returns a new DateFormat instance which formats date with the given formatting style for the specified locale.,"

getDateInstance
public abstract DateFormat getDateInstance(int style,
                                           Locale locale)
Returns a new DateFormat instance which formats date
 with the given formatting style for the specified locale.

Parameters:
style - the given formatting style.  Either one of
     DateFormat.SHORT,
     DateFormat.MEDIUM,
     DateFormat.LONG, or
     DateFormat.FULL.
locale - the desired locale.
Returns:
a date formatter.
Throws:
IllegalArgumentException - if style is invalid,
     or if locale isn't
     one of the locales returned from
     getAvailableLocales().
NullPointerException - if locale is null
See Also:
DateFormat.getDateInstance(int, java.util.Locale)


"
DateFormatProvider,"getDateTimeInstance(int dateStyle, int timeStyle, Locale locale)",abstract DateFormat,Returns a new DateFormat instance which formats date and time with the given formatting style for the specified locale.,"

getDateTimeInstance
public abstract DateFormat getDateTimeInstance(int dateStyle,
                                               int timeStyle,
                                               Locale locale)
Returns a new DateFormat instance which formats date and time
 with the given formatting style for the specified locale.

Parameters:
dateStyle - the given date formatting style.  Either one of
     DateFormat.SHORT,
     DateFormat.MEDIUM,
     DateFormat.LONG, or
     DateFormat.FULL.
timeStyle - the given time formatting style.  Either one of
     DateFormat.SHORT,
     DateFormat.MEDIUM,
     DateFormat.LONG, or
     DateFormat.FULL.
locale - the desired locale.
Returns:
a date/time formatter.
Throws:
IllegalArgumentException - if dateStyle or
     timeStyle is invalid,
     or if locale isn't
     one of the locales returned from
     getAvailableLocales().
NullPointerException - if locale is null
See Also:
DateFormat.getDateTimeInstance(int, int, java.util.Locale)


"
DateFormatProvider,"getTimeInstance(int style, Locale locale)",abstract DateFormat,Returns a new DateFormat instance which formats time with the given formatting style for the specified locale.,"

getTimeInstance
public abstract DateFormat getTimeInstance(int style,
                                           Locale locale)
Returns a new DateFormat instance which formats time
 with the given formatting style for the specified locale.

Parameters:
style - the given formatting style.  Either one of
     DateFormat.SHORT,
     DateFormat.MEDIUM,
     DateFormat.LONG, or
     DateFormat.FULL.
locale - the desired locale.
Returns:
a time formatter.
Throws:
IllegalArgumentException - if style is invalid,
     or if locale isn't
     one of the locales returned from
     getAvailableLocales().
NullPointerException - if locale is null
See Also:
DateFormat.getTimeInstance(int, java.util.Locale)


"
DateFormatSymbolsProvider,getInstance(Locale locale),abstract DateFormatSymbols,Returns a new DateFormatSymbols instance for the specified locale.,"

getInstance
public abstract DateFormatSymbols getInstance(Locale locale)
Returns a new DateFormatSymbols instance for the
 specified locale.

Parameters:
locale - the desired locale
Returns:
a DateFormatSymbols instance.
Throws:
NullPointerException - if locale is null
IllegalArgumentException - if locale isn't
     one of the locales returned from
     getAvailableLocales().
See Also:
DateFormatSymbols.getInstance(java.util.Locale)


"
DecimalFormatSymbolsProvider,getInstance(Locale locale),abstract DecimalFormatSymbols,Returns a new DecimalFormatSymbols instance for the specified locale.,"

getInstance
public abstract DecimalFormatSymbols getInstance(Locale locale)
Returns a new DecimalFormatSymbols instance for the
 specified locale.

Parameters:
locale - the desired locale
Returns:
a DecimalFormatSymbols instance.
Throws:
NullPointerException - if locale is null
IllegalArgumentException - if locale isn't
     one of the locales returned from
     getAvailableLocales().
See Also:
DecimalFormatSymbols.getInstance(java.util.Locale)


"
