FileName,Compilable,Runnable,Correct
Authenticator_2,True,True,True
Authenticator_3,True,True,True
CacheRequest_1,False,False,False
CacheRequest_2,True,True,True
CacheResponse_2,False,False,False
ContentHandler_1,True,True,True
ContentHandler_3,False,False,False
CookieHandler_1,True,True,True
CookieHandler_2,False,False,False
CookieHandler_4,True,False,False
CookieManager_1,True,True,True
CookieManager_3,False,False,False
DatagramPacket_1,True,True,True
DatagramPacket_2,True,True,True
DatagramPacket_3,True,True,True
DatagramPacket_4,True,True,True
DatagramPacket_5,True,True,True
DatagramSocket_1,False,False,False
DatagramSocket_2,True,True,True
DatagramSocket_3,False,False,False
DatagramSocket_4,True,True,True
DatagramSocket_5,True,True,True
DatagramSocketImpl_1,False,False,False
DatagramSocketImpl_2,False,False,False
DatagramSocketImpl_5,False,False,False
HttpCookie_1,True,True,True
HttpCookie_2,True,True,True
HttpCookie_3,True,True,True
HttpCookie_4,True,True,True
HttpCookie_5,True,True,True
HttpURLConnection_1,False,False,False
HttpURLConnection_2,True,True,True
IDN_1,True,True,True
IDN_2,True,True,True
Inet6Address_2,True,True,True
Inet6Address_3,True,True,True
Inet6Address_4,True,True,True
Inet6Address_5,True,True,True
InetAddress_1,True,True,True
InetAddress_2,True,True,True
InetAddress_3,True,True,True
InetAddress_4,True,True,True
InetAddress_5,True,True,True
InetSocketAddress_1,True,True,True
InetSocketAddress_2,True,True,True
InetSocketAddress_3,True,True,True
InetSocketAddress_4,True,True,True
InetSocketAddress_5,True,True,True
InterfaceAddress_1,False,False,False
InterfaceAddress_2,False,False,False
InterfaceAddress_3,False,False,False
InterfaceAddress_4,False,False,False
InterfaceAddress_5,False,False,False
JarURLConnection_1,False,False,False
JarURLConnection_2,False,False,False
JarURLConnection_3,True,False,False
JarURLConnection_4,True,False,False
MulticastSocket_1,True,False,False
MulticastSocket_2,True,False,False
MulticastSocket_3,True,False,False
MulticastSocket_4,True,True,True
MulticastSocket_5,False,False,False
NetworkInterface_1,True,True,True
NetworkInterface_2,True,False,False
NetworkInterface_3,True,True,True
NetworkInterface_4,True,False,False
NetworkInterface_5,True,True,True
PasswordAuthentication_1,True,True,True
PasswordAuthentication_2,True,True,True
Proxy_1,True,True,True
Proxy_2,True,False,False
Proxy_3,True,True,True
Proxy_4,True,True,True
Proxy_5,True,True,True
ProxySelector_1,True,True,True
ProxySelector_2,True,True,True
ProxySelector_3,True,True,True
ProxySelector_4,True,True,True
ProxySelector_5,True,True,True
ResponseCache_1,True,True,True
ResponseCache_2,False,False,False
ResponseCache_3,False,False,False
ResponseCache_4,False,False,False
SecureCacheResponse_3,False,False,False
SecureCacheResponse_4,False,False,False
SecureCacheResponse_5,False,False,False
ServerSocket_1,False,False,False
ServerSocket_2,True,False,False
ServerSocket_3,True,True,True
ServerSocket_4,True,True,True
ServerSocket_5,True,True,True
Socket_1,True,True,True
Socket_2,True,True,True
Socket_3,True,True,True
Socket_4,True,True,True
Socket_5,True,True,True
SocketImpl_3,False,False,False
SocketImpl_4,False,False,False
SocketImpl_5,True,True,True
URI_1,True,True,True
URI_2,True,True,True
URI_3,True,True,True
URI_4,True,True,True
URI_5,True,True,True
URL_1,True,True,True
URL_2,True,True,True
URL_3,True,True,True
URL_4,True,True,True
URL_5,True,True,True
URLClassLoader_1,False,False,False
URLClassLoader_2,True,False,False
URLClassLoader_3,True,False,False
URLClassLoader_4,False,False,False
URLClassLoader_5,False,False,False
URLConnection_1,True,True,True
URLConnection_2,True,True,True
URLConnection_3,True,False,False
URLConnection_4,True,True,True
URLConnection_5,True,True,True
URLDecoder_1,True,True,True
URLDecoder_2,True,True,True
URLEncoder_1,True,True,True
URLEncoder_2,True,True,True
URLPermission_1,False,False,False
URLStreamHandler_2,False,False,False
URLStreamHandler_3,False,False,False
URLStreamHandler_5,False,False,False
