Sample Number,ClassName,Snippet Number,Method,Exist,Description,Full Description
0,Lease,1,long getExpiration(),False,,NULL
0,Lease,2,boolean isValid(),False,,NULL
0,Lease,3,void cancel(),False,,NULL
0,Lease,4,Object getVMID(),False,,NULL
0,Lease,5,void renew(long duration),False,,NULL
1,VMID,1,String toString(),True,,"

toString
public String toString()
Return string representation of this VMID.

Overrides:
toString in class Object
Returns:
a string representation of the object.


"
1,VMID,2,boolean equals(Object obj),True,,"

equals
public boolean equals(Object obj)
Compare this VMID to another, and return true if they are the
 same identifier.

Overrides:
equals in class Object
Parameters:
obj - the reference object with which to compare.
Returns:
true if this object is the same as the obj
          argument; false otherwise.
See Also:
Object.hashCode(), 
HashMap


"
1,VMID,3,int hashCode(),True,,"

hashCode
public int hashCode()
Compute hash code for this VMID.

Overrides:
hashCode in class Object
Returns:
a hash code value for this object.
See Also:
Object.equals(java.lang.Object), 
System.identityHashCode(java.lang.Object)


"
1,VMID,4,VMID(),False,,NULL
1,VMID,5,byte[] getAddr(),False,,NULL
