Sample Number,ClassName,Snippet Number,Method,Exist
0,DiagnosticCollector,1,boolean add(Diagnostic<? extends JavaFileObject> diagnostic),False
0,DiagnosticCollector,2,void clear(),False
0,DiagnosticCollector,3,boolean contains(Object o),False
0,DiagnosticCollector,4,boolean isEmpty(),False
0,DiagnosticCollector,5,int size(),False
1,ForwardingFileObject,1,boolean delete(),True
1,ForwardingFileObject,2,boolean exists(),False
1,ForwardingFileObject,3,String getName(),True
1,ForwardingFileObject,4,URI toUri(),True
1,ForwardingFileObject,5,FileObject getParent(),False
2,ForwardingJavaFileManager,1,boolean close(),False
2,ForwardingJavaFileManager,2,"JavaFileObject getJavaFileForOutput(Location location, String className, JavaFileObject.Kind kind, FileObject sibling) throws IOException",False
2,ForwardingJavaFileManager,3,"JavaFileObject getJavaFileForInput(Location location, String className, JavaFileObject.Kind kind) throws IOException",False
2,ForwardingJavaFileManager,4,"JavaFileObject getJavaFileForOutput(Location location, String className, JavaFileObject.Kind kind, FileObject sibling) throws IOException",False
2,ForwardingJavaFileManager,5,"JavaFileObject getJavaFileForInput(Location location, String className, JavaFileObject.Kind kind) throws IOException",False
3,ForwardingJavaFileObject,1,"boolean isNameCompatible(String simpleName, Kind kind)",False
3,ForwardingJavaFileObject,2,CharSequence getCharContent(boolean ignoreEncodingErrors) throws IOException,False
3,ForwardingJavaFileObject,3,OutputStream openOutputStream() throws IOException,False
3,ForwardingJavaFileObject,4,Reader openReader(boolean ignoreEncodingErrors) throws IOException,False
3,ForwardingJavaFileObject,5,Writer openWriter() throws IOException,False
4,SimpleJavaFileObject,1,boolean add(E e),False
4,SimpleJavaFileObject,2,"void add(int index, E element)",False
4,SimpleJavaFileObject,3,boolean addAll(Collection<? extends E> c),False
4,SimpleJavaFileObject,4,E get(int index),False
4,SimpleJavaFileObject,5,E remove(int index),False
4,SimpleJavaFileObject,6,int size(),False
4,SimpleJavaFileObject,7,boolean isEmpty(),False
4,SimpleJavaFileObject,8,boolean contains(Object o),False
4,SimpleJavaFileObject,9,Iterator<E> iterator(),False
4,SimpleJavaFileObject,10,Object[] toArray(),False
5,ToolProvider,1,Tool getTool(String name),False
5,ToolProvider,2,FileObject getFileManager(Location location),False
5,ToolProvider,3,JavaFileManager getJavaFileManager(Location location),False
5,ToolProvider,4,DiagnosticCollector<JavaFileObject> getDiagnosticCollector(),False
5,ToolProvider,5,JavaCompiler getJavaCompiler(),False
