Sample Number,ClassName,Snippet Number,Method,Exist,Description,Full Description
0,Certificate,1,CertificateFactory getInstance(String type),False,,NULL
0,Certificate,2,Certificate generateCertificate(InputStream in),False,,NULL
0,Certificate,3,"Certificate generateCertificate(InputStream in, String provider)",False,,NULL
0,Certificate,4,"CertPath getInstance(InputStream in, String provider)",False,,NULL
0,Certificate,5,CertPath getInstance(InputStream in),False,,NULL
0,Certificate,6,"CertPath getInstance(CertPath certPath, CertPathParameters parameters)",False,,NULL
0,Certificate,7,"CertPath getInstance(CertPath certPath, CertPathParameters parameters, String provider)",False,,NULL
0,Certificate,8,"CertPath getInstance(String type, InputStream in)",False,,NULL
0,Certificate,9,"CertPath getInstance(String type, InputStream in, String provider)",False,,NULL
0,Certificate,10,"CertPath getInstance(String type, CertPath certPath)",False,,NULL
0,Certificate,11,"CertPath getInstance(String type, CertPath certPath, String provider)",False,,NULL
0,Certificate,12,"CertPath getInstance(String type, CertPath certPath, CertPathParameters parameters)",False,,NULL
0,Certificate,13,"CertPath getInstance(String type, CertPath certPath, CertPathParameters parameters, String provider)",False,,NULL
0,Certificate,14,"CertPath getInstance(String type, String path)",False,,NULL
0,Certificate,15,"CertPath getInstance(String type, String path, String provider)",False,,NULL
0,Certificate,16,"CertPath getInstance(String type, String path, CertPathParameters parameters)",False,,NULL
0,Certificate,17,"CertPath getInstance(String type, String path, CertPathParameters parameters, String provider)",False,,NULL
1,Certificate.CertificateRep,1,Certificate getCertificate(byte[] encoded),False,,NULL
1,Certificate.CertificateRep,2,Certificate getCertificate(InputStream inStream),False,,NULL
1,Certificate.CertificateRep,3,"Certificate getCertificate(String type, byte[] encoded)",False,,NULL
1,Certificate.CertificateRep,4,"Certificate getCertificate(String type, InputStream inStream)",False,,NULL
1,Certificate.CertificateRep,5,"Certificate getCertificate(String type, String certPath)",False,,NULL
