ClassName,Method,Return Type,Description
Buffer,array(),abstract Object,Returns the array that backs this buffer (optional operation).
Buffer,arrayOffset(),abstract int,Returns the offset within this buffer's backing array of the first element of the buffer (optional operation).
Buffer,capacity(),int,Returns this buffer's capacity.
Buffer,clear(),Buffer,Clears this buffer.
Buffer,flip(),Buffer,Flips this buffer.
Buffer,hasArray(),abstract boolean,Tells whether or not this buffer is backed by an accessible array.
Buffer,hasRemaining(),boolean,Tells whether there are any elements between the current position and the limit.
Buffer,isDirect(),abstract boolean,Tells whether or not this buffer is direct.
Buffer,isReadOnly(),abstract boolean,Tells whether or not this buffer is read-only.
Buffer,limit(),int,Returns this buffer's limit.
Buffer,limit(int newLimit),Buffer,Sets this buffer's limit.
Buffer,mark(),Buffer,Sets this buffer's mark at its position.
Buffer,position(),int,Returns this buffer's position.
Buffer,position(int newPosition),Buffer,Sets this buffer's position.
Buffer,remaining(),int,Returns the number of elements between the current position and the limit.
Buffer,reset(),Buffer,Resets this buffer's position to the previously-marked position.
Buffer,rewind(),Buffer,Rewinds this buffer.
ByteBuffer,allocate(int capacity),static ByteBuffer,Allocates a new byte buffer.
ByteBuffer,allocateDirect(int capacity),static ByteBuffer,Allocates a new direct byte buffer.
ByteBuffer,array(),byte[],Returns the byte array that backs this buffer (optional operation).
ByteBuffer,arrayOffset(),int,Returns the offset within this buffer's backing array of the first element of the buffer (optional operation).
ByteBuffer,asCharBuffer(),abstract CharBuffer,Creates a view of this byte buffer as a char buffer.
ByteBuffer,asDoubleBuffer(),abstract DoubleBuffer,Creates a view of this byte buffer as a double buffer.
ByteBuffer,asFloatBuffer(),abstract FloatBuffer,Creates a view of this byte buffer as a float buffer.
ByteBuffer,asIntBuffer(),abstract IntBuffer,Creates a view of this byte buffer as an int buffer.
ByteBuffer,asLongBuffer(),abstract LongBuffer,Creates a view of this byte buffer as a long buffer.
ByteBuffer,asReadOnlyBuffer(),abstract ByteBuffer,"Creates a new, read-only byte buffer that shares this buffer's content."
ByteBuffer,asShortBuffer(),abstract ShortBuffer,Creates a view of this byte buffer as a short buffer.
ByteBuffer,compact(),abstract ByteBuffer,Compacts this buffer (optional operation).
ByteBuffer,compareTo(ByteBuffer that),int,Compares this buffer to another.
ByteBuffer,duplicate(),abstract ByteBuffer,Creates a new byte buffer that shares this buffer's content.
ByteBuffer,equals(Object ob),boolean,Tells whether or not this buffer is equal to another object.
ByteBuffer,get(),abstract byte,Relative get method.
ByteBuffer,get(byte[] dst),ByteBuffer,Relative bulk get method.
ByteBuffer,"get(byte[] dst, int offset, int length)",ByteBuffer,Relative bulk get method.
ByteBuffer,get(int index),abstract byte,Absolute get method.
ByteBuffer,getChar(),abstract char,Relative get method for reading a char value.
ByteBuffer,getChar(int index),abstract char,Absolute get method for reading a char value.
ByteBuffer,getDouble(),abstract double,Relative get method for reading a double value.
ByteBuffer,getDouble(int index),abstract double,Absolute get method for reading a double value.
ByteBuffer,getFloat(),abstract float,Relative get method for reading a float value.
ByteBuffer,getFloat(int index),abstract float,Absolute get method for reading a float value.
ByteBuffer,getInt(),abstract int,Relative get method for reading an int value.
ByteBuffer,getInt(int index),abstract int,Absolute get method for reading an int value.
ByteBuffer,getLong(),abstract long,Relative get method for reading a long value.
ByteBuffer,getLong(int index),abstract long,Absolute get method for reading a long value.
ByteBuffer,getShort(),abstract short,Relative get method for reading a short value.
ByteBuffer,getShort(int index),abstract short,Absolute get method for reading a short value.
ByteBuffer,hasArray(),boolean,Tells whether or not this buffer is backed by an accessible byte array.
ByteBuffer,hashCode(),int,Returns the current hash code of this buffer.
ByteBuffer,isDirect(),abstract boolean,Tells whether or not this byte buffer is direct.
ByteBuffer,order(),ByteOrder,Retrieves this buffer's byte order.
ByteBuffer,order(ByteOrder bo),ByteBuffer,Modifies this buffer's byte order.
ByteBuffer,put(byte b),abstract ByteBuffer,Relative put method (optional operation).
ByteBuffer,put(byte[] src),ByteBuffer,Relative bulk put method (optional operation).
ByteBuffer,"put(byte[] src, int offset, int length)",ByteBuffer,Relative bulk put method (optional operation).
ByteBuffer,put(ByteBuffer src),ByteBuffer,Relative bulk put method (optional operation).
ByteBuffer,"put(int index, byte b)",abstract ByteBuffer,Absolute put method (optional operation).
ByteBuffer,putChar(char value),abstract ByteBuffer,Relative put method for writing a char value (optional operation).
ByteBuffer,"putChar(int index, char value)",abstract ByteBuffer,Absolute put method for writing a char value (optional operation).
ByteBuffer,putDouble(double value),abstract ByteBuffer,Relative put method for writing a double value (optional operation).
ByteBuffer,"putDouble(int index, double value)",abstract ByteBuffer,Absolute put method for writing a double value (optional operation).
ByteBuffer,putFloat(float value),abstract ByteBuffer,Relative put method for writing a float value (optional operation).
ByteBuffer,"putFloat(int index, float value)",abstract ByteBuffer,Absolute put method for writing a float value (optional operation).
ByteBuffer,putInt(int value),abstract ByteBuffer,Relative put method for writing an int value (optional operation).
ByteBuffer,"putInt(int index, int value)",abstract ByteBuffer,Absolute put method for writing an int value (optional operation).
ByteBuffer,"putLong(int index, long value)",abstract ByteBuffer,Absolute put method for writing a long value (optional operation).
ByteBuffer,putLong(long value),abstract ByteBuffer,Relative put method for writing a long value (optional operation).
ByteBuffer,"putShort(int index, short value)",abstract ByteBuffer,Absolute put method for writing a short value (optional operation).
ByteBuffer,putShort(short value),abstract ByteBuffer,Relative put method for writing a short value (optional operation).
ByteBuffer,slice(),abstract ByteBuffer,Creates a new byte buffer whose content is a shared subsequence of this buffer's content.
ByteBuffer,toString(),String,Returns a string summarizing the state of this buffer.
ByteBuffer,wrap(byte[] array),static ByteBuffer,Wraps a byte array into a buffer.
ByteBuffer,"wrap(byte[] array, int offset, int length)",static ByteBuffer,Wraps a byte array into a buffer.
ByteOrder,nativeOrder(),static ByteOrder,Retrieves the native byte order of the underlying platform.
ByteOrder,toString(),String,Constructs a string describing this object.
CharBuffer,allocate(int capacity),static CharBuffer,Allocates a new char buffer.
CharBuffer,append(char c),CharBuffer,Appends the specified char to this buffer (optional operation).
CharBuffer,append(CharSequence csq),CharBuffer,Appends the specified character sequence to this buffer (optional operation).
CharBuffer,"append(CharSequence csq, int start, int end)",CharBuffer,Appends a subsequence of the specified character sequence to this buffer (optional operation).
CharBuffer,array(),char[],Returns the char array that backs this buffer (optional operation).
CharBuffer,arrayOffset(),int,Returns the offset within this buffer's backing array of the first element of the buffer (optional operation).
CharBuffer,asReadOnlyBuffer(),abstract CharBuffer,"Creates a new, read-only char buffer that shares this buffer's content."
CharBuffer,charAt(int index),char,Reads the character at the given index relative to the current position.
CharBuffer,chars(),IntStream,Returns a stream of int zero-extending the char values from this sequence.
CharBuffer,compact(),abstract CharBuffer,Compacts this buffer (optional operation).
CharBuffer,compareTo(CharBuffer that),int,Compares this buffer to another.
CharBuffer,duplicate(),abstract CharBuffer,Creates a new char buffer that shares this buffer's content.
CharBuffer,equals(Object ob),boolean,Tells whether or not this buffer is equal to another object.
CharBuffer,get(),abstract char,Relative get method.
CharBuffer,get(char[] dst),CharBuffer,Relative bulk get method.
CharBuffer,"get(char[] dst, int offset, int length)",CharBuffer,Relative bulk get method.
CharBuffer,get(int index),abstract char,Absolute get method.
CharBuffer,hasArray(),boolean,Tells whether or not this buffer is backed by an accessible char array.
CharBuffer,hashCode(),int,Returns the current hash code of this buffer.
CharBuffer,isDirect(),abstract boolean,Tells whether or not this char buffer is direct.
CharBuffer,length(),int,Returns the length of this character buffer.
CharBuffer,order(),abstract ByteOrder,Retrieves this buffer's byte order.
CharBuffer,put(char c),abstract CharBuffer,Relative put method (optional operation).
CharBuffer,put(char[] src),CharBuffer,Relative bulk put method (optional operation).
CharBuffer,"put(char[] src, int offset, int length)",CharBuffer,Relative bulk put method (optional operation).
CharBuffer,put(CharBuffer src),CharBuffer,Relative bulk put method (optional operation).
CharBuffer,"put(int index, char c)",abstract CharBuffer,Absolute put method (optional operation).
CharBuffer,put(String src),CharBuffer,Relative bulk put method (optional operation).
CharBuffer,"put(String src, int start, int end)",CharBuffer,Relative bulk put method (optional operation).
CharBuffer,read(CharBuffer target),int,Attempts to read characters into the specified character buffer.
