FileName,Compilable,Runnable,Correct
AccessibleObject_5,True,True,True
Array_1,True,True,True
Array_2,True,True,True
Array_3,True,True,True
Array_4,True,True,True
Array_5,True,True,True
Constructor_1,False,False,False
Field_1,True,False,False
Field_2,True,False,False
Field_3,True,False,False
Method_1,True,True,True
Method_2,True,True,True
Method_3,True,True,True
Method_4,True,True,True
Method_5,True,True,True
Modifier_2,True,True,True
Modifier_3,True,True,True
Modifier_4,True,True,True
Modifier_5,True,True,True
Proxy_1,True,False,False
