FileName,Compilable,Runnable,Correct
Authenticator_1,True,True,True
Authenticator_2,True,True,True
Authenticator_4,True,True,True
ContentHandler_3,False,False,False
CookieHandler_1,True,True,True
CookieHandler_2,True,True,True
DatagramPacket_2,True,True,True
DatagramPacket_3,True,True,True
DatagramPacket_4,True,True,True
DatagramPacket_5,True,True,True
DatagramPacket_6,True,True,True
DatagramPacket_7,True,True,True
DatagramPacket_8,True,True,True
DatagramSocket_4,True,True,True
DatagramSocket_5,True,False,False
DatagramSocket_6,True,True,True
DatagramSocket_7,True,True,True
DatagramSocket_8,True,True,True
DatagramSocket_9,True,True,True
DatagramSocket_10,True,True,True
DatagramSocket_11,True,True,True
DatagramSocket_12,True,True,True
DatagramSocket_13,True,True,True
DatagramSocket_14,True,True,True
DatagramSocket_17,True,True,True
DatagramSocket_18,True,True,True
DatagramSocket_19,True,True,True
DatagramSocket_20,True,True,True
DatagramSocket_21,True,True,True
DatagramSocket_22,True,True,True
DatagramSocket_25,True,False,False
DatagramSocket_26,True,True,True
DatagramSocket_27,True,False,False
DatagramSocket_28,True,True,True
DatagramSocket_29,True,True,True
DatagramSocket_30,True,True,True
DatagramSocket_31,True,True,True
HttpCookie_1,True,True,True
HttpCookie_2,True,True,True
HttpCookie_3,True,True,True
HttpCookie_4,True,True,True
HttpCookie_5,True,True,True
HttpURLConnection_1,True,True,True
HttpURLConnection_3,True,True,True
HttpURLConnection_5,False,False,False
IDN_1,True,True,True
IDN_2,True,True,True
InetAddress_1,True,True,True
InetAddress_2,True,True,True
InetAddress_3,True,True,True
InetAddress_4,True,True,True
InetAddress_5,True,True,True
InetSocketAddress_4,False,False,False
InetSocketAddress_5,True,True,True
MulticastSocket_3,True,False,False
MulticastSocket_4,True,False,False
MulticastSocket_5,False,False,False
NetworkInterface_3,True,True,True
NetworkInterface_4,True,True,True
Proxy_4,True,True,True
ProxySelector_1,True,True,True
ProxySelector_4,False,False,False
ServerSocket_2,True,False,False
ServerSocket_3,True,True,True
ServerSocket_4,True,True,True
ServerSocket_5,True,True,True
Socket_3,True,False,False
Socket_4,True,True,True
Socket_5,True,True,True
SocketImpl_5,False,False,False
SocketPermission_2,True,False,False
SocketPermission_3,True,True,True
SocketPermission_4,True,True,True
SocketPermission_5,True,True,True
URI_1,True,True,True
URI_2,True,True,True
URI_3,True,True,True
URI_4,True,True,True
URI_5,True,True,True
URL_3,True,True,True
URL_4,True,True,True
URL_5,True,True,True
URLConnection_1,True,True,True
URLConnection_2,True,True,True
URLConnection_3,True,True,True
URLConnection_4,True,True,True
URLConnection_5,True,True,True
URLDecoder_1,True,True,True
URLDecoder_2,True,True,True
URLEncoder_1,True,True,True
URLEncoder_2,True,True,True
URLPermission_2,True,True,True
URLPermission_3,True,True,True
URLPermission_4,True,True,True
