ClassName,URL,Description
AlreadyBoundHelper,https://docs.oracle.com/javase/8/docs/api/org/omg/CosNaming/NamingContextPackage/AlreadyBoundHelper.html,org/omg/CosNaming/NamingContextPackage/AlreadyBoundHelper.java .
AlreadyBoundHolder,https://docs.oracle.com/javase/8/docs/api/org/omg/CosNaming/NamingContextPackage/AlreadyBoundHolder.html,org/omg/CosNaming/NamingContextPackage/AlreadyBoundHolder.java .
CannotProceedHelper,https://docs.oracle.com/javase/8/docs/api/org/omg/CosNaming/NamingContextPackage/CannotProceedHelper.html,org/omg/CosNaming/NamingContextPackage/CannotProceedHelper.java .
CannotProceedHolder,https://docs.oracle.com/javase/8/docs/api/org/omg/CosNaming/NamingContextPackage/CannotProceedHolder.html,org/omg/CosNaming/NamingContextPackage/CannotProceedHolder.java .
InvalidNameHelper,https://docs.oracle.com/javase/8/docs/api/org/omg/CosNaming/NamingContextPackage/InvalidNameHelper.html,org/omg/CosNaming/NamingContextPackage/InvalidNameHelper.java .
InvalidNameHolder,https://docs.oracle.com/javase/8/docs/api/org/omg/CosNaming/NamingContextPackage/InvalidNameHolder.html,org/omg/CosNaming/NamingContextPackage/InvalidNameHolder.java .
NotEmptyHelper,https://docs.oracle.com/javase/8/docs/api/org/omg/CosNaming/NamingContextPackage/NotEmptyHelper.html,org/omg/CosNaming/NamingContextPackage/NotEmptyHelper.java .
NotEmptyHolder,https://docs.oracle.com/javase/8/docs/api/org/omg/CosNaming/NamingContextPackage/NotEmptyHolder.html,org/omg/CosNaming/NamingContextPackage/NotEmptyHolder.java .
NotFoundHelper,https://docs.oracle.com/javase/8/docs/api/org/omg/CosNaming/NamingContextPackage/NotFoundHelper.html,org/omg/CosNaming/NamingContextPackage/NotFoundHelper.java .
NotFoundHolder,https://docs.oracle.com/javase/8/docs/api/org/omg/CosNaming/NamingContextPackage/NotFoundHolder.html,org/omg/CosNaming/NamingContextPackage/NotFoundHolder.java .
NotFoundReason,https://docs.oracle.com/javase/8/docs/api/org/omg/CosNaming/NamingContextPackage/NotFoundReason.html,Indicates the reason for not able to resolve.
NotFoundReasonHelper,https://docs.oracle.com/javase/8/docs/api/org/omg/CosNaming/NamingContextPackage/NotFoundReasonHelper.html,Indicates the reason for not able to resolve.
NotFoundReasonHolder,https://docs.oracle.com/javase/8/docs/api/org/omg/CosNaming/NamingContextPackage/NotFoundReasonHolder.html,Indicates the reason for not able to resolve.
