Sample Number,ClassName,Snippet Number,Method,Exist
0,StAXResult,1,javax.xml.transform.stax.XMLEventConsumer getXMLEventConsumer(),False
0,StAXResult,2,javax.xml.stream.XMLStreamWriter getXMLStreamWriter(),False
0,StAXResult,3,void setSystemId(String systemId),True
0,StAXResult,4,void setXMLEventConsumer(javax.xml.transform.stax.XMLEventConsumer consumer),False
0,StAXResult,5,void setXMLStreamWriter(javax.xml.stream.XMLStreamWriter writer),False
1,StAXSource,1,XMLStreamReader getXMLStreamReader(),True
1,StAXSource,2,void setXMLStreamReader(XMLStreamReader reader),False
1,StAXSource,3,XMLEventReader getXMLEventReader(),True
1,StAXSource,4,void setXMLEventReader(XMLEventReader reader),False
1,StAXSource,5,void setSystemId(String systemId),True
