Sample Number,ClassName,Snippet Number,Method,Exist
0,ArrayType,1,ArrayType<ElementType> clone(),False
0,ArrayType,2,String getTypeName(),False
0,ArrayType,3,List<String> getDescription(),False
0,ArrayType,4,int getDimension(),True
0,ArrayType,5,OpenType<?> getElementType(),False
1,CompositeDataInvocationHandler,1,Object get(String key),False
1,CompositeDataInvocationHandler,2,boolean containsKey(String key),False
1,CompositeDataInvocationHandler,3,Set<String> keySet(),False
1,CompositeDataInvocationHandler,4,Collection<Object> values(),False
1,CompositeDataInvocationHandler,5,boolean equals(Object obj),False
2,CompositeDataSupport,1,Object get(String key),True
2,CompositeDataSupport,2,String[] getCompositeType(),False
2,CompositeDataSupport,3,boolean containsKey(String key),True
2,CompositeDataSupport,4,TabularData toTabularData(String tabularType),False
2,CompositeDataSupport,5,String toString(),True
3,CompositeType,1,String getTypeName(),False
3,CompositeType,2,"CompositeData from(Map<String, ?> items)",False
3,CompositeType,3,Set<String> keySet(),True
3,CompositeType,4,String getDescription(),False
3,CompositeType,5,boolean isValue(Object obj),True
4,OpenMBeanAttributeInfoSupport,1,String getType(),False
4,OpenMBeanAttributeInfoSupport,2,boolean isWritable(),False
4,OpenMBeanAttributeInfoSupport,3,boolean isReadable(),False
4,OpenMBeanAttributeInfoSupport,4,String getDescription(),False
4,OpenMBeanAttributeInfoSupport,5,String getName(),False
5,OpenMBeanConstructorInfoSupport,1,String getDescription(),False
5,OpenMBeanConstructorInfoSupport,2,String getName(),False
5,OpenMBeanConstructorInfoSupport,3,String getReturnType(),False
5,OpenMBeanConstructorInfoSupport,4,String getSignature(),False
5,OpenMBeanConstructorInfoSupport,5,MBeanParameterInfo[] getSignature(),False
6,OpenMBeanInfoSupport,1,String getClassName(),False
6,OpenMBeanInfoSupport,2,MBeanOperationInfo[] getOperations(),False
6,OpenMBeanInfoSupport,3,MBeanAttributeInfo[] getAttributes(),False
6,OpenMBeanInfoSupport,4,MBeanConstructorInfo[] getConstructors(),False
6,OpenMBeanInfoSupport,5,MBeanNotificationInfo[] getNotifications(),False
7,OpenMBeanOperationInfoSupport,1,String getDescription(),False
7,OpenMBeanOperationInfoSupport,2,String getName(),False
7,OpenMBeanOperationInfoSupport,3,OpenType<?> getReturnType(),False
7,OpenMBeanOperationInfoSupport,4,String getReturnOpenType(),False
7,OpenMBeanOperationInfoSupport,5,String[] getSignature(),False
8,OpenMBeanParameterInfoSupport,1,String getDescription(),False
8,OpenMBeanParameterInfoSupport,2,String getName(),False
8,OpenMBeanParameterInfoSupport,3,Object getDescriptor(),False
8,OpenMBeanParameterInfoSupport,4,String getOpenType(),False
8,OpenMBeanParameterInfoSupport,5,int getParameterIndex(),False
10,SimpleType,1,SimpleType<?> SimpleType.of(Class<?> valueType),False
10,SimpleType,2,SimpleType<?> SimpleType.getType(String typeName),False
10,SimpleType,3,boolean SimpleType.isArray(SimpleType<?> type),False
10,SimpleType,4,boolean SimpleType.isPrimitive(SimpleType<?> type),False
10,SimpleType,5,String SimpleType.getClassName(SimpleType<?> type),False
11,TabularDataSupport,1,"void put(CompositeData key, CompositeData value)",False
11,TabularDataSupport,2,Object remove(CompositeData key),False
11,TabularDataSupport,3,void clear(),True
11,TabularDataSupport,4,boolean isEmpty(),True
11,TabularDataSupport,5,int size(),True
12,TabularType,1,TabularType clone(),False
12,TabularType,2,String getDescription(),False
12,TabularType,3,String getKeyPropertyList(),False
12,TabularType,4,String[] getIndexNames(),False
12,TabularType,5,"Map<String, OpenType<?>> getRowType().get(name)",False
