Sample Number,ClassName,Snippet Number,Method,Exist
0,PrintEvent,1,PrintEvent getPrintEvent(),False
0,PrintEvent,2,PrintService getPrintService(),False
0,PrintEvent,3,PrintRequest getPrintRequest(),False
0,PrintEvent,4,PrintJob getPrintJob(),False
0,PrintEvent,5,PrintService getPrintServiceForState(PrintService.State state),False
1,PrintJobAdapter,1,void printDataTransferCompleted(PrintDataTransferEvent pdte),False
1,PrintJobAdapter,2,void printJobCanceled(PrintJobEvent pje),True
1,PrintJobAdapter,3,void printJobNoMoreEvents(PrintJobEvent pje),True
1,PrintJobAdapter,4,void printJobRequiresAttention(PrintJobEvent pje),True
1,PrintJobAdapter,5,void printJobFailed(PrintJobEvent pje),True
2,PrintJobAttributeEvent,1,PrintJobAttributeEvent.getSource(),False
2,PrintJobAttributeEvent,2,PrintJobAttributeEvent.getPrintJobAttribute(),False
2,PrintJobAttributeEvent,3,PrintJobAttributeEvent.getOldValue(),False
2,PrintJobAttributeEvent,4,PrintJobAttributeEvent.getNewValue(),False
2,PrintJobAttributeEvent,5,PrintJobAttributeEvent.getClass(),False
3,PrintJobEvent,1,PrintEvent getPrintEvent(),False
3,PrintJobEvent,2,PrintService getPrintService(),False
3,PrintJobEvent,3,PrintRequestAttributeSet getAttributes(),False
3,PrintJobEvent,4,PrintJob getPrintJob(),False
3,PrintJobEvent,5,Object getSource(),False
4,PrintServiceAttributeEvent,1,"PrintServiceAttributeEvent(PrintServiceAttributeEvent source, PrintServiceAttributeSet attributes)",False
4,PrintServiceAttributeEvent,2,PrintServiceAttributeSet getAttributes(),True
4,PrintServiceAttributeEvent,3,PrintService getPrintService(),True
4,PrintServiceAttributeEvent,4,PrintServiceAttributeEvent.Source getSource(),False
4,PrintServiceAttributeEvent,5,String toString(),False
