ClassName,Method,Return Type,Description,Full Description
Files,"copy(InputStream in, Path target, CopyOption... options)",static long,Copies all bytes from an input stream to a file.,"

copy
public static long copy(InputStream in,
                        Path target,
                        CopyOption... options)
                 throws IOException
Copies all bytes from an input stream to a file. On return, the input
 stream will be at end of stream.

  By default, the copy fails if the target file already exists or is a
 symbolic link. If the REPLACE_EXISTING option is specified, and the target file already exists,
 then it is replaced if it is not a non-empty directory. If the target
 file exists and is a symbolic link, then the symbolic link is replaced.
 In this release, the REPLACE_EXISTING option is the only option
 required to be supported by this method. Additional options may be
 supported in future releases.

   If an I/O error occurs reading from the input stream or writing to
 the file, then it may do so after the target file has been created and
 after some bytes have been read or written. Consequently the input
 stream may not be at end of stream and may be in an inconsistent state.
 It is strongly recommended that the input stream be promptly closed if an
 I/O error occurs.

  This method may block indefinitely reading from the input stream (or
 writing to the file). The behavior for the case that the input stream is
 asynchronously closed or the thread interrupted during the copy is
 highly input stream and file system provider specific and therefore not
 specified.

  Usage example: Suppose we want to capture a web page and save
 it to a file:
 
     Path path = ...
     URI u = URI.create(""http://java.sun.com/"");
     try (InputStream in = u.toURL().openStream()) {
         Files.copy(in, path);
     }
 

Parameters:
in - the input stream to read from
target - the path to the file
options - options specifying how the copy should be done
Returns:
the number of bytes read or written
Throws:
IOException - if an I/O error occurs when reading or writing
FileAlreadyExistsException - if the target file exists but cannot be replaced because the
          REPLACE_EXISTING option is not specified (optional
          specific exception)
DirectoryNotEmptyException - the REPLACE_EXISTING option is specified but the file
          cannot be replaced because it is a non-empty directory
          (optional specific exception)     *
UnsupportedOperationException - if options contains a copy option that is not supported
SecurityException - In the case of the default provider, and a security manager is
          installed, the checkWrite
          method is invoked to check write access to the file. Where the
          REPLACE_EXISTING option is specified, the security
          manager's checkDelete
          method is invoked to check that an existing file can be deleted.


"
Files,"copy(Path source, OutputStream out)",static long,Copies all bytes from a file to an output stream.,"

copy
public static long copy(Path source,
                        OutputStream out)
                 throws IOException
Copies all bytes from a file to an output stream.

  If an I/O error occurs reading from the file or writing to the output
 stream, then it may do so after some bytes have been read or written.
 Consequently the output stream may be in an inconsistent state. It is
 strongly recommended that the output stream be promptly closed if an I/O
 error occurs.

  This method may block indefinitely writing to the output stream (or
 reading from the file). The behavior for the case that the output stream
 is asynchronously closed or the thread interrupted during the copy
 is highly output stream and file system provider specific and therefore
 not specified.

  Note that if the given output stream is Flushable
 then its flush method may need to invoked
 after this method completes so as to flush any buffered output.

Parameters:
source - the  path to the file
out - the output stream to write to
Returns:
the number of bytes read or written
Throws:
IOException - if an I/O error occurs when reading or writing
SecurityException - In the case of the default provider, and a security manager is
          installed, the checkRead
          method is invoked to check read access to the file.


"
Files,"copy(Path source, Path target, CopyOption... options)",static Path,Copy a file to a target file.,"

copy
public static Path copy(Path source,
                        Path target,
                        CopyOption... options)
                 throws IOException
Copy a file to a target file.

  This method copies a file to the target file with the options parameter specifying how the copy is performed. By default, the
 copy fails if the target file already exists or is a symbolic link,
 except if the source and target are the same file, in
 which case the method completes without copying the file. File attributes
 are not required to be copied to the target file. If symbolic links are
 supported, and the file is a symbolic link, then the final target of the
 link is copied. If the file is a directory then it creates an empty
 directory in the target location (entries in the directory are not
 copied). This method can be used with the walkFileTree method to copy a directory and all entries in the directory,
 or an entire file-tree where required.

  The options parameter may include any of the following:

 
 Option Description 

 REPLACE_EXISTING 
 If the target file exists, then the target file is replaced if it
     is not a non-empty directory. If the target file exists and is a
     symbolic link, then the symbolic link itself, not the target of
     the link, is replaced. 


 COPY_ATTRIBUTES 
 Attempts to copy the file attributes associated with this file to
     the target file. The exact file attributes that are copied is platform
     and file system dependent and therefore unspecified. Minimally, the
     last-modified-time is
     copied to the target file if supported by both the source and target
     file stores. Copying of file timestamps may result in precision
     loss. 


 NOFOLLOW_LINKS 
 Symbolic links are not followed. If the file is a symbolic link,
     then the symbolic link itself, not the target of the link, is copied.
     It is implementation specific if file attributes can be copied to the
     new link. In other words, the COPY_ATTRIBUTES option may be
     ignored when copying a symbolic link. 


 An implementation of this interface may support additional
 implementation specific options.

  Copying a file is not an atomic operation. If an IOException
 is thrown, then it is possible that the target file is incomplete or some
 of its file attributes have not been copied from the source file. When
 the REPLACE_EXISTING option is specified and the target file
 exists, then the target file is replaced. The check for the existence of
 the file and the creation of the new file may not be atomic with respect
 to other file system activities.

  Usage Example:
 Suppose we want to copy a file into a directory, giving it the same file
 name as the source file:
 
     Path source = ...
     Path newdir = ...
     Files.copy(source, newdir.resolve(source.getFileName());
 

Parameters:
source - the path to the file to copy
target - the path to the target file (may be associated with a different
          provider to the source path)
options - options specifying how the copy should be done
Returns:
the path to the target file
Throws:
UnsupportedOperationException - if the array contains a copy option that is not supported
FileAlreadyExistsException - if the target file exists but cannot be replaced because the
          REPLACE_EXISTING option is not specified (optional
          specific exception)
DirectoryNotEmptyException - the REPLACE_EXISTING option is specified but the file
          cannot be replaced because it is a non-empty directory
          (optional specific exception)
IOException - if an I/O error occurs
SecurityException - In the case of the default provider, and a security manager is
          installed, the checkRead
          method is invoked to check read access to the source file, the
          checkWrite is invoked
          to check write access to the target file. If a symbolic link is
          copied the security manager is invoked to check LinkPermission(""symbolic"").


"
Files,"createDirectories(Path dir, FileAttribute<?>... attrs)",static Path,Creates a directory by creating all nonexistent parent directories first.,"

createDirectories
public static Path createDirectories(Path dir,
                                     FileAttribute<?>... attrs)
                              throws IOException
Creates a directory by creating all nonexistent parent directories first.
 Unlike the createDirectory method, an exception
 is not thrown if the directory could not be created because it already
 exists.

  The attrs parameter is optional file-attributes to set atomically when creating the nonexistent
 directories. Each file attribute is identified by its name. If more than one attribute of the same name is
 included in the array then all but the last occurrence is ignored.

  If this method fails, then it may do so after creating some, but not
 all, of the parent directories.

Parameters:
dir - the directory to create
attrs - an optional list of file attributes to set atomically when
          creating the directory
Returns:
the directory
Throws:
UnsupportedOperationException - if the array contains an attribute that cannot be set atomically
          when creating the directory
FileAlreadyExistsException - if dir exists but is not a directory (optional specific
          exception)
IOException - if an I/O error occurs
SecurityException - in the case of the default provider, and a security manager is
          installed, the checkWrite
          method is invoked prior to attempting to create a directory and
          its checkRead is
          invoked for each parent directory that is checked. If dir is not an absolute path then its toAbsolutePath may need to be invoked to get its absolute path.
          This may invoke the security manager's checkPropertyAccess
          method to check access to the system property user.dir


"
Files,"createDirectory(Path dir, FileAttribute<?>... attrs)",static Path,Creates a new directory.,"

createDirectory
public static Path createDirectory(Path dir,
                                   FileAttribute<?>... attrs)
                            throws IOException
Creates a new directory. The check for the existence of the file and the
 creation of the directory if it does not exist are a single operation
 that is atomic with respect to all other filesystem activities that might
 affect the directory. The createDirectories
 method should be used where it is required to create all nonexistent
 parent directories first.

  The attrs parameter is optional file-attributes to set atomically when creating the directory. Each
 attribute is identified by its name. If more
 than one attribute of the same name is included in the array then all but
 the last occurrence is ignored.

Parameters:
dir - the directory to create
attrs - an optional list of file attributes to set atomically when
          creating the directory
Returns:
the directory
Throws:
UnsupportedOperationException - if the array contains an attribute that cannot be set atomically
          when creating the directory
FileAlreadyExistsException - if a directory could not otherwise be created because a file of
          that name already exists (optional specific exception)
IOException - if an I/O error occurs or the parent directory does not exist
SecurityException - In the case of the default provider, and a security manager is
          installed, the checkWrite
          method is invoked to check write access to the new directory.


"
Files,"createFile(Path path, FileAttribute<?>... attrs)",static Path,"Creates a new and empty file, failing if the file already exists.","

createFile
public static Path createFile(Path path,
                              FileAttribute<?>... attrs)
                       throws IOException
Creates a new and empty file, failing if the file already exists. The
 check for the existence of the file and the creation of the new file if
 it does not exist are a single operation that is atomic with respect to
 all other filesystem activities that might affect the directory.

  The attrs parameter is optional file-attributes to set atomically when creating the file. Each attribute
 is identified by its name. If more than one
 attribute of the same name is included in the array then all but the last
 occurrence is ignored.

Parameters:
path - the path to the file to create
attrs - an optional list of file attributes to set atomically when
          creating the file
Returns:
the file
Throws:
UnsupportedOperationException - if the array contains an attribute that cannot be set atomically
          when creating the file
FileAlreadyExistsException - if a file of that name already exists
          (optional specific exception)
IOException - if an I/O error occurs or the parent directory does not exist
SecurityException - In the case of the default provider, and a security manager is
          installed, the checkWrite
          method is invoked to check write access to the new file.


"
Files,"createLink(Path link, Path existing)",static Path,Creates a new link (directory entry) for an existing file (optional operation).,"

createLink
public static Path createLink(Path link,
                              Path existing)
                       throws IOException
Creates a new link (directory entry) for an existing file (optional
 operation).

  The link parameter locates the directory entry to create.
 The existing parameter is the path to an existing file. This
 method creates a new directory entry for the file so that it can be
 accessed using link as the path. On some file systems this is
 known as creating a ""hard link"". Whether the file attributes are
 maintained for the file or for each directory entry is file system
 specific and therefore not specified. Typically, a file system requires
 that all links (directory entries) for a file be on the same file system.
 Furthermore, on some platforms, the Java virtual machine may require to
 be started with implementation specific privileges to create hard links
 or to create links to directories.

Parameters:
link - the link (directory entry) to create
existing - a path to an existing file
Returns:
the path to the link (directory entry)
Throws:
UnsupportedOperationException - if the implementation does not support adding an existing file
          to a directory
FileAlreadyExistsException - if the entry could not otherwise be created because a file of
          that name already exists (optional specific exception)
IOException - if an I/O error occurs
SecurityException - In the case of the default provider, and a security manager
          is installed, it denies LinkPermission(""hard"")
          or its checkWrite
          method denies write access to either the link or the
          existing file.


"
Files,"createSymbolicLink(Path link, Path target, FileAttribute<?>... attrs)",static Path,Creates a symbolic link to a target (optional operation).,"

createSymbolicLink
public static Path createSymbolicLink(Path link,
                                      Path target,
                                      FileAttribute<?>... attrs)
                               throws IOException
Creates a symbolic link to a target (optional operation).

  The target parameter is the target of the link. It may be an
 absolute or relative path and may not exist. When
 the target is a relative path then file system operations on the resulting
 link are relative to the path of the link.

  The attrs parameter is optional attributes to set atomically when creating the link. Each attribute is
 identified by its name. If more than one attribute
 of the same name is included in the array then all but the last occurrence
 is ignored.

  Where symbolic links are supported, but the underlying FileStore
 does not support symbolic links, then this may fail with an IOException. Additionally, some operating systems may require that the
 Java virtual machine be started with implementation specific privileges to
 create symbolic links, in which case this method may throw IOException.

Parameters:
link - the path of the symbolic link to create
target - the target of the symbolic link
attrs - the array of attributes to set atomically when creating the
          symbolic link
Returns:
the path to the symbolic link
Throws:
UnsupportedOperationException - if the implementation does not support symbolic links or the
          array contains an attribute that cannot be set atomically when
          creating the symbolic link
FileAlreadyExistsException - if a file with the name already exists (optional specific
          exception)
IOException - if an I/O error occurs
SecurityException - In the case of the default provider, and a security manager
          is installed, it denies LinkPermission(""symbolic"")
          or its checkWrite
          method denies write access to the path of the symbolic link.


"
Files,"createTempDirectory(Path dir, String prefix, FileAttribute<?>... attrs)",static Path,"Creates a new directory in the specified directory, using the given prefix to generate its name.","

createTempDirectory
public static Path createTempDirectory(Path dir,
                                       String prefix,
                                       FileAttribute<?>... attrs)
                                throws IOException
Creates a new directory in the specified directory, using the given
 prefix to generate its name.  The resulting Path is associated
 with the same FileSystem as the given directory.

  The details as to how the name of the directory is constructed is
 implementation dependent and therefore not specified. Where possible
 the prefix is used to construct candidate names.

  As with the createTempFile methods, this method is only
 part of a temporary-file facility. A shutdown-hook, or the File.deleteOnExit() mechanism may be
 used to delete the directory automatically.

  The attrs parameter is optional file-attributes to set atomically when creating the directory. Each
 attribute is identified by its name. If more
 than one attribute of the same name is included in the array then all but
 the last occurrence is ignored.

Parameters:
dir - the path to directory in which to create the directory
prefix - the prefix string to be used in generating the directory's name;
          may be null
attrs - an optional list of file attributes to set atomically when
          creating the directory
Returns:
the path to the newly created directory that did not exist before
          this method was invoked
Throws:
IllegalArgumentException - if the prefix cannot be used to generate a candidate directory name
UnsupportedOperationException - if the array contains an attribute that cannot be set atomically
          when creating the directory
IOException - if an I/O error occurs or dir does not exist
SecurityException - In the case of the default provider, and a security manager is
          installed, the checkWrite
          method is invoked to check write access when creating the
          directory.


"
Files,"createTempDirectory(String prefix, FileAttribute<?>... attrs)",static Path,"Creates a new directory in the default temporary-file directory, using the given prefix to generate its name.","

createTempDirectory
public static Path createTempDirectory(String prefix,
                                       FileAttribute<?>... attrs)
                                throws IOException
Creates a new directory in the default temporary-file directory, using
 the given prefix to generate its name. The resulting Path is
 associated with the default FileSystem.

  This method works in exactly the manner specified by createTempDirectory(Path,String,FileAttribute[]) method for the case
 that the dir parameter is the temporary-file directory.

Parameters:
prefix - the prefix string to be used in generating the directory's name;
          may be null
attrs - an optional list of file attributes to set atomically when
          creating the directory
Returns:
the path to the newly created directory that did not exist before
          this method was invoked
Throws:
IllegalArgumentException - if the prefix cannot be used to generate a candidate directory name
UnsupportedOperationException - if the array contains an attribute that cannot be set atomically
          when creating the directory
IOException - if an I/O error occurs or the temporary-file directory does not
          exist
SecurityException - In the case of the default provider, and a security manager is
          installed, the checkWrite
          method is invoked to check write access when creating the
          directory.


"
