Sample Number,ClassName,Snippet Number,Method,Exist
0,AdapterManagerIdHelper,1,org.omg.PortableInterceptor.AdapterManagerId read(ObjectInputStream is),False
0,AdapterManagerIdHelper,2,"void write(ObjectOutputStream os, org.omg.PortableInterceptor.AdapterManagerId val)",False
0,AdapterManagerIdHelper,3,"void insert(org.omg.CORBA.Any a, org.omg.PortableInterceptor.AdapterManagerId val)",False
0,AdapterManagerIdHelper,4,org.omg.PortableInterceptor.AdapterManagerId extract(org.omg.CORBA.Any a),False
0,AdapterManagerIdHelper,5,org.omg.PortableInterceptor.AdapterManagerIdHelper type(),False
1,AdapterNameHelper,1,org.omg.CORBA.Object read(org.omg.CORBA_2_3.portable.InputStream istream),False
1,AdapterNameHelper,2,"void write(org.omg.CORBA_2_3.portable.OutputStream ostream, org.omg.CORBA.Object value)",False
1,AdapterNameHelper,3,"void insert(org.omg.CORBA.Any a, org.omg.CORBA.Object that)",False
1,AdapterNameHelper,4,org.omg.CORBA.Object extract(org.omg.CORBA.Any a),False
1,AdapterNameHelper,5,org.omg.CORBA.Object read_value(org.omg.CORBA_2_3.portable.InputStream istream),False
2,AdapterStateHelper,1,org.omg.CORBA.Any current_state(),False
2,AdapterStateHelper,2,void current_state(org.omg.CORBA.Any state),False
2,AdapterStateHelper,3,"void state_changed(org.omg.CORBA.ORB orb, org.omg.PortableInterceptor.ObjectReferenceTemplate[] templates)",False
2,AdapterStateHelper,4,org.omg.PortableInterceptor.ObjectReferenceTemplateListAdapter getObjectReferenceTemplateListAdapter(),False
2,AdapterStateHelper,5,void setInfo(org.omg.CORBA.StringHolder[] info),False
4,ForwardRequestHelper,1,void forward(Identity id),False
4,ForwardRequestHelper,2,"void setForwardInProgress(ForwardRequest fr, boolean in_progress)",False
4,ForwardRequestHelper,3,"void setForwardRequest(ForwardRequest fr, Exception ex)",False
4,ForwardRequestHelper,4,"void setReturnValueData(ForwardRequest fr, Any data)",False
4,ForwardRequestHelper,5,void zero(org.omg.CORBA.Any data),False
5,InvalidSlotHelper,1,org.omg.PortableInterceptor.InvalidSlotHelper read(org.omg.CORBA.portable.InputStream is),False
5,InvalidSlotHelper,2,"void write(org.omg.CORBA.portable.OutputStream os, org.omg.PortableInterceptor.InvalidSlotHelper value)",False
5,InvalidSlotHelper,3,org.omg.PortableInterceptor.InvalidSlotHelper extract(org.omg.CORBA.Any a),False
5,InvalidSlotHelper,4,String id(),True
5,InvalidSlotHelper,5,org.omg.PortableInterceptor.InvalidSlotHelper narrow(org.omg.CORBA.Object obj),False
7,IORInterceptor_3_0Holder,1,void setIOR(org.omg.CORBA.Object obj),False
7,IORInterceptor_3_0Holder,2,org.omg.IOP.Codec getCodec(),False
7,IORInterceptor_3_0Holder,3,void destroy(),False
7,IORInterceptor_3_0Holder,4,org.omg.CORBA.Policy getPolicy(int type),False
7,IORInterceptor_3_0Holder,5,void establish_components(IORInfo info),False
8,ObjectIdHelper,1,org.omg.PortableInterceptor.ObjectId read(org.omg.CORBA.portable.InputStream istream),False
8,ObjectIdHelper,2,"void write(org.omg.CORBA.portable.OutputStream ostream, org.omg.PortableInterceptor.ObjectId objectId)",False
8,ObjectIdHelper,3,org.omg.PortableInterceptor.ObjectId copy(org.omg.PortableInterceptor.ObjectId objectId),False
8,ObjectIdHelper,4,boolean is_valid(org.omg.PortableInterceptor.ObjectId objectId),False
8,ObjectIdHelper,5,boolean is_null(org.omg.PortableInterceptor.ObjectId objectId),False
9,ObjectReferenceFactoryHelper,1,org.omg.PortableInterceptor.ObjectReferenceFactory narrow(org.omg.CORBA.Object obj),False
9,ObjectReferenceFactoryHelper,2,org.omg.CORBA.portable.OutputStream create(org.omg.CORBA.Object obj),False
9,ObjectReferenceFactoryHelper,3,org.omg.CORBA.Object getObject(org.omg.CORBA.portable.InputStream in),False
9,ObjectReferenceFactoryHelper,4,"void write(org.omg.CORBA.portable.OutputStream out, org.omg.CORBA.Object obj)",False
9,ObjectReferenceFactoryHelper,5,org.omg.PortableInterceptor.ObjectReferenceFactoryHelper.type(),False
10,ObjectReferenceFactoryHolder,1,org.omg.PortableInterceptor.ObjectReferenceFactory getObjectReferenceFactory(),False
10,ObjectReferenceFactoryHolder,2,void setObjectReferenceFactory(org.omg.PortableInterceptor.ObjectReferenceFactory factory),False
10,ObjectReferenceFactoryHolder,3,void clear(),False
10,ObjectReferenceFactoryHolder,4,boolean isNil(),False
10,ObjectReferenceFactoryHolder,5,void makeNil(),False
11,ObjectReferenceTemplateHelper,1,"ObjectReferenceTemplate readObject(org.omg.CORBA_2_4.ORB orb, org.omg.CORBA.portable.InputStream istream)",False
11,ObjectReferenceTemplateHelper,2,"void write(org.omg.CORBA.portable.OutputStream ostream, ObjectReferenceTemplate val)",False
11,ObjectReferenceTemplateHelper,3,void insert(org.omg.IOP.TaggedComponentList taggedComponents),False
11,ObjectReferenceTemplateHelper,4,IOP.TaggedComponent[] components(),False
11,ObjectReferenceTemplateHelper,5,int hashCode(),False
13,ObjectReferenceTemplateSeqHelper,1,org.omg.PortableInterceptor.ObjectReferenceTemplateSeqHelper extract(org.omg.CORBA.Any a),False
13,ObjectReferenceTemplateSeqHelper,2,"void insert(org.omg.CORBA.Any a, org.omg.PortableInterceptor.ObjectReferenceTemplateSeqHelper that)",False
13,ObjectReferenceTemplateSeqHelper,3,org.omg.PortableInterceptor.ObjectReferenceTemplate[] read(org.omg.CORBA.portable.InputStream istream),False
13,ObjectReferenceTemplateSeqHelper,4,"void write(org.omg.CORBA.portable.OutputStream ostream, org.omg.PortableInterceptor.ObjectReferenceTemplate[] value)",False
13,ObjectReferenceTemplateSeqHelper,5,org.omg.PortableInterceptor.ObjectReferenceTemplate[] narrow(org.omg.CORBA.Object obj),False
14,ObjectReferenceTemplateSeqHolder,1,int length(),False
14,ObjectReferenceTemplateSeqHolder,2,void add(ObjectReferenceTemplate element),False
14,ObjectReferenceTemplateSeqHolder,3,ObjectReferenceTemplate[] value,False
14,ObjectReferenceTemplateSeqHolder,4,ObjectReferenceTemplate elementAt(int index),False
14,ObjectReferenceTemplateSeqHolder,5,void clear(),False
15,ORBIdHelper,1,String id(),True
