ClassName,URL,Description
AbstractBorder,https://docs.oracle.com/javase/8/docs/api/javax/swing/border/AbstractBorder.html,A class that implements an empty border with no size.
BevelBorder,https://docs.oracle.com/javase/8/docs/api/javax/swing/border/BevelBorder.html,A class which implements a simple two-line bevel border.
CompoundBorder,https://docs.oracle.com/javase/8/docs/api/javax/swing/border/CompoundBorder.html,A composite Border class used to compose two Border objects into a single border by nesting an inside Border object within the insets of an outside Border object.
EmptyBorder,https://docs.oracle.com/javase/8/docs/api/javax/swing/border/EmptyBorder.html,"A class which provides an empty, transparent border which takes up space but does no drawing."
EtchedBorder,https://docs.oracle.com/javase/8/docs/api/javax/swing/border/EtchedBorder.html,A class which implements a simple etched border which can either be etched-in or etched-out.
LineBorder,https://docs.oracle.com/javase/8/docs/api/javax/swing/border/LineBorder.html,A class which implements a line border of arbitrary thickness and of a single color.
MatteBorder,https://docs.oracle.com/javase/8/docs/api/javax/swing/border/MatteBorder.html,A class which provides a matte-like border of either a solid color or a tiled icon.
SoftBevelBorder,https://docs.oracle.com/javase/8/docs/api/javax/swing/border/SoftBevelBorder.html,A class which implements a raised or lowered bevel with softened corners.
StrokeBorder,https://docs.oracle.com/javase/8/docs/api/javax/swing/border/StrokeBorder.html,A class which implements a border of an arbitrary stroke.
TitledBorder,https://docs.oracle.com/javase/8/docs/api/javax/swing/border/TitledBorder.html,A class which implements an arbitrary border with the addition of a String title in a specified position and justification.
