Sample Number,ClassName,Snippet Number,Method,Exist
0,BasicAttribute,1,void add(String attrID),False
0,BasicAttribute,2,"void add(String attrID, Object val)",False
0,BasicAttribute,3,void remove(String attrID),False
0,BasicAttribute,4,void clear(),True
0,BasicAttribute,5,int size(),True
1,BasicAttributes,1,"void put(String attrID, Object val)",False
1,BasicAttributes,2,Attribute get(String attrID),True
1,BasicAttributes,3,void remove(String attrID),False
1,BasicAttributes,4,boolean contains(String attrID),False
1,BasicAttributes,5,NamingEnumeration getAll(),False
2,InitialDirContext,1,Attributes getAttributes(String name),True
2,InitialDirContext,2,NamingEnumeration<NameClassPair> list(Name name),False
2,InitialDirContext,3,"void rebind(Name name, Object obj)",False
2,InitialDirContext,4,void destroySubcontext(String name),False
2,InitialDirContext,5,void unbind(String name),False
3,ModificationItem,1,int getModificationOp(),True
3,ModificationItem,2,Name getName(),False
3,ModificationItem,3,Attributes getAttributes(),False
3,ModificationItem,4,ModificationItem(ModificationItem[] items),False
3,ModificationItem,5,"ModificationItem(int mod_op, Attribute attr)",False
4,SearchControls,1,int getTimeLimit(),True
4,SearchControls,2,void setTimeLimit(int timeLimit),True
4,SearchControls,3,int getScope(),False
4,SearchControls,4,void setScope(int scope),False
4,SearchControls,5,int getCountLimit(),False
5,SearchResult,1,Attributes getAttributes(),True
5,SearchResult,2,String getName(),False
5,SearchResult,3,String getDN(),False
5,SearchResult,4,boolean isRelative(),False
5,SearchResult,5,DirContext getCtx(),False
