Sample Number,ClassName,Snippet Number,Method,Exist,Description,Full Description
0,Instrument,1,Soundbank getSoundbank(),False,,NULL
0,Instrument,2,Patch getPatch(),True,,"

getPatch
public Patch getPatch()
Obtains the Patch object that indicates the bank and program
 numbers where this instrument is to be stored in the synthesizer.

Returns:
this instrument's patch


"
0,Instrument,3,String getName(),False,,NULL
0,Instrument,4,String toString(),False,,NULL
0,Instrument,5,int getPolyphony(),False,,NULL
1,MetaMessage,1,int getType(),True,,"

getType
public int getType()
Obtains the type of the MetaMessage.

Returns:
an integer representing the MetaMessage type


"
1,MetaMessage,2,byte[] getData(),True,,"

getData
public byte[] getData()
Obtains a copy of the data for the meta message.  The returned
 array of bytes does not include the status byte or the message
 length data.  The length of the data for the meta message is
 the length of the array.  Note that the length of the entire
 message includes the status byte and the meta message type
 byte, and therefore may be longer than the returned array.

Returns:
array containing the meta message data.
See Also:
MidiMessage.getLength()


"
1,MetaMessage,3,"void setMessage(int type, byte[] data, int length)",True,,"

setMessage
public void setMessage(int type,
                       byte[] data,
                       int length)
                throws InvalidMidiDataException
Sets the message parameters for a MetaMessage.
 Since only one status byte value, 0xFF, is allowed for meta-messages,
 it does not need to be specified here.  Calls to getStatus return
 0xFF for all meta-messages.
 
 The type argument should be a valid value for the byte that
 follows the status byte in the MetaMessage.  The data argument
 should contain all the subsequent bytes of the MetaMessage.  In other words,
 the byte that specifies the type of MetaMessage is not considered a data byte.

Parameters:
type - meta-message type (must be less than 128)
data - the data bytes in the MIDI message
length - the number of bytes in the data
 byte array
Throws:
InvalidMidiDataException - if the
 parameter values do not specify a valid MIDI meta message


"
1,MetaMessage,4,"void setMessage(byte[] data, int length)",False,,NULL
1,MetaMessage,5,Object clone(),True,,"

clone
public Object clone()
Creates a new object of the same class and with the same contents
 as this object.

Specified by:
clone in class MidiMessage
Returns:
a clone of this instance
See Also:
Cloneable


"
3,MidiEvent,1,MidiMessage getMessage(),True,,"

getMessage
public MidiMessage getMessage()
Obtains the MIDI message contained in the event.

Returns:
the MIDI message


"
3,MidiEvent,2,long getTick(),True,,"

getTick
public long getTick()
Obtains the time-stamp for the event, in MIDI ticks

Returns:
the time-stamp for the event, in MIDI ticks


"
3,MidiEvent,3,"void setMessage(MidiMessage message, long tick)",False,,NULL
3,MidiEvent,4,int compareTo(MidiEvent e),False,,NULL
3,MidiEvent,5,String toString(),False,,NULL
4,MidiFileFormat,1,int getType(),True,,"

getType
public int getType()
Obtains the MIDI file type.

Returns:
the file's type (0, 1, or 2)


"
4,MidiFileFormat,2,long getByteLength(),False,,NULL
4,MidiFileFormat,3,long getMicrosecondLength(),True,,"

getMicrosecondLength
public long getMicrosecondLength()
Obtains the length of the MIDI file, expressed in microseconds.

Returns:
the file's duration in microseconds, or UNKNOWN_LENGTH if not known
See Also:
Sequence.getMicrosecondLength(), 
getByteLength(), 
UNKNOWN_LENGTH


"
4,MidiFileFormat,4,int getResolution(),True,,"

getResolution
public int getResolution()
Obtains the timing resolution for the MIDI file.
 If the division type is PPQ, the resolution is specified in ticks per beat.
 For SMTPE timing, the resolution is specified in ticks per frame.

Returns:
the number of ticks per beat (PPQ) or per frame (SMPTE)
See Also:
getDivisionType(), 
Sequence.getResolution()


"
4,MidiFileFormat,5,int getDivisionType(),False,,NULL
