ClassName,Method,Return Type,Description
BasicAttribute,"add(int ix, Object attrVal)",void,Adds an attribute value to the ordered list of attribute values.
BasicAttribute,add(Object attrVal),boolean,Adds a new value to this attribute.
BasicAttribute,clear(),void,Removes all values from this attribute.
BasicAttribute,clone(),Object,Creates and returns a copy of this object.
BasicAttribute,contains(Object attrVal),boolean,Determines whether a value is in this attribute.
BasicAttribute,equals(Object obj),boolean,Determines whether obj is equal to this attribute.
BasicAttribute,get(),Object,Retrieves one of this attribute's values.
BasicAttribute,get(int ix),Object,Retrieves the attribute value from the ordered list of attribute values.
BasicAttribute,getAll(),NamingEnumeration<?>,Retrieves an enumeration of this attribute's values.
BasicAttribute,getAttributeDefinition(),DirContext,Retrieves this attribute's schema definition.
BasicAttribute,getAttributeSyntaxDefinition(),DirContext,Retrieves the syntax definition associated with this attribute.
BasicAttribute,getID(),String,Retrieves the id of this attribute.
BasicAttribute,hashCode(),int,Calculates the hash code of this attribute.
BasicAttribute,isOrdered(),boolean,Determines whether this attribute's values are ordered.
BasicAttribute,remove(int ix),Object,Removes an attribute value from the ordered list of attribute values.
BasicAttribute,remove(Object attrval),boolean,Removes a specified value from this attribute.
BasicAttribute,"set(int ix, Object attrVal)",Object,Sets an attribute value in the ordered list of attribute values.
BasicAttribute,size(),int,Retrieves the number of values in this attribute.
BasicAttribute,toString(),String,Generates the string representation of this attribute.
BasicAttributes,clone(),Object,Creates and returns a copy of this object.
BasicAttributes,equals(Object obj),boolean,"Determines whether this BasicAttributes is equal to another Attributes Two Attributes are equal if they are both instances of Attributes, treat the case of attribute IDs the same way, and contain the same attributes."
BasicAttributes,get(String attrID),Attribute,Retrieves the attribute with the given attribute id from the attribute set.
BasicAttributes,getAll(),NamingEnumeration<Attribute>,Retrieves an enumeration of the attributes in the attribute set.
BasicAttributes,getIDs(),NamingEnumeration<String>,Retrieves an enumeration of the ids of the attributes in the attribute set.
BasicAttributes,hashCode(),int,Calculates the hash code of this BasicAttributes.
BasicAttributes,isCaseIgnored(),boolean,Determines whether the attribute set ignores the case of attribute identifiers when retrieving or adding attributes.
BasicAttributes,put(Attribute attr),Attribute,Adds a new attribute to the attribute set.
BasicAttributes,"put(String attrID, Object val)",Attribute,Adds a new attribute to the attribute set.
BasicAttributes,remove(String attrID),Attribute,Removes the attribute with the attribute id 'attrID' from the attribute set.
BasicAttributes,size(),int,Retrieves the number of attributes in the attribute set.
BasicAttributes,toString(),String,Generates the string representation of this attribute set.
InitialDirContext,"bind(Name name, Object obj, Attributes attrs)",void,"Binds a name to an object, along with associated attributes."
InitialDirContext,"bind(String name, Object obj, Attributes attrs)",void,"Binds a name to an object, along with associated attributes."
InitialDirContext,"createSubcontext(Name name, Attributes attrs)",DirContext,"Creates and binds a new context, along with associated attributes."
InitialDirContext,"createSubcontext(String name, Attributes attrs)",DirContext,"Creates and binds a new context, along with associated attributes."
InitialDirContext,getAttributes(Name name),Attributes,Retrieves all of the attributes associated with a named object.
InitialDirContext,"getAttributes(Name name, String[] attrIds)",Attributes,Retrieves selected attributes associated with a named object.
InitialDirContext,getAttributes(String name),Attributes,Retrieves all of the attributes associated with a named object.
InitialDirContext,"getAttributes(String name, String[] attrIds)",Attributes,Retrieves selected attributes associated with a named object.
