Sample Number,ClassName,Snippet Number,Method,Exist,Description,Full Description
0,IsoFields,1,TemporalField quarterOfYear(),False,,NULL
0,IsoFields,2,TemporalField weekBasedYear(),False,,NULL
0,IsoFields,3,TemporalField weekOfWeekBasedYear(),False,,NULL
0,IsoFields,4,TemporalField dayOfWeek(),False,,NULL
0,IsoFields,5,TemporalField weekOfMonth(),False,,NULL
1,JulianFields,1,long getJulianDay(LocalDate date),False,,NULL
1,JulianFields,2,LocalDate getDate(long julianDay),False,,NULL
1,JulianFields,3,boolean isSupportedField(TemporalField field),False,,NULL
1,JulianFields,4,ValueRange rangeRefinedBy(TemporalField field),False,,NULL
1,JulianFields,5,"TemporalAccessor resolve(Map<TemporalField, Long> fieldValues, TemporalAccessor partialTemporal, ResolverStyle resolverStyle)",False,,NULL
2,TemporalAdjusters,1,TemporalAdjuster firstDayOfMonth(),True,,"

firstDayOfMonth
public static TemporalAdjuster firstDayOfMonth()
Returns the ""first day of month"" adjuster, which returns a new date set to
 the first day of the current month.
 
 The ISO calendar system behaves as follows:
 The input 2011-01-15 will return 2011-01-01.
 The input 2011-02-15 will return 2011-02-01.
 
 The behavior is suitable for use with most calendar systems.
 It is equivalent to:
 
  temporal.with(DAY_OF_MONTH, 1);
 

Returns:
the first day-of-month adjuster, not null


"
2,TemporalAdjusters,2,TemporalAdjuster lastDayOfMonth(),True,,"

lastDayOfMonth
public static TemporalAdjuster lastDayOfMonth()
Returns the ""last day of month"" adjuster, which returns a new date set to
 the last day of the current month.
 
 The ISO calendar system behaves as follows:
 The input 2011-01-15 will return 2011-01-31.
 The input 2011-02-15 will return 2011-02-28.
 The input 2012-02-15 will return 2012-02-29 (leap year).
 The input 2011-04-15 will return 2011-04-30.
 
 The behavior is suitable for use with most calendar systems.
 It is equivalent to:
 
  long lastDay = temporal.range(DAY_OF_MONTH).getMaximum();
  temporal.with(DAY_OF_MONTH, lastDay);
 

Returns:
the last day-of-month adjuster, not null


"
