FileName,Compilable,Runnable,Correct
SynthComboBoxUI_1,True,False,False
SynthComboBoxUI_2,True,False,False
SynthComboBoxUI_3,False,False,False
SynthContext_2,False,False,False
SynthContext_3,False,False,False
SynthContext_4,False,False,False
SynthContext_5,False,False,False
SynthDesktopIconUI_4,True,True,True
SynthDesktopIconUI_5,False,False,False
SynthDesktopPaneUI_2,True,True,True
SynthDesktopPaneUI_3,True,True,True
SynthDesktopPaneUI_5,False,False,False
SynthGraphicsUtils_1,False,False,False
SynthLabelUI_3,True,False,False
SynthLabelUI_5,True,True,True
SynthListUI_2,False,False,False
SynthLookAndFeel_1,False,False,False
SynthLookAndFeel_3,False,False,False
SynthMenuBarUI_3,False,False,False
SynthMenuBarUI_5,True,True,True
SynthMenuItemUI_2,False,False,False
SynthOptionPaneUI_3,True,True,True
SynthOptionPaneUI_4,True,True,True
SynthPanelUI_2,True,False,False
SynthPanelUI_3,True,False,False
SynthPopupMenuUI_1,True,True,True
SynthPopupMenuUI_4,True,True,True
SynthProgressBarUI_3,False,False,False
SynthScrollBarUI_1,True,False,False
SynthScrollPaneUI_4,False,False,False
SynthScrollPaneUI_5,False,False,False
SynthSliderUI_1,False,False,False
SynthSpinnerUI_3,True,True,True
SynthSpinnerUI_4,False,False,False
SynthSplitPaneUI_5,True,True,True
SynthStyleFactory_4,False,False,False
SynthTabbedPaneUI_3,True,True,True
SynthTabbedPaneUI_4,False,False,False
SynthTextFieldUI_1,True,True,True
SynthTextPaneUI_1,True,False,False
SynthToolBarUI_3,True,False,False
SynthToolBarUI_5,False,False,False
SynthToolTipUI_1,True,False,False
SynthToolTipUI_3,True,False,False
SynthTreeUI_3,True,True,True
SynthViewportUI_2,True,True,True
SynthViewportUI_3,True,True,True
SynthViewportUI_4,True,True,True
