Sample Number,ClassName,Snippet Number,Method,Exist,Description,Full Description
0,AttributeSetUtilities,1,AttributeSet copy(AttributeSet attrs),False,,NULL
0,AttributeSetUtilities,2,"AttributeSet merge(AttributeSet attrs1, AttributeSet attrs2)",False,,NULL
0,AttributeSetUtilities,3,"AttributeSet remove(AttributeSet attrs, Class<?> clazz)",False,,NULL
0,AttributeSetUtilities,4,"AttributeSet removeAll(AttributeSet attrs, Class<?> clazz)",False,,NULL
0,AttributeSetUtilities,5,"AttributeSet removeAll(AttributeSet attrs, Class<?> clazz, Class<?>... moreClasses)",False,,NULL
1,DateTimeSyntax,1,boolean isSupportedCalendar(Calendar calendar),False,,NULL
1,DateTimeSyntax,2,boolean isSupportedTimeZone(TimeZone timeZone),False,,NULL
1,DateTimeSyntax,3,boolean isSupportedLocale(Locale locale),False,,NULL
1,DateTimeSyntax,4,boolean isSupportedField(int field),False,,NULL
1,DateTimeSyntax,5,boolean isSupportedCalendarField(int field),False,,NULL
1,DateTimeSyntax,6,boolean isSupportedTimeZoneField(int field),False,,NULL
1,DateTimeSyntax,7,boolean isSupportedLocaleField(int field),False,,NULL
1,DateTimeSyntax,8,"boolean isSupportedField(int field, int calendarType)",False,,NULL
1,DateTimeSyntax,9,"boolean isSupportedCalendarField(int field, int calendarType)",False,,NULL
1,DateTimeSyntax,10,"boolean isSupportedTimeZoneField(int field, int calendarType)",False,,NULL
1,DateTimeSyntax,11,"boolean isSupportedLocaleField(int field, int calendarType)",False,,NULL
2,EnumSyntax,1,boolean equals(Object obj),False,,NULL
2,EnumSyntax,2,int hashCode(),True,Returns a hash code value for this enumeration value.,"

hashCode
public int hashCode()
Returns a hash code value for this enumeration value. The hash code is
 just this enumeration value's integer value.

Overrides:
hashCode in class Object
Returns:
a hash code value for this object.
See Also:
Object.equals(java.lang.Object), 
System.identityHashCode(java.lang.Object)


"
2,EnumSyntax,3,String toString(),True,Returns a string value corresponding to this enumeration value.,"

toString
public String toString()
Returns a string value corresponding to this enumeration value.

Overrides:
toString in class Object
Returns:
a string representation of the object.


"
2,EnumSyntax,4,int compareTo(E o),False,,NULL
2,EnumSyntax,5,E[] getValues(),False,,NULL
3,HashAttributeSet,1,boolean add(E e),False,,NULL
3,HashAttributeSet,2,"void add(int index, E element)",False,,NULL
3,HashAttributeSet,3,boolean addAll(Collection<? extends E> c),False,,NULL
3,HashAttributeSet,4,"boolean addAll(int index, Collection<? extends E> c)",False,,NULL
3,HashAttributeSet,5,void clear(),True,Removes all attributes from this attribute set.,"

clear
public void clear()
Removes all attributes from this attribute set.

Specified by:
clear in interface AttributeSet
Throws:
UnmodifiableSetException - (unchecked exception) Thrown if this attribute set does not support
     the clear() operation.


"
4,HashDocAttributeSet,1,boolean add(E e),False,,NULL
4,HashDocAttributeSet,2,"void add(int index, E element)",False,,NULL
4,HashDocAttributeSet,3,boolean addAll(Collection<? extends E> c),False,,NULL
4,HashDocAttributeSet,4,"boolean addAll(int index, Collection<? extends E> c)",False,,NULL
