Sample Number,ClassName,Snippet Number,Method,Exist,Description,Full Description
0,AbstractChronology,1,boolean isSupported(TemporalField field),False,,NULL
0,AbstractChronology,2,TemporalField getTemporalField(String fieldName),False,,NULL
0,AbstractChronology,3,TemporalAdjuster getTemporalAdjuster(String adjusterName),False,,NULL
0,AbstractChronology,4,TemporalUnit getDurationUnit(),False,,NULL
0,AbstractChronology,5,TemporalUnit getPeriodUnit(),False,,NULL
0,AbstractChronology,6,TemporalUnit getUnit(String unitName),False,,NULL
0,AbstractChronology,7,TemporalUnit getSmallestUnit(TemporalField field),False,,NULL
0,AbstractChronology,8,TemporalUnit getRangeUnit(TemporalField field),False,,NULL
0,AbstractChronology,9,TemporalUnit getDurationUnit(TemporalField field),False,,NULL
0,AbstractChronology,10,TemporalUnit getPeriodUnit(TemporalField field),False,,NULL
0,AbstractChronology,11,"TemporalUnit getSmallestUnit(TemporalField field, TemporalAmount amount)",False,,NULL
0,AbstractChronology,12,"TemporalUnit getRangeUnit(TemporalField field, TemporalAmount amount)",False,,NULL
0,AbstractChronology,13,"TemporalUnit getDurationUnit(TemporalField field, TemporalAmount amount)",False,,NULL
0,AbstractChronology,14,"TemporalUnit getPeriodUnit(TemporalField field, TemporalAmount amount)",False,,NULL
0,AbstractChronology,15,"TemporalUnit getSmallestUnit(TemporalField field, TemporalAmount amount, TemporalUnit unit)",False,,NULL
0,AbstractChronology,16,"TemporalUnit getRangeUnit(TemporalField field, TemporalAmount amount, TemporalUnit unit)",False,,NULL
0,AbstractChronology,17,"TemporalUnit getDurationUnit(TemporalField field, TemporalAmount amount, TemporalUnit unit)",False,,NULL
0,AbstractChronology,18,"TemporalUnit getPeriodUnit(TemporalField field, TemporalAmount amount, TemporalUnit unit)",False,,NULL
0,AbstractChronology,19,"TemporalUnit getSmallestUnit(TemporalField field, TemporalAmount amount, TemporalUnit unit, TemporalAmount amount2)",False,,NULL
0,AbstractChronology,20,"TemporalUnit getRangeUnit(TemporalField field, TemporalAmount amount, TemporalUnit unit, TemporalAmount amount2)",False,,NULL
0,AbstractChronology,21,"TemporalUnit getDurationUnit(TemporalField field, TemporalAmount amount, TemporalUnit unit, TemporalAmount amount2)",False,,NULL
0,AbstractChronology,22,"TemporalUnit getPeriodUnit(TemporalField field, TemporalAmount amount, TemporalUnit unit, TemporalAmount amount2)",False,,NULL
1,HijrahChronology,1,HijrahChronology getInstance(Locale locale),False,,NULL
1,HijrahChronology,2,"HijrahDate date(int prolepticYear, int month, int dayOfMonth)",True,"Obtains a local date in Hijrah calendar system from the proleptic-year, month-of-year and day-of-month fields.","

date
public HijrahDate date(int prolepticYear,
                       int month,
                       int dayOfMonth)
Obtains a local date in Hijrah calendar system from the
 proleptic-year, month-of-year and day-of-month fields.

Specified by:
date in interface Chronology
Parameters:
prolepticYear - the proleptic-year
month - the month-of-year
dayOfMonth - the day-of-month
Returns:
the Hijrah local date, not null
Throws:
DateTimeException - if unable to create the date


"
1,HijrahChronology,3,"HijrahDate date(int prolepticYear, int month, int dayOfMonth, int era)",False,,NULL
1,HijrahChronology,4,"HijrahDate date(int prolepticYear, int month, int dayOfMonth, int era, int zoneOffset)",False,,NULL
1,HijrahChronology,5,"HijrahDate date(int prolepticYear, int month, int dayOfMonth, int era, int zoneOffset, ZoneId zoneId)",False,,NULL
2,HijrahDate,1,HijrahDate ofEpochDay(long epochDay),False,,NULL
