Sample Number,ClassName,Snippet Number,Method,Exist
0,Book,1,void append(Printable printable),False
0,Book,2,"void insert(Printable printable, int pageIndex)",False
0,Book,3,Printable getPage(int pageIndex),False
0,Book,4,int getNumberOfPages(),True
0,Book,5,void remove(Printable printable),False
1,PageFormat,1,void setOrientation(int orientation),True
1,PageFormat,2,int getOrientation(),True
1,PageFormat,3,void setPaper(Paper paper),True
1,PageFormat,4,Paper getPaper(),True
1,PageFormat,5,"void setMargin(double top, double left, double bottom, double right)",False
2,Paper,1,double getHeight(),True
2,Paper,2,double getWidth(),True
2,Paper,3,"void setSize(double width, double height)",True
2,Paper,4,"void setImageableArea(double x, double y, double width, double height)",True
2,Paper,5,void setImageableArea(Rectangle2D imageableArea),False
3,PrinterJob,1,void setPrintable(Printable painter),True
3,PrinterJob,2,PageFormat getPageFormat(),False
3,PrinterJob,3,PrintService getPrintService(),True
3,PrinterJob,4,void setCopies(int copies),True
3,PrinterJob,5,void print(),True
