Sample Number,ClassName,Snippet Number,Method,Exist
0,W3CDomHandler,1,org.w3c.dom.Document newDocument(),False
0,W3CDomHandler,2,org.w3c.dom.Document parse(Source source),False
0,W3CDomHandler,3,org.w3c.dom.Document parse(InputStream in),False
0,W3CDomHandler,4,org.w3c.dom.Document parse(Reader reader),False
0,W3CDomHandler,5,org.w3c.dom.Document parse(String input),False
0,W3CDomHandler,6,org.w3c.dom.Document parse(URL url),False
0,W3CDomHandler,7,org.w3c.dom.Document parse(File file),False
0,W3CDomHandler,8,org.w3c.dom.Document parse(FileInputStream fis),False
0,W3CDomHandler,9,org.w3c.dom.Document parse(FileReader fr),False
0,W3CDomHandler,10,"org.w3c.dom.Document parse(InputStream in, String systemId)",False
0,W3CDomHandler,11,"org.w3c.dom.Document parse(Reader reader, String systemId)",False
0,W3CDomHandler,12,"org.w3c.dom.Document parse(String input, String systemId)",False
0,W3CDomHandler,13,"org.w3c.dom.Document parse(URL url, String systemId)",False
0,W3CDomHandler,14,"org.w3c.dom.Document parse(File file, String systemId)",False
0,W3CDomHandler,15,"org.w3c.dom.Document parse(FileInputStream fis, String systemId)",False
0,W3CDomHandler,16,"org.w3c.dom.Document parse(FileReader fr, String systemId)",False
0,W3CDomHandler,17,"org.w3c.dom.Document parse(InputStream in, String publicId, String systemId)",False
0,W3CDomHandler,18,"org.w3c.dom.Document parse(Reader reader, String publicId, String systemId)",False
0,W3CDomHandler,19,"org.w3c.dom.Document parse(String input, String publicId, String systemId)",False
0,W3CDomHandler,20,"org.w3c.dom.Document parse(URL url, String publicId, String systemId)",False
0,W3CDomHandler,21,"org.w3c.dom.Document parse(File file, String publicId, String systemId)",False
0,W3CDomHandler,22,"org.w3c.dom.Document parse(FileInputStream fis, String publicId, String systemId)",False
0,W3CDomHandler,23,"org.w3c.dom.Document parse(FileReader fr, String publicId, String systemId)",False
1,XmlElement.DEFAULT,1,boolean add(E e),False
1,XmlElement.DEFAULT,2,"void add(int index, E element)",False
1,XmlElement.DEFAULT,3,boolean addAll(Collection<? extends E> c),False
1,XmlElement.DEFAULT,4,"boolean addAll(int index, Collection<? extends E> c)",False
1,XmlElement.DEFAULT,5,void clear(),False
1,XmlElement.DEFAULT,6,@XmlElement,False
1,XmlElement.DEFAULT,7,@XmlRootElement,False
1,XmlElement.DEFAULT,8,@XmlAttribute,False
1,XmlElement.DEFAULT,9,@XmlAccessorType,False
1,XmlElement.DEFAULT,10,@XmlAccessorOrder,False
2,XmlElementDecl.GLOBAL,1,boolean add(E e),False
2,XmlElementDecl.GLOBAL,2,"void add(int index, E element)",False
2,XmlElementDecl.GLOBAL,3,boolean addAll(Collection<? extends E> c),False
2,XmlElementDecl.GLOBAL,4,"boolean addAll(int index, Collection<? extends E> c)",False
2,XmlElementDecl.GLOBAL,5,void clear(),False
3,XmlElementRef.DEFAULT,1,boolean add(E e),False
3,XmlElementRef.DEFAULT,2,"void add(int index, E element)",False
3,XmlElementRef.DEFAULT,3,boolean addAll(Collection<? extends E> c),False
3,XmlElementRef.DEFAULT,4,void clear(),False
3,XmlElementRef.DEFAULT,5,boolean contains(Object o),False
4,XmlSchemaType.DEFAULT,1,boolean add(E e),False
4,XmlSchemaType.DEFAULT,2,"void add(int index, E element)",False
4,XmlSchemaType.DEFAULT,3,boolean addAll(Collection<? extends E> c),False
4,XmlSchemaType.DEFAULT,4,"boolean addAll(int index, Collection<? extends E> c)",False
4,XmlSchemaType.DEFAULT,5,void clear(),False
4,XmlSchemaType.DEFAULT,6,boolean contains(Object o),False
4,XmlSchemaType.DEFAULT,7,boolean containsAll(Collection<?> c),False
4,XmlSchemaType.DEFAULT,8,E get(int index),False
4,XmlSchemaType.DEFAULT,9,int indexOf(Object o),False
4,XmlSchemaType.DEFAULT,10,boolean isEmpty(),False
4,XmlSchemaType.DEFAULT,11,int lastIndexOf(Object o),False
4,XmlSchemaType.DEFAULT,12,E remove(int index),False
4,XmlSchemaType.DEFAULT,13,boolean remove(Object o),False
4,XmlSchemaType.DEFAULT,14,boolean removeAll(Collection<?> c),False
4,XmlSchemaType.DEFAULT,15,boolean retainAll(Collection<?> c),False
4,XmlSchemaType.DEFAULT,16,"E set(int index, E element)",False
4,XmlSchemaType.DEFAULT,17,int size(),False
4,XmlSchemaType.DEFAULT,18,"List<E> subList(int fromIndex, int toIndex)",False
4,XmlSchemaType.DEFAULT,19,Object[] toArray(),False
4,XmlSchemaType.DEFAULT,20,<T> T[] toArray(T[] a),False
5,XmlType.DEFAULT,1,boolean add(E e),False
5,XmlType.DEFAULT,2,"void add(int index, E element)",False
5,XmlType.DEFAULT,3,boolean addAll(Collection<? extends E> c),False
5,XmlType.DEFAULT,4,"boolean addAll(int index, Collection<? extends E> c)",False
5,XmlType.DEFAULT,5,void clear(),False
