ClassName,Method,Return Type,Description,Full Description
DescriptorSupport,clone(),Object,Returns a new Descriptor which is a duplicate of the Descriptor.,"

clone
public Object clone()
             throws RuntimeOperationsException
Returns a new Descriptor which is a duplicate of the Descriptor.

Specified by:
clone in interface Descriptor
Overrides:
clone in class Object
Returns:
a clone of this instance.
Throws:
RuntimeOperationsException - for illegal value for
 field Names or field Values.  If the descriptor construction
 fails for any reason, this exception will be thrown.
See Also:
Cloneable


"
DescriptorSupport,equals(Object o),boolean,Compares this descriptor to the given object.,"

equals
public boolean equals(Object o)
Compares this descriptor to the given object.  The objects are equal if
 the given object is also a Descriptor, and if the two Descriptors have
 the same field names (possibly differing in case) and the same
 associated values.  The respective values for a field in the two
 Descriptors are equal if the following conditions hold:

 
If one value is null then the other must be too.
If one value is a primitive array then the other must be a primitive
 array of the same type with the same elements.
If one value is an object array then the other must be too and
 Arrays.deepEquals
 must return true.
Otherwise Object.equals(Object) must return true.


Specified by:
equals in interface Descriptor
Overrides:
equals in class Object
Parameters:
o - the object to compare with.
Returns:
true if the objects are the same; false
 otherwise.
See Also:
Object.hashCode(), 
HashMap


"
DescriptorSupport,getFieldNames(),String[],Returns all the field names in the descriptor.,"

getFieldNames
public String[] getFieldNames()
Description copied from interface: Descriptor
Returns all the field names in the descriptor.

Specified by:
getFieldNames in interface Descriptor
Returns:
String array of field names. If the descriptor is empty,
 you will get an empty array.


"
DescriptorSupport,getFields(),String[],Returns all of the fields contained in this descriptor as a string array.,"

getFields
public String[] getFields()
Description copied from interface: Descriptor
Returns all of the fields contained in this descriptor as a string array.

Specified by:
getFields in interface Descriptor
Returns:
String array of fields in the format fieldName=fieldValue
If the value of a field is not a String, then the toString() method
 will be called on it and the returned value, enclosed in parentheses,
 used as the value for the field in the returned array. If the value
 of a field is null, then the value of the field in the returned array
 will be empty.  If the descriptor is empty, you will get
 an empty array.
See Also:
Descriptor.setFields(java.lang.String[], java.lang.Object[])


"
DescriptorSupport,getFieldValue(String fieldName),Object,"Returns the value for a specific field name, or null if no value is present for that name.","

getFieldValue
public Object getFieldValue(String fieldName)
                     throws RuntimeOperationsException
Description copied from interface: Descriptor
Returns the value for a specific field name, or null if no value
 is present for that name.

Specified by:
getFieldValue in interface Descriptor
Parameters:
fieldName - the field name.
Returns:
the corresponding value, or null if the field is not present.
Throws:
RuntimeOperationsException - if the field name is illegal.


"
DescriptorSupport,getFieldValues(String... fieldNames),Object[],Returns all the field values in the descriptor as an array of Objects.,"

getFieldValues
public Object[] getFieldValues(String... fieldNames)
Description copied from interface: Descriptor
Returns all the field values in the descriptor as an array of Objects. The
 returned values are in the same order as the fieldNames String array parameter.

Specified by:
getFieldValues in interface Descriptor
Parameters:
fieldNames - String array of the names of the fields that
 the values should be returned for.  If the array is empty then
 an empty array will be returned.  If the array is null then all
 values will be returned, as if the parameter were the array
 returned by Descriptor.getFieldNames().  If a field name in the
 array does not exist, including the case where it is null or
 the empty string, then null is returned for the matching array
 element being returned.
Returns:
Object array of field values. If the list of fieldNames
 is empty, you will get an empty array.


"
DescriptorSupport,hashCode(),int,Returns the hash code value for this descriptor.,"

hashCode
public int hashCode()
Returns the hash code value for this descriptor.  The hash
 code is computed as the sum of the hash codes for each field in
 the descriptor.  The hash code of a field with name n
 and value v is n.toLowerCase().hashCode() ^ h.
 Here h is the hash code of v, computed as
 follows:

If v is null then h is 0.
If v is a primitive array then h is computed using
 the appropriate overloading of java.util.Arrays.hashCode.
If v is an object array then h is computed using
 Arrays.deepHashCode.
Otherwise h is v.hashCode().


Specified by:
hashCode in interface Descriptor
Overrides:
hashCode in class Object
Returns:
A hash code value for this object.
See Also:
Object.equals(java.lang.Object), 
System.identityHashCode(java.lang.Object)


"
DescriptorSupport,isValid(),boolean,Returns true if all of the fields have legal values given their names.,"

isValid
public boolean isValid()
                throws RuntimeOperationsException
Returns true if all of the fields have legal values given their
 names.
 
 This implementation does not support  interoperating with a directory
 or lookup service. Thus, conforming to the specification, no checking is
 done on the ""export"" field.
 
 Otherwise this implementation returns false if:
 
 name and descriptorType fieldNames are not defined, or
 null, or empty, or not String
  class, role, getMethod, setMethod fieldNames, if defined,
 are null or not String
  persistPeriod, currencyTimeLimit, lastUpdatedTimeStamp,
 lastReturnedTimeStamp if defined, are null, or not a Numeric
 String or not a Numeric Value >= -1
  log fieldName, if defined, is null, or not a Boolean or
 not a String with value ""t"", ""f"", ""true"", ""false"". These String
 values must not be case sensitive.
  visibility fieldName, if defined, is null, or not a
 Numeric String or a not Numeric Value >= 1 and <= 4
  severity fieldName, if defined, is null, or not a Numeric
 String or not a Numeric Value >= 0 and <= 6
 persistPolicy fieldName, if defined, is null, or not one of
 the following strings:
   ""OnUpdate"", ""OnTimer"", ""NoMoreOftenThan"", ""OnUnregister"", ""Always"",
   ""Never"". These String values must not be case sensitive.


Specified by:
isValid in interface Descriptor
Returns:
true if the values are legal.
Throws:
RuntimeOperationsException - If the validity checking
 fails for any reason, this exception will be thrown.


"
DescriptorSupport,removeField(String fieldName),void,Removes a field from the descriptor.,"

removeField
public void removeField(String fieldName)
Description copied from interface: Descriptor
Removes a field from the descriptor.

Specified by:
removeField in interface Descriptor
Parameters:
fieldName - String name of the field to be removed.
 If the field name is illegal or the field is not found,
 no exception is thrown.


"
DescriptorSupport,"setField(String fieldName, Object fieldValue)",void,Sets the value for a specific field name.,"

setField
public void setField(String fieldName,
                     Object fieldValue)
              throws RuntimeOperationsException
Description copied from interface: Descriptor
Sets the value for a specific field name. This will
 modify an existing field or add a new field.
The field value will be validated before it is set.
 If it is not valid, then an exception will be thrown.
 The meaning of validity is dependent on the descriptor
 implementation.

Specified by:
setField in interface Descriptor
Parameters:
fieldName - The field name to be set. Cannot be null or empty.
fieldValue - The field value to be set for the field
 name. Can be null if that is a valid value for the field.
Throws:
RuntimeOperationsException - if the field name or field value
 is illegal (wrapped exception is IllegalArgumentException); or
 if the descriptor is immutable (wrapped exception is
 UnsupportedOperationException).


"
