FileName,Compilable,Runnable,Correct
AtomicBoolean_1,True,True,True
AtomicBoolean_2,True,True,True
AtomicBoolean_3,True,True,True
AtomicBoolean_4,True,True,True
AtomicBoolean_5,True,True,True
AtomicInteger_1,True,True,True
AtomicInteger_2,True,True,True
AtomicInteger_3,True,True,True
AtomicInteger_4,True,True,True
AtomicInteger_5,True,True,True
AtomicLong_1,True,True,True
AtomicLong_2,True,True,True
AtomicLong_3,True,True,True
AtomicLong_4,True,True,True
AtomicLong_5,True,True,True
AtomicMarkableReference_2,True,True,True
AtomicMarkableReference_5,True,True,True
AtomicReference_1,True,True,True
AtomicReference_2,True,True,True
AtomicReference_3,True,True,True
AtomicReference_4,True,True,True
AtomicReference_5,True,False,False
AtomicReferenceArray_1,True,True,True
AtomicReferenceArray_2,True,True,True
AtomicReferenceArray_3,True,True,True
AtomicReferenceArray_4,True,True,True
AtomicStampedReference_1,True,True,True
AtomicStampedReference_2,True,True,True
AtomicStampedReference_3,True,True,True
AtomicStampedReference_4,True,True,True
AtomicStampedReference_5,True,True,True
DoubleAccumulator_1,True,True,True
DoubleAccumulator_2,True,True,True
LongAccumulator_1,True,True,True
LongAccumulator_2,True,True,True
LongAccumulator_3,True,True,True
LongAccumulator_4,True,True,True
LongAdder_1,True,True,True
LongAdder_2,True,True,True
LongAdder_3,True,True,True
LongAdder_4,True,True,True
LongAdder_5,True,True,True
