Sample Number,ClassName,Snippet Number,Method,Exist
0,OutputKeys,1,String get(String key),False
0,OutputKeys,2,"void set(String key, String value)",False
0,OutputKeys,3,String remove(String key),False
0,OutputKeys,4,String getMethod(),False
0,OutputKeys,5,void setMethod(String method),False
1,Transformer,1,"void setOutputProperty(String name, String value)",True
1,Transformer,2,"void transform(Source xmlSource, Result outputTarget)",True
1,Transformer,3,"void setParameter(String name, Object value)",True
1,Transformer,4,void setURIResolver(URIResolver resolver),True
1,Transformer,5,void setOutputProperties(Properties oformat),True
