ClassName,Method,Return Type,Description,Full Description
DateTimeFormatter,format(TemporalAccessor temporal),String,Formats a date-time object using this formatter.,"

format
public String format(TemporalAccessor temporal)
Formats a date-time object using this formatter.
 
 This formats the date-time to a String using the rules of the formatter.

Parameters:
temporal - the temporal object to format, not null
Returns:
the formatted string, not null
Throws:
DateTimeException - if an error occurs during formatting


"
DateTimeFormatter,"formatTo(TemporalAccessor temporal, Appendable appendable)",void,Formats a date-time object to an Appendable using this formatter.,"

formatTo
public void formatTo(TemporalAccessor temporal,
                     Appendable appendable)
Formats a date-time object to an Appendable using this formatter.
 
 This outputs the formatted date-time to the specified destination.
 Appendable is a general purpose interface that is implemented by all
 key character output classes including StringBuffer, StringBuilder,
 PrintStream and Writer.
 
 Although Appendable methods throw an IOException, this method does not.
 Instead, any IOException is wrapped in a runtime exception.

Parameters:
temporal - the temporal object to format, not null
appendable - the appendable to format to, not null
Throws:
DateTimeException - if an error occurs during formatting


"
DateTimeFormatter,getChronology(),Chronology,Gets the overriding chronology to be used during formatting.,"

getChronology
public Chronology getChronology()
Gets the overriding chronology to be used during formatting.
 
 This returns the override chronology, used to convert dates.
 By default, a formatter has no override chronology, returning null.
 See withChronology(Chronology) for more details on overriding.

Returns:
the override chronology of this formatter, null if no override


"
DateTimeFormatter,getDecimalStyle(),DecimalStyle,Gets the DecimalStyle to be used during formatting.,"

getDecimalStyle
public DecimalStyle getDecimalStyle()
Gets the DecimalStyle to be used during formatting.

Returns:
the locale of this formatter, not null


"
DateTimeFormatter,getLocale(),Locale,Gets the locale to be used during formatting.,"

getLocale
public Locale getLocale()
Gets the locale to be used during formatting.
 
 This is used to lookup any part of the formatter needing specific
 localization, such as the text or localized pattern.

Returns:
the locale of this formatter, not null


"
DateTimeFormatter,getResolverFields(),Set<TemporalField>,Gets the resolver fields to use during parsing.,"

getResolverFields
public Set<TemporalField> getResolverFields()
Gets the resolver fields to use during parsing.
 
 This returns the resolver fields, used during the second phase of parsing
 when fields are resolved into dates and times.
 By default, a formatter has no resolver fields, and thus returns null.
 See withResolverFields(Set) for more details.

Returns:
the immutable set of resolver fields of this formatter, null if no fields


"
DateTimeFormatter,getResolverStyle(),ResolverStyle,Gets the resolver style to use during parsing.,"

getResolverStyle
public ResolverStyle getResolverStyle()
Gets the resolver style to use during parsing.
 
 This returns the resolver style, used during the second phase of parsing
 when fields are resolved into dates and times.
 By default, a formatter has the SMART resolver style.
 See withResolverStyle(ResolverStyle) for more details.

Returns:
the resolver style of this formatter, not null


"
DateTimeFormatter,getZone(),ZoneId,Gets the overriding zone to be used during formatting.,"

getZone
public ZoneId getZone()
Gets the overriding zone to be used during formatting.
 
 This returns the override zone, used to convert instants.
 By default, a formatter has no override zone, returning null.
 See withZone(ZoneId) for more details on overriding.

Returns:
the override zone of this formatter, null if no override


"
DateTimeFormatter,ofLocalizedDate(FormatStyle dateStyle),static DateTimeFormatter,Returns a locale specific date format for the ISO chronology.,"

ofLocalizedDate
public static DateTimeFormatter ofLocalizedDate(FormatStyle dateStyle)
Returns a locale specific date format for the ISO chronology.
 
 This returns a formatter that will format or parse a date.
 The exact format pattern used varies by locale.
 
 The locale is determined from the formatter. The formatter returned directly by
 this method will use the default FORMAT locale.
 The locale can be controlled using withLocale(Locale)
 on the result of this method.
 
 Note that the localized pattern is looked up lazily.
 This DateTimeFormatter holds the style required and the locale,
 looking up the pattern required on demand.
 
 The returned formatter has a chronology of ISO set to ensure dates in
 other calendar systems are correctly converted.
 It has no override zone and uses the SMART resolver style.

Parameters:
dateStyle - the formatter style to obtain, not null
Returns:
the date formatter, not null


"
DateTimeFormatter,ofLocalizedDateTime(FormatStyle dateTimeStyle),static DateTimeFormatter,Returns a locale specific date-time formatter for the ISO chronology.,"

ofLocalizedDateTime
public static DateTimeFormatter ofLocalizedDateTime(FormatStyle dateTimeStyle)
Returns a locale specific date-time formatter for the ISO chronology.
 
 This returns a formatter that will format or parse a date-time.
 The exact format pattern used varies by locale.
 
 The locale is determined from the formatter. The formatter returned directly by
 this method will use the default FORMAT locale.
 The locale can be controlled using withLocale(Locale)
 on the result of this method.
 
 Note that the localized pattern is looked up lazily.
 This DateTimeFormatter holds the style required and the locale,
 looking up the pattern required on demand.
 
 The returned formatter has a chronology of ISO set to ensure dates in
 other calendar systems are correctly converted.
 It has no override zone and uses the SMART resolver style.

Parameters:
dateTimeStyle - the formatter style to obtain, not null
Returns:
the date-time formatter, not null


"
