ClassName,Method,Return Type,Description,Full Description
DiagnosticCollector,getDiagnostics(),List<Diagnostic<? extends S>>,Gets a list view of diagnostics collected by this object.,"

getDiagnostics
public List<Diagnostic<? extends S>> getDiagnostics()
Gets a list view of diagnostics collected by this object.

Returns:
a list view of diagnostics


"
DiagnosticCollector,report(Diagnostic<? extends S> diagnostic),void,Invoked when a problem is found.,"

report
public void report(Diagnostic<? extends S> diagnostic)
Description copied from interface: DiagnosticListener
Invoked when a problem is found.

Specified by:
report in interface DiagnosticListener<S>
Parameters:
diagnostic - a diagnostic representing the problem that
 was found


"
ForwardingFileObject,delete(),boolean,Deletes this file object.,"

delete
public boolean delete()
Description copied from interface: FileObject
Deletes this file object.  In case of errors, returns false.

Specified by:
delete in interface FileObject
Returns:
true if and only if this file object is successfully
 deleted; false otherwise


"
ForwardingFileObject,getCharContent(boolean ignoreEncodingErrors),CharSequence,"Gets the character content of this file object, if available.","

getCharContent
public CharSequence getCharContent(boolean ignoreEncodingErrors)
                            throws IOException
Description copied from interface: FileObject
Gets the character content of this file object, if available.
 Any byte that cannot be decoded will be replaced by the default
 translation character.  In addition, a diagnostic may be
 reported unless ignoreEncodingErrors is true.

Specified by:
getCharContent in interface FileObject
Parameters:
ignoreEncodingErrors - ignore encoding errors if true
Returns:
a CharSequence if available; null otherwise
Throws:
IllegalStateException - if this file object was
 opened for writing and does not support reading
UnsupportedOperationException - if this kind of
 file object does not support character access
IOException - if an I/O error occurred


"
ForwardingFileObject,getLastModified(),long,Gets the time this file object was last modified.,"

getLastModified
public long getLastModified()
Description copied from interface: FileObject
Gets the time this file object was last modified.  The time is
 measured in milliseconds since the epoch (00:00:00 GMT, January
 1, 1970).

Specified by:
getLastModified in interface FileObject
Returns:
the time this file object was last modified; or 0 if
 the file object does not exist, if an I/O error occurred, or if
 the operation is not supported


"
ForwardingFileObject,getName(),String,Gets a user-friendly name for this file object.,"

getName
public String getName()
Description copied from interface: FileObject
Gets a user-friendly name for this file object.  The exact
 value returned is not specified but implementations should take
 care to preserve names as given by the user.  For example, if
 the user writes the filename ""BobsApp\Test.java"" on
 the command line, this method should return ""BobsApp\Test.java"" whereas the toUri
 method might return file:///C:/Documents%20and%20Settings/UncleBob/BobsApp/Test.java.

Specified by:
getName in interface FileObject
Returns:
a user-friendly name


"
ForwardingFileObject,openInputStream(),InputStream,Gets an InputStream for this file object.,"

openInputStream
public InputStream openInputStream()
                            throws IOException
Description copied from interface: FileObject
Gets an InputStream for this file object.

Specified by:
openInputStream in interface FileObject
Returns:
an InputStream
Throws:
IllegalStateException - if this file object was
 opened for writing and does not support reading
UnsupportedOperationException - if this kind of file
 object does not support byte access
IOException - if an I/O error occurred


"
ForwardingFileObject,openOutputStream(),OutputStream,Gets an OutputStream for this file object.,"

openOutputStream
public OutputStream openOutputStream()
                              throws IOException
Description copied from interface: FileObject
Gets an OutputStream for this file object.

Specified by:
openOutputStream in interface FileObject
Returns:
an OutputStream
Throws:
IllegalStateException - if this file object was
 opened for reading and does not support writing
UnsupportedOperationException - if this kind of
 file object does not support byte access
IOException - if an I/O error occurred


"
ForwardingFileObject,openReader(boolean ignoreEncodingErrors),Reader,Gets a reader for this object.,"

openReader
public Reader openReader(boolean ignoreEncodingErrors)
                  throws IOException
Description copied from interface: FileObject
Gets a reader for this object.  The returned reader will
 replace bytes that cannot be decoded with the default
 translation character.  In addition, the reader may report a
 diagnostic unless ignoreEncodingErrors is true.

Specified by:
openReader in interface FileObject
Parameters:
ignoreEncodingErrors - ignore encoding errors if true
Returns:
a Reader
Throws:
IllegalStateException - if this file object was
 opened for writing and does not support reading
UnsupportedOperationException - if this kind of
 file object does not support character access
IOException - if an I/O error occurred


"
ForwardingFileObject,openWriter(),Writer,Gets a Writer for this file object.,"

openWriter
public Writer openWriter()
                  throws IOException
Description copied from interface: FileObject
Gets a Writer for this file object.

Specified by:
openWriter in interface FileObject
Returns:
a Writer
Throws:
IllegalStateException - if this file object was
 opened for reading and does not support writing
UnsupportedOperationException - if this kind of
 file object does not support character access
IOException - if an I/O error occurred


"
ForwardingFileObject,toUri(),URI,Returns a URI identifying this file object.,"

toUri
public URI toUri()
Description copied from interface: FileObject
Returns a URI identifying this file object.

Specified by:
toUri in interface FileObject
Returns:
a URI


"
ForwardingJavaFileManager,close(),void,Releases any resources opened by this file manager directly or indirectly.,"

close
public void close()
           throws IOException
Description copied from interface: JavaFileManager
Releases any resources opened by this file manager directly or
 indirectly.  This might render this file manager useless and
 the effect of subsequent calls to methods on this object or any
 objects obtained through this object is undefined unless
 explicitly allowed.  However, closing a file manager which has
 already been closed has no effect.

Specified by:
close in interface Closeable
Specified by:
close in interface AutoCloseable
Specified by:
close in interface JavaFileManager
Throws:
IOException - if an I/O error occurred
See Also:
JavaFileManager.flush()


"
ForwardingJavaFileManager,flush(),void,Flushes any resources opened for output by this file manager directly or indirectly.,"

flush
public void flush()
           throws IOException
Description copied from interface: JavaFileManager
Flushes any resources opened for output by this file manager
 directly or indirectly.  Flushing a closed file manager has no
 effect.

Specified by:
flush in interface Flushable
Specified by:
flush in interface JavaFileManager
Throws:
IOException - if an I/O error occurred
See Also:
JavaFileManager.close()


"
ForwardingJavaFileManager,getClassLoader(JavaFileManager.Location location),ClassLoader,Gets a class loader for loading plug-ins from the given location.,"

getClassLoader
public ClassLoader getClassLoader(JavaFileManager.Location location)
Description copied from interface: JavaFileManager
Gets a class loader for loading plug-ins from the given
 location.  For example, to load annotation processors, a
 compiler will request a class loader for the ANNOTATION_PROCESSOR_PATH location.

Specified by:
getClassLoader in interface JavaFileManager
Parameters:
location - a location
Returns:
a class loader for the given location; or null
 if loading plug-ins from the given location is disabled or if
 the location is not known
Throws:
SecurityException - if a class loader can not be created
 in the current security context
IllegalStateException - if JavaFileManager.close() has been called
 and this file manager cannot be reopened


"
ForwardingJavaFileManager,"getFileForInput(JavaFileManager.Location location, String packageName, String relativeName)",FileObject,Gets a file object for input representing the specified relative name in the specified package in the given location.,"

getFileForInput
public FileObject getFileForInput(JavaFileManager.Location location,
                                  String packageName,
                                  String relativeName)
                           throws IOException
Description copied from interface: JavaFileManager
Gets a file object for input
 representing the specified relative
 name in the specified package in the given location.

 If the returned object represents a source or class file, it must be an instance
 of JavaFileObject.

 Informally, the file object returned by this method is
 located in the concatenation of the location, package name, and
 relative name.  For example, to locate the properties file
 ""resources/compiler.properties"" in the package
 ""com.sun.tools.javac"" in the SOURCE_PATH location, this method
 might be called like so:

 getFileForInput(SOURCE_PATH, ""com.sun.tools.javac"", ""resources/compiler.properties"");
If the call was executed on Windows, with SOURCE_PATH set to
 ""C:\Documents and Settings\UncleBob\src\share\classes"",
 a valid result would be a file object representing the file
 ""C:\Documents and Settings\UncleBob\src\share\classes\com\sun\tools\javac\resources\compiler.properties"".

Specified by:
getFileForInput in interface JavaFileManager
Parameters:
location - a location
packageName - a package name
relativeName - a relative name
Returns:
a file object, might return null if the file
 does not exist
Throws:
IllegalArgumentException - if the location is not known
 to this file manager and the file manager does not support
 unknown locations, or if relativeName is not valid
IllegalStateException - if JavaFileManager.close() has been called
 and this file manager cannot be reopened
IOException - if an I/O error occurred, or if JavaFileManager.close() has been called and this file manager cannot be
 reopened


"
