Sample Number,ClassName,Snippet Number,Method,Exist
1,AdapterNonExistentHelper,1,"void write(org.omg.CORBA.portable.OutputStream out, org.omg.PortableServer.POAPackage.AdapterNonExistent ex)",False
1,AdapterNonExistentHelper,2,org.omg.PortableServer.POAPackage.AdapterNonExistent read(org.omg.CORBA.portable.InputStream in),False
1,AdapterNonExistentHelper,3,org.omg.CORBA.TypeCode type(),False
1,AdapterNonExistentHelper,4,java.lang.String id(),False
1,AdapterNonExistentHelper,5,org.omg.PortableServer.POAPackage.AdapterNonExistent insert(org.omg.CORBA.Any a),False
3,NoServantHelper,1,void raise_no_servant(),False
3,NoServantHelper,2,void write(org.omg.CORBA.portable.OutputStream out),False
3,NoServantHelper,3,void insert(org.omg.CORBA.portable.InputStream in),False
3,NoServantHelper,4,"void write(org.omg.CORBA.portable.OutputStream out, org.omg.PortableServer.POAPackage.NoServant ex)",False
3,NoServantHelper,5,org.omg.PortableServer.POAPackage.NoServant value(),False
4,ObjectAlreadyActiveHelper,1,org.omg.PortableServer.POAPackage.ObjectAlreadyActive read(org.omg.CORBA.portable.InputStream input),False
4,ObjectAlreadyActiveHelper,2,"void write(org.omg.CORBA.portable.OutputStream output, org.omg.PortableServer.POAPackage.ObjectAlreadyActive value)",False
5,ObjectNotActiveHelper,1,void raise_object_not_active(),False
5,ObjectNotActiveHelper,2,ObjectNotActive extract(),False
5,ObjectNotActiveHelper,3,"void write(OutputStream out, ObjectNotActive value)",True
5,ObjectNotActiveHelper,4,ObjectNotActive read(InputStream input),True
5,ObjectNotActiveHelper,5,TypeCode type(),True
6,ServantAlreadyActiveHelper,1,"void write(org.omg.CORBA.portable.OutputStream out, org.omg.PortableServer.POAPackage.ServantAlreadyActive ex)",False
6,ServantAlreadyActiveHelper,2,org.omg.PortableServer.POAPackage.ServantAlreadyActive read(org.omg.CORBA.portable.InputStream in),False
6,ServantAlreadyActiveHelper,3,org.omg.PortableServer.POAPackage.ServantAlreadyActive extract(org.omg.CORBA.Any a),False
6,ServantAlreadyActiveHelper,4,"void insert(org.omg.CORBA.Any a, org.omg.PortableServer.POAPackage.ServantAlreadyActive ex)",False
6,ServantAlreadyActiveHelper,5,String id(),True
7,ServantNotActiveHelper,1,"void activate_object(byte[] id, org.omg.PortableServer.Servant servant)",False
7,ServantNotActiveHelper,2,org.omg.PortableServer.POAPackage.ServantNotActive extract() throws org.omg.PortableServer.POAPackage.ServantNotActive,False
7,ServantNotActiveHelper,3,org.omg.PortableServer.POAPolicy get_servant_manager(),False
7,ServantNotActiveHelper,4,"void insert_object(org.omg.PortableServer.Servant servant, org.omg.PortableServer.POA poa) throws org.omg.PortableServer.POAPackage.ServantNotActive, org.omg.PortableServer.POAPackage.WrongPolicy",False
7,ServantNotActiveHelper,5,"void remove(byte[] id) throws org.omg.PortableServer.POAPackage.ServantNotActive, org.omg.PortableServer.POAPackage.WrongPolicy",False
8,WrongAdapterHelper,1,void wrongAdapter(org.omg.CORBA.Any a),False
8,WrongAdapterHelper,2,"void write(OutputStream out, org.omg.PortableServer.POAPackage.WrongAdapter value) throws IOException",False
8,WrongAdapterHelper,3,org.omg.PortableServer.POAPackage.WrongAdapter read(InputStream in) throws IOException,False
8,WrongAdapterHelper,4,"void insert(Any a, org.omg.PortableServer.POAPackage.WrongAdapter that) throws BadKind, Bounds",False
8,WrongAdapterHelper,5,org.omg.CORBA.TypeCode type(),False
9,WrongPolicyHelper,1,String id(),True
9,WrongPolicyHelper,2,void id(String value),False
9,WrongPolicyHelper,3,Any extractAny(org.omg.CORBA.Any a),False
9,WrongPolicyHelper,4,void insert(org.omg.CORBA.Any a),False
9,WrongPolicyHelper,5,"void write(org.omg.CORBA.portable.OutputStream s, org.omg.CORBA.portable.InputStream value)",False
