Sample Number,ClassName,Snippet Number,Method,Exist
0,Files,1,List<String> readAllLines(Path path),True
0,Files,2,"void write(Path path, byte[] bytes)",False
0,Files,3,"Path createFile(Path path, FileAttribute<?>... attrs)",True
0,Files,4,"boolean isRegularFile(Path path, LinkOption... options)",True
0,Files,5,"long size(Path path, LinkOption... options)",False
1,FileStore,1,String toString(),False
1,FileStore,2,long getTotalSpace(),True
1,FileStore,3,long getUsableSpace(),True
1,FileStore,4,long getUnallocatedSpace(),True
1,FileStore,5,boolean isReadOnly(),True
2,FileSystem,1,FileSystemProvider provider(),True
2,FileSystem,2,Iterable<Path> getRootDirectories(),True
2,FileSystem,3,"Path getPath(String first, String... more)",True
2,FileSystem,4,PathMatcher getPathMatcher(String syntaxAndPattern),True
2,FileSystem,5,WatchService newWatchService(),True
3,FileSystems,1,"Path getPath(String first, String... more)",False
3,FileSystems,2,FileSystem getFileSystem(),False
3,FileSystems,3,Iterable<Path> getRootDirectories(),False
3,FileSystems,4,WatchService newWatchService(),False
3,FileSystems,5,FileStore getFileStore(Path path),False
4,LinkPermission,1,void checkRead(),False
4,LinkPermission,2,void checkWrite(),False
4,LinkPermission,3,"void checkPermission(String path, String actions)",False
4,LinkPermission,4,LinkPermission(String actions),False
4,LinkPermission,5,boolean implies(Permission p),False
5,Paths,1,Path relativize(Path other),False
5,Paths,2,Path resolve(String other),False
5,Paths,3,Path resolveSibling(Path other),False
5,Paths,4,File toFile(),False
5,Paths,5,InputStream newInputStream(OpenOption... options),False
6,SimpleFileVisitor,1,"FileVisitResult postVisitDirectory(Object dir, IOException exc)",False
6,SimpleFileVisitor,2,"FileVisitResult preVisitDirectory(Object dir, BasicFileAttributes attrs)",False
6,SimpleFileVisitor,3,"FileVisitResult visitFile(Object file, BasicFileAttributes attrs)",False
6,SimpleFileVisitor,4,"FileVisitResult visitFileFailed(Object file, IOException exc)",False
6,SimpleFileVisitor,5,"void folders(int depth, String path, BasicFileAttributes attr)",False
7,StandardWatchEventKinds,1,WatchEvent.Kind<?> kind(),False
7,StandardWatchEventKinds,2,WatchEvent.Modifier modifier(),False
7,StandardWatchEventKinds,3,WatchEvent<Path> context(),False
7,StandardWatchEventKinds,4,boolean isOverflow(),False
7,StandardWatchEventKinds,5,WatchEvent.Kind<Path> kind(),False
