Sample Number,ClassName,Snippet Number,Method,Exist,Description,Full Description
0,IIORegistry,1,void registerServiceProvider(Object provider),False,,NULL
0,IIORegistry,2,void deregisterServiceProvider(Object provider),False,,NULL
0,IIORegistry,3,"Iterator<ServiceRegistry.Filter> getServiceProviders(Class<?> providerClass, boolean returnInstances)",False,,NULL
0,IIORegistry,4,"Iterator<ServiceRegistry.Filter> getServiceProviders(Class<?> providerClass, ServiceRegistry.Filter filter, boolean returnInstances)",False,,NULL
0,IIORegistry,5,"void setOrdering(Class<?> category, Object firstProvider, Object secondProvider)",False,,NULL
2,ImageInputStreamSpi,1,String getDescription(),False,,NULL
2,ImageInputStreamSpi,2,ImageInputStream createInputStreamInstance(Object input),True,,"

createInputStreamInstance
public ImageInputStream createInputStreamInstance(Object input)
                                           throws IOException
Returns an instance of the ImageInputStream
 implementation associated with this service provider.  A cache
 file will be created in the system-dependent default
 temporary-file directory, if needed.

Parameters:
input - an object of the class type returned by
 getInputClass.
Returns:
an ImageInputStream instance.
Throws:
IllegalArgumentException - if input is
 not an instance of the correct class or is null.
IOException - if a cache file is needed but cannot be
 created.
See Also:
getInputClass()


"
2,ImageInputStreamSpi,3,boolean canUseCacheFile(),True,,"

canUseCacheFile
public boolean canUseCacheFile()
Returns true if the ImageInputStream
 implementation associated with this service provider can
 optionally make use of a cache file for improved performance
 and/or memory footrprint.  If false, the value of
 the useCache argument to
 createInputStreamInstance will be ignored.

  The default implementation returns false.

Returns:
true if a cache file can be used by the
 input streams created by this service provider.


"
2,ImageInputStreamSpi,4,boolean needsCacheFile(),True,,"

needsCacheFile
public boolean needsCacheFile()
Returns true if the ImageInputStream
 implementation associated with this service provider requires
 the use of a cache File.  If true,
 the value of the useCache argument to
 createInputStreamInstance will be ignored.

  The default implementation returns false.

Returns:
true if a cache file is needed by the
 input streams created by this service provider.


"
2,ImageInputStreamSpi,5,boolean isOwnProviderFor(ImageInputStream stream),False,,NULL
3,ImageOutputStreamSpi,1,String getDescription(),False,,NULL
3,ImageOutputStreamSpi,2,String[] getFileSuffixes(),False,,NULL
3,ImageOutputStreamSpi,3,String[] getMIMETypes(),False,,NULL
3,ImageOutputStreamSpi,4,boolean canUseCache(),False,,NULL
