Sample Number,ClassName,Snippet Number,Method,Exist
0,AsynchronousChannelGroup,1,AsynchronousSocketChannel openSocketChannel(),False
0,AsynchronousChannelGroup,2,AsynchronousServerSocketChannel openServerSocketChannel(),False
0,AsynchronousChannelGroup,3,AsynchronousDatagramChannel openDatagramChannel(),False
0,AsynchronousChannelGroup,4,"AsynchronousFileChannel openFileChannel(Path path, Set<? extends OpenOption> options, ExecutorService executor, FileAttribute<?>... attrs)",False
0,AsynchronousChannelGroup,5,AsynchronousChannelGroup withThreadPool(ExecutorService executor),True
1,AsynchronousFileChannel,1,"Future<Integer> read(ByteBuffer dst, long position)",True
1,AsynchronousFileChannel,2,"Future<Integer> write(ByteBuffer src, long position)",True
1,AsynchronousFileChannel,3,"Future<FileLock> lock(long position, long size, boolean shared)",True
1,AsynchronousFileChannel,4,"Future<FileLock> tryLock(long position, long size, boolean shared)",False
1,AsynchronousFileChannel,5,void close(),False
2,AsynchronousServerSocketChannel,1,Future<Void> bind(SocketAddress local),False
2,AsynchronousServerSocketChannel,2,AsynchronousSocketChannel accept(),False
2,AsynchronousServerSocketChannel,3,void close(),False
2,AsynchronousServerSocketChannel,4,AsynchronousServerSocketChannel open(AsynchronousChannelGroup group),True
2,AsynchronousServerSocketChannel,5,Set<SocketOption<T>> supportedOptions(),False
3,AsynchronousSocketChannel,1,Future<Integer> read(ByteBuffer dst),True
3,AsynchronousSocketChannel,2,Future<Integer> write(ByteBuffer src),True
3,AsynchronousSocketChannel,3,void connect(SocketAddress remote),False
3,AsynchronousSocketChannel,4,SocketAddress getRemoteAddress(),True
3,AsynchronousSocketChannel,5,AsynchronousSocketChannel bind(SocketAddress local),True
4,Channels,1,ReadableByteChannel newChannel(InputStream in),True
4,Channels,2,WritableByteChannel newChannel(OutputStream out),True
4,Channels,3,"SeekableByteChannel newChannel(Path path, OpenOption... options)",False
4,Channels,4,ReadableByteChannel newChannel(ReadableByteChannel existingByteChannel),False
4,Channels,5,WritableByteChannel newChannel(WritableByteChannel existingByteChannel),False
5,DatagramChannel,1,"int send(ByteBuffer src, SocketAddress target)",True
5,DatagramChannel,2,SocketAddress receive(ByteBuffer dst),True
5,DatagramChannel,3,DatagramChannel bind(SocketAddress local),True
5,DatagramChannel,4,int read(ByteBuffer dst),True
5,DatagramChannel,5,int write(ByteBuffer src),True
6,FileChannel,1,int read(ByteBuffer dst),True
6,FileChannel,2,int write(ByteBuffer src),True
6,FileChannel,3,long size(),True
6,FileChannel,4,"FileLock lock(long position, long size, boolean shared)",True
6,FileChannel,5,"MappedByteBuffer map(FileChannel.MapMode mode, long position, long size)",True
7,FileChannel.MapMode,1,MappedByteBuffer force(),False
7,FileChannel.MapMode,2,int position(),False
7,FileChannel.MapMode,3,MappedByteBuffer load(),False
7,FileChannel.MapMode,4,FileChannel.MapMode mode(),False
7,FileChannel.MapMode,5,MappedByteBuffer synchronize(),False
8,FileLock,1,void release(),True
8,FileLock,2,FileChannel channel(),True
8,FileLock,3,boolean isShared(),True
8,FileLock,4,long position(),True
8,FileLock,5,long size(),True
9,MembershipKey,1,MembershipKey block(InetAddress source),True
9,MembershipKey,2,void drop(),True
9,MembershipKey,3,boolean isValid(),True
9,MembershipKey,4,Channel channel(),False
9,MembershipKey,5,MembershipKey sourceAddress(InetAddress source),False
10,Pipe,1,Pipe.SinkChannel sink(),True
10,Pipe,2,Pipe.SourceChannel source(),True
10,Pipe,3,void close(),False
10,Pipe,4,int write(ByteBuffer src),False
10,Pipe,5,int read(ByteBuffer dst),False
11,Pipe.SinkChannel,1,int write(ByteBuffer src),False
11,Pipe.SinkChannel,2,"long write(ByteBuffer[] srcs, int offset, int length)",False
11,Pipe.SinkChannel,3,Pipe.SinkChannel shutdownOutput(),False
11,Pipe.SinkChannel,4,void close(),False
11,Pipe.SinkChannel,5,int validOps(),True
12,Pipe.SourceChannel,1,int validOps(),True
12,Pipe.SourceChannel,2,SourceChannel configureBlocking(boolean blocking),False
12,Pipe.SourceChannel,3,long read(ByteBuffer dst),False
12,Pipe.SourceChannel,4,void close(),False
12,Pipe.SourceChannel,5,FileDescriptor getFileDescriptor(),False
13,SelectableChannel,1,SelectionKey keyFor(Selector sel),True
13,SelectableChannel,2,SelectableChannel configureBlocking(boolean block),True
13,SelectableChannel,3,int validOps(),True
13,SelectableChannel,4,Selector provider(),False
13,SelectableChannel,5,"SelectableChannel register(Selector sel, int ops, Object att)",False
14,SelectionKey,1,Selector selector(),True
14,SelectionKey,2,SelectableChannel channel(),True
14,SelectionKey,3,int interestOps(),True
14,SelectionKey,4,int readyOps(),True
14,SelectionKey,5,boolean isValid(),True
15,Selector,1,int select(),True
15,Selector,2,Set<SelectionKey> keys(),True
15,Selector,3,int select(long timeout),True
15,Selector,4,Selector provider(),False
15,Selector,5,int selectNow(),True
16,ServerSocketChannel,1,ServerSocketChannel open(),True
16,ServerSocketChannel,2,int validOps(),True
16,ServerSocketChannel,3,boolean isRegistered(),False
16,ServerSocketChannel,4,"SelectionKey register(Selector sel, int ops)",False
16,ServerSocketChannel,5,SelectionKey keyFor(Selector sel),False
17,SocketChannel,1,int read(ByteBuffer dst),True
17,SocketChannel,2,long write(ByteBuffer[] srcs),True
17,SocketChannel,3,SocketChannel bind(SocketAddress local),True
17,SocketChannel,4,SocketChannel connect(SocketAddress remote),False
17,SocketChannel,5,boolean finishConnect(),True
