ClassName,Method,Return Type,Description
AuthorizeCallback,getAuthenticationID(),String,Returns the authentication id to check.
AuthorizeCallback,getAuthorizationID(),String,Returns the authorization id to check.
AuthorizeCallback,getAuthorizedID(),String,Returns the id of the authorized user.
AuthorizeCallback,isAuthorized(),boolean,Determines whether the authentication id is allowed to act on behalf of the authorization id.
AuthorizeCallback,setAuthorized(boolean ok),void,Sets whether the authorization is allowed.
AuthorizeCallback,setAuthorizedID(String id),void,Sets the id of the authorized entity.
Sasl,"createSaslClient(String[] mechanisms, String authorizationId, String protocol, String serverName, Map<String,?> props, CallbackHandler cbh)",static SaslClient,Creates a SaslClient using the parameters supplied.
Sasl,"createSaslServer(String mechanism, String protocol, String serverName, Map<String,?> props, CallbackHandler cbh)",static SaslServer,Creates a SaslServer for the specified mechanism.
Sasl,getSaslClientFactories(),static Enumeration<SaslClientFactory>,Gets an enumeration of known factories for producing SaslClient.
Sasl,getSaslServerFactories(),static Enumeration<SaslServerFactory>,Gets an enumeration of known factories for producing SaslServer.
