Sample Number,ClassName,Snippet Number,Method,Exist
0,IsoFields,1,int getDayOfWeek(),False
0,IsoFields,2,int getQuarterOfYear(),False
0,IsoFields,3,int getWeekOfMonth(),False
0,IsoFields,4,int getWeekOfYear(),False
0,IsoFields,5,int getWeekOfWeekBasedYear(),False
1,JulianFields,1,int getJulianDay(LocalDate date),False
1,JulianFields,2,"long toJd(long prolepticYear, int month, int dayOfMonth)",False
1,JulianFields,3,LocalDate toLocalDate(long jd),False
1,JulianFields,4,Boolean isJulianLeap(long prolepticYear),False
1,JulianFields,5,int julianDay(LocalDate date),False
2,TemporalAdjusters,1,Temporal adjustInto(Temporal temporal),False
2,TemporalAdjusters,2,Temporal adjustInto(Temporal temporal),False
2,TemporalAdjusters,3,Temporal firstInMonth(Temporal temporal),False
2,TemporalAdjusters,4,Temporal lastDayOfMonth(),False
2,TemporalAdjusters,5,Temporal lastInMonth(Temporal temporal),False
3,TemporalQueries,1,TemporalQuery<R> precision(),False
3,TemporalQueries,2,TemporalQuery<R> zone(),False
3,TemporalQueries,3,TemporalQuery<R> offset(),False
3,TemporalQueries,4,TemporalQuery<R> localDate(),False
3,TemporalQueries,5,TemporalQuery<R> localTime(),False
4,ValueRange,1,boolean isFixed(),True
4,ValueRange,2,long getMinimum(),True
4,ValueRange,3,long getMaximum(),True
4,ValueRange,4,boolean isValidIntValue(long value),True
4,ValueRange,5,boolean isValidValue(Temporal value),False
5,WeekFields,1,WeekFields of(Locale locale),True
5,WeekFields,2,"WeekFields of(DayOfWeek firstDayOfWeek, int minimalDaysInFirstWeek)",True
5,WeekFields,3,java.util.Set<java.time.temporal.TemporalField> getWeekUnitRange(),False
5,WeekFields,4,TemporalField dayOfWeek(),True
5,WeekFields,5,TemporalField weekOfMonth(),True
