Sample Number,ClassName,Snippet Number,Method,Exist,Description,Full Description
0,Authenticator,1,"void setPasswordAuthentication(String host, int port, String protocol, String prompt, String scheme, String authType, URL url, PasswordAuthentication auth)",False,,NULL
0,Authenticator,2,"PasswordAuthentication requestPasswordAuthentication(InetAddress addr, int port, String protocol, String prompt, String scheme)",True,,"

requestPasswordAuthentication
public static PasswordAuthentication requestPasswordAuthentication(InetAddress addr,
                                                                   int port,
                                                                   String protocol,
                                                                   String prompt,
                                                                   String scheme)
Ask the authenticator that has been registered with the system
 for a password.
 
 First, if there is a security manager, its checkPermission
 method is called with a
 NetPermission(""requestPasswordAuthentication"") permission.
 This may result in a java.lang.SecurityException.

Parameters:
addr - The InetAddress of the site requesting authorization,
             or null if not known.
port - the port for the requested connection
protocol - The protocol that's requesting the connection
          (getRequestingProtocol())
prompt - A prompt string for the user
scheme - The authentication scheme
Returns:
The username/password, or null if one can't be gotten.
Throws:
SecurityException - if a security manager exists and its
        checkPermission method doesn't allow
        the password authentication request.
See Also:
SecurityManager.checkPermission(java.security.Permission), 
NetPermission


"
0,Authenticator,3,void setDefault(Authenticator a),True,,"

setDefault
public static void setDefault(Authenticator a)
Sets the authenticator that will be used by the networking code
 when a proxy or an HTTP server asks for authentication.
 
 First, if there is a security manager, its checkPermission
 method is called with a
 NetPermission(""setDefaultAuthenticator"") permission.
 This may result in a java.lang.SecurityException.

Parameters:
a - The authenticator to be set. If a is null then
                  any previously set authenticator is removed.
Throws:
SecurityException - if a security manager exists and its
        checkPermission method doesn't allow
        setting the default authenticator.
See Also:
SecurityManager.checkPermission(java.security.Permission), 
NetPermission


"
0,Authenticator,4,Authenticator getDefault(),False,,NULL
0,Authenticator,5,void setRequestingHost(String host),False,,NULL
1,CacheRequest,1,void abort(),True,,"

abort
public abstract void abort()
Aborts the attempt to cache the response. If an IOException is
 encountered while reading the response or writing to the cache,
 the current cache store operation will be abandoned.

"
1,CacheRequest,2,OutputStream getBody(),True,,"

getBody
public abstract OutputStream getBody()
                              throws IOException
Returns an OutputStream to which the response body can be
 written.

Returns:
an OutputStream to which the response body can
         be written
Throws:
IOException - if an I/O error occurs while
         writing the response body


"
1,CacheRequest,3,void close(),False,,NULL
1,CacheRequest,4,void delete(),False,,NULL
1,CacheRequest,5,"void setResponseHeaders(Map<String, List<String>> headers)",False,,NULL
2,CacheResponse,1,"Map<String, List<String>> getHeaders()",False,,NULL
2,CacheResponse,2,InputStream getBody(),True,,"

getBody
public abstract InputStream getBody()
                             throws IOException
Returns the response body as an InputStream.

Returns:
an InputStream from which the response body can
         be accessed
Throws:
IOException - if an I/O error occurs while
         getting the response body


"
2,CacheResponse,3,URI getURI(),False,,NULL
2,CacheResponse,4,String getCipherSuite(),False,,NULL
2,CacheResponse,5,List<Certificate> getServerCertificates(),False,,NULL
3,ContentHandler,1,Object getContent(URLConnection urlc),True,,"

getContent
public abstract Object getContent(URLConnection urlc)
                           throws IOException
Given a URL connect stream positioned at the beginning of the
 representation of an object, this method reads that stream and
 creates an object from it.

Parameters:
urlc - a URL connection.
Returns:
the object read by the ContentHandler.
Throws:
IOException - if an I/O error occurs while reading the object.


"
3,ContentHandler,2,String getContentType(URLConnection urlc),False,,NULL
