ClassName,Method,Return Type,Description
Clock,equals(Object obj),boolean,Checks if this clock is equal to another clock.
Clock,"fixed(Instant fixedInstant, ZoneId zone)",static Clock,Obtains a clock that always returns the same instant.
Clock,getZone(),abstract ZoneId,Gets the time-zone being used to create dates and times.
Clock,hashCode(),int,A hash code for this clock.
Clock,instant(),abstract Instant,Gets the current instant of the clock.
Clock,millis(),long,Gets the current millisecond instant of the clock.
Clock,"offset(Clock baseClock, Duration offsetDuration)",static Clock,Obtains a clock that returns instants from the specified clock with the specified duration added
Clock,system(ZoneId zone),static Clock,Obtains a clock that returns the current instant using best available system clock.
Clock,systemDefaultZone(),static Clock,"Obtains a clock that returns the current instant using the best available system clock, converting to date and time using the default time-zone."
Clock,systemUTC(),static Clock,"Obtains a clock that returns the current instant using the best available system clock, converting to date and time using the UTC time-zone."
Clock,"tick(Clock baseClock, Duration tickDuration)",static Clock,Obtains a clock that returns instants from the specified clock truncated to the nearest occurrence of the specified duration.
Clock,tickMinutes(ZoneId zone),static Clock,Obtains a clock that returns the current instant ticking in whole minutes using best available system clock.
Clock,tickSeconds(ZoneId zone),static Clock,Obtains a clock that returns the current instant ticking in whole seconds using best available system clock.
Clock,withZone(ZoneId zone),abstract Clock,Returns a copy of this clock with a different time-zone.
Duration,abs(),Duration,Returns a copy of this duration with a positive length.
Duration,addTo(Temporal temporal),Temporal,Adds this duration to the specified temporal object.
Duration,"between(Temporal startInclusive, Temporal endExclusive)",static Duration,Obtains a Duration representing the duration between two temporal objects.
Duration,compareTo(Duration otherDuration),int,Compares this duration to the specified Duration.
Duration,dividedBy(long divisor),Duration,Returns a copy of this duration divided by the specified value.
Duration,equals(Object otherDuration),boolean,Checks if this duration is equal to the specified Duration.
Duration,from(TemporalAmount amount),static Duration,Obtains an instance of Duration from a temporal amount.
Duration,get(TemporalUnit unit),long,Gets the value of the requested unit.
Duration,getNano(),int,Gets the number of nanoseconds within the second in this duration.
Duration,getSeconds(),long,Gets the number of seconds in this duration.
Duration,getUnits(),List<TemporalUnit>,Gets the set of units supported by this duration.
Duration,hashCode(),int,A hash code for this duration.
Duration,isNegative(),boolean,"Checks if this duration is negative, excluding zero."
Duration,isZero(),boolean,Checks if this duration is zero length.
Duration,minus(Duration duration),Duration,Returns a copy of this duration with the specified duration subtracted.
Duration,"minus(long amountToSubtract, TemporalUnit unit)",Duration,Returns a copy of this duration with the specified duration subtracted.
Duration,minusDays(long daysToSubtract),Duration,Returns a copy of this duration with the specified duration in standard 24 hour days subtracted.
Duration,minusHours(long hoursToSubtract),Duration,Returns a copy of this duration with the specified duration in hours subtracted.
Duration,minusMillis(long millisToSubtract),Duration,Returns a copy of this duration with the specified duration in milliseconds subtracted.
Duration,minusMinutes(long minutesToSubtract),Duration,Returns a copy of this duration with the specified duration in minutes subtracted.
Duration,minusNanos(long nanosToSubtract),Duration,Returns a copy of this duration with the specified duration in nanoseconds subtracted.
Duration,minusSeconds(long secondsToSubtract),Duration,Returns a copy of this duration with the specified duration in seconds subtracted.
Duration,multipliedBy(long multiplicand),Duration,Returns a copy of this duration multiplied by the scalar.
Duration,negated(),Duration,Returns a copy of this duration with the length negated.
Duration,"of(long amount, TemporalUnit unit)",static Duration,Obtains a Duration representing an amount in the specified unit.
Duration,ofDays(long days),static Duration,Obtains a Duration representing a number of standard 24 hour days.
Duration,ofHours(long hours),static Duration,Obtains a Duration representing a number of standard hours.
Duration,ofMillis(long millis),static Duration,Obtains a Duration representing a number of milliseconds.
Duration,ofMinutes(long minutes),static Duration,Obtains a Duration representing a number of standard minutes.
Duration,ofNanos(long nanos),static Duration,Obtains a Duration representing a number of nanoseconds.
Duration,ofSeconds(long seconds),static Duration,Obtains a Duration representing a number of seconds.
Duration,"ofSeconds(long seconds, long nanoAdjustment)",static Duration,Obtains a Duration representing a number of seconds and an adjustment in nanoseconds.
Duration,parse(CharSequence text),static Duration,Obtains a Duration from a text string such as PnDTnHnMn.nS.
Duration,plus(Duration duration),Duration,Returns a copy of this duration with the specified duration added.
Duration,"plus(long amountToAdd, TemporalUnit unit)",Duration,Returns a copy of this duration with the specified duration added.
Duration,plusDays(long daysToAdd),Duration,Returns a copy of this duration with the specified duration in standard 24 hour days added.
Duration,plusHours(long hoursToAdd),Duration,Returns a copy of this duration with the specified duration in hours added.
Duration,plusMillis(long millisToAdd),Duration,Returns a copy of this duration with the specified duration in milliseconds added.
Duration,plusMinutes(long minutesToAdd),Duration,Returns a copy of this duration with the specified duration in minutes added.
Duration,plusNanos(long nanosToAdd),Duration,Returns a copy of this duration with the specified duration in nanoseconds added.
Duration,plusSeconds(long secondsToAdd),Duration,Returns a copy of this duration with the specified duration in seconds added.
Duration,subtractFrom(Temporal temporal),Temporal,Subtracts this duration from the specified temporal object.
Duration,toDays(),long,Gets the number of days in this duration.
Duration,toHours(),long,Gets the number of hours in this duration.
Duration,toMillis(),long,Converts this duration to the total length in milliseconds.
Duration,toMinutes(),long,Gets the number of minutes in this duration.
Duration,toNanos(),long,Converts this duration to the total length in nanoseconds expressed as a long.
Duration,toString(),String,"A string representation of this duration using ISO-8601 seconds based representation, such as PT8H6M12.345S."
Duration,withNanos(int nanoOfSecond),Duration,Returns a copy of this duration with the specified nano-of-second.
Duration,withSeconds(long seconds),Duration,Returns a copy of this duration with the specified amount of seconds.
Instant,adjustInto(Temporal temporal),Temporal,Adjusts the specified temporal object to have this instant.
Instant,atOffset(ZoneOffset offset),OffsetDateTime,Combines this instant with an offset to create an OffsetDateTime.
Instant,atZone(ZoneId zone),ZonedDateTime,Combines this instant with a time-zone to create a ZonedDateTime.
Instant,compareTo(Instant otherInstant),int,Compares this instant to the specified instant.
Instant,equals(Object otherInstant),boolean,Checks if this instant is equal to the specified instant.
Instant,from(TemporalAccessor temporal),static Instant,Obtains an instance of Instant from a temporal object.
Instant,get(TemporalField field),int,Gets the value of the specified field from this instant as an int.
Instant,getEpochSecond(),long,Gets the number of seconds from the Java epoch of 1970-01-01T00:00:00Z.
Instant,getLong(TemporalField field),long,Gets the value of the specified field from this instant as a long.
Instant,getNano(),int,"Gets the number of nanoseconds, later along the time-line, from the start of the second."
Instant,hashCode(),int,Returns a hash code for this instant.
Instant,isAfter(Instant otherInstant),boolean,Checks if this instant is after the specified instant.
Instant,isBefore(Instant otherInstant),boolean,Checks if this instant is before the specified instant.
Instant,isSupported(TemporalField field),boolean,Checks if the specified field is supported.
Instant,isSupported(TemporalUnit unit),boolean,Checks if the specified unit is supported.
Instant,"minus(long amountToSubtract, TemporalUnit unit)",Instant,Returns a copy of this instant with the specified amount subtracted.
Instant,minus(TemporalAmount amountToSubtract),Instant,Returns a copy of this instant with the specified amount subtracted.
Instant,minusMillis(long millisToSubtract),Instant,Returns a copy of this instant with the specified duration in milliseconds subtracted.
Instant,minusNanos(long nanosToSubtract),Instant,Returns a copy of this instant with the specified duration in nanoseconds subtracted.
Instant,minusSeconds(long secondsToSubtract),Instant,Returns a copy of this instant with the specified duration in seconds subtracted.
Instant,now(),static Instant,Obtains the current instant from the system clock.
Instant,now(Clock clock),static Instant,Obtains the current instant from the specified clock.
Instant,ofEpochMilli(long epochMilli),static Instant,Obtains an instance of Instant using milliseconds from the epoch of 1970-01-01T00:00:00Z.
Instant,ofEpochSecond(long epochSecond),static Instant,Obtains an instance of Instant using seconds from the epoch of 1970-01-01T00:00:00Z.
Instant,"ofEpochSecond(long epochSecond, long nanoAdjustment)",static Instant,Obtains an instance of Instant using seconds from the epoch of 1970-01-01T00:00:00Z and nanosecond fraction of second.
Instant,parse(CharSequence text),static Instant,Obtains an instance of Instant from a text string such as 2007-12-03T10:15:30.00Z.
Instant,"plus(long amountToAdd, TemporalUnit unit)",Instant,Returns a copy of this instant with the specified amount added.
Instant,plus(TemporalAmount amountToAdd),Instant,Returns a copy of this instant with the specified amount added.
Instant,plusMillis(long millisToAdd),Instant,Returns a copy of this instant with the specified duration in milliseconds added.
Instant,plusNanos(long nanosToAdd),Instant,Returns a copy of this instant with the specified duration in nanoseconds added.
Instant,plusSeconds(long secondsToAdd),Instant,Returns a copy of this instant with the specified duration in seconds added.
Instant,query(TemporalQuery<R> query),<R> R,Queries this instant using the specified query.
Instant,range(TemporalField field),ValueRange,Gets the range of valid values for the specified field.
Instant,toEpochMilli(),long,Converts this instant to the number of milliseconds from the epoch of 1970-01-01T00:00:00Z.
Instant,toString(),String,A string representation of this instant using ISO-8601 representation.
Instant,truncatedTo(TemporalUnit unit),Instant,Returns a copy of this Instant truncated to the specified unit.
Instant,"until(Temporal endExclusive, TemporalUnit unit)",long,Calculates the amount of time until another instant in terms of the specified unit.
Instant,with(TemporalAdjuster adjuster),Instant,Returns an adjusted copy of this instant.
Instant,"with(TemporalField field, long newValue)",Instant,Returns a copy of this instant with the specified field set to a new value.
LocalDate,adjustInto(Temporal temporal),Temporal,Adjusts the specified temporal object to have the same date as this object.
LocalDate,atStartOfDay(),LocalDateTime,Combines this date with the time of midnight to create a LocalDateTime at the start of this date.
LocalDate,atStartOfDay(ZoneId zone),ZonedDateTime,Returns a zoned date-time from this date at the earliest valid time according to the rules in the time-zone.
LocalDate,"atTime(int hour, int minute)",LocalDateTime,Combines this date with a time to create a LocalDateTime.
LocalDate,"atTime(int hour, int minute, int second)",LocalDateTime,Combines this date with a time to create a LocalDateTime.
LocalDate,"atTime(int hour, int minute, int second, int nanoOfSecond)",LocalDateTime,Combines this date with a time to create a LocalDateTime.
LocalDate,atTime(LocalTime time),LocalDateTime,Combines this date with a time to create a LocalDateTime.
LocalDate,atTime(OffsetTime time),OffsetDateTime,Combines this date with an offset time to create an OffsetDateTime.
LocalDate,compareTo(ChronoLocalDate other),int,Compares this date to another date.
LocalDate,equals(Object obj),boolean,Checks if this date is equal to another date.
LocalDate,format(DateTimeFormatter formatter),String,Formats this date using the specified formatter.
LocalDate,from(TemporalAccessor temporal),static LocalDate,Obtains an instance of LocalDate from a temporal object.
LocalDate,get(TemporalField field),int,Gets the value of the specified field from this date as an int.
LocalDate,getChronology(),IsoChronology,"Gets the chronology of this date, which is the ISO calendar system."
LocalDate,getDayOfMonth(),int,Gets the day-of-month field.
LocalDate,getDayOfWeek(),DayOfWeek,"Gets the day-of-week field, which is an enum DayOfWeek."
LocalDate,getDayOfYear(),int,Gets the day-of-year field.
LocalDate,getEra(),Era,Gets the era applicable at this date.
LocalDate,getLong(TemporalField field),long,Gets the value of the specified field from this date as a long.
LocalDate,getMonth(),Month,Gets the month-of-year field using the Month enum.
LocalDate,getMonthValue(),int,Gets the month-of-year field from 1 to 12.
LocalDate,getYear(),int,Gets the year field.
LocalDate,hashCode(),int,A hash code for this date.
LocalDate,isAfter(ChronoLocalDate other),boolean,Checks if this date is after the specified date.
LocalDate,isBefore(ChronoLocalDate other),boolean,Checks if this date is before the specified date.
LocalDate,isEqual(ChronoLocalDate other),boolean,Checks if this date is equal to the specified date.
LocalDate,isLeapYear(),boolean,"Checks if the year is a leap year, according to the ISO proleptic calendar system rules."
LocalDate,isSupported(TemporalField field),boolean,Checks if the specified field is supported.
LocalDate,isSupported(TemporalUnit unit),boolean,Checks if the specified unit is supported.
LocalDate,lengthOfMonth(),int,Returns the length of the month represented by this date.
LocalDate,lengthOfYear(),int,Returns the length of the year represented by this date.
LocalDate,"minus(long amountToSubtract, TemporalUnit unit)",LocalDate,Returns a copy of this date with the specified amount subtracted.
LocalDate,minus(TemporalAmount amountToSubtract),LocalDate,Returns a copy of this date with the specified amount subtracted.
LocalDate,minusDays(long daysToSubtract),LocalDate,Returns a copy of this LocalDate with the specified number of days subtracted.
LocalDate,minusMonths(long monthsToSubtract),LocalDate,Returns a copy of this LocalDate with the specified number of months subtracted.
