FileName,Compilable,Runnable,Correct
ColorSupported_4,False,False,False
ColorSupported_5,True,True,True
Compression_2,False,False,False
Compression_3,True,True,True
Copies_3,True,True,True
Copies_5,False,False,False
DateTimeAtCreation_3,False,False,False
Destination_2,False,False,False
Destination_5,False,False,False
DialogTypeSelection_3,False,False,False
DocumentName_1,False,False,False
DocumentName_2,False,False,False
DocumentName_5,False,False,False
Finishings_2,True,True,True
Finishings_3,True,True,True
JobHoldUntil_3,False,False,False
JobImpressions_2,True,True,True
JobImpressions_5,False,False,False
JobImpressionsCompleted_3,True,True,True
JobImpressionsSupported_5,False,False,False
JobKOctets_2,True,True,True
JobKOctets_5,False,False,False
JobKOctetsProcessed_2,True,True,True
JobKOctetsProcessed_5,True,True,True
JobMediaSheets_3,True,True,True
JobMediaSheetsCompleted_3,True,True,True
JobMessageFromOperator_3,False,False,False
JobName_1,False,False,False
JobName_2,True,True,True
JobOriginatingUserName_1,False,False,False
JobOriginatingUserName_2,True,True,True
JobPriority_3,True,True,True
JobSheets_3,True,True,True
JobState_3,True,True,True
JobStateReason_1,False,False,False
JobStateReason_2,True,True,True
MediaPrintableArea_1,True,True,True
MediaPrintableArea_3,False,False,False
MediaPrintableArea_4,True,True,True
MediaPrintableArea_5,True,True,True
MediaSize_2,True,True,True
MediaSize_3,True,True,True
MultipleDocumentHandling_3,False,False,False
MultipleDocumentHandling_4,True,True,True
NumberOfDocuments_2,True,True,True
NumberOfDocuments_5,False,False,False
NumberOfInterveningJobs_2,True,True,True
NumberOfInterveningJobs_5,False,False,False
NumberUp_3,True,True,True
OutputDeviceAssigned_1,False,False,False
OutputDeviceAssigned_2,False,False,False
OutputDeviceAssigned_4,False,False,False
PageRanges_4,True,True,True
PagesPerMinute_3,True,True,True
PagesPerMinuteColor_3,True,True,True
PagesPerMinuteColor_5,False,False,False
PDLOverrideSupported_2,False,False,False
PDLOverrideSupported_3,False,False,False
PDLOverrideSupported_5,False,False,False
PresentationDirection_2,False,False,False
PresentationDirection_3,False,False,False
PrinterInfo_2,True,True,True
PrinterInfo_5,False,False,False
PrinterIsAcceptingJobs_3,False,False,False
PrinterIsAcceptingJobs_4,False,False,False
PrinterLocation_1,False,False,False
PrinterLocation_3,False,False,False
PrinterMakeAndModel_3,False,False,False
PrinterMessageFromOperator_3,True,True,True
PrinterMoreInfo_3,False,False,False
PrinterMoreInfoManufacturer_2,False,False,False
PrinterMoreInfoManufacturer_5,False,False,False
PrinterName_1,True,True,True
PrinterName_2,True,True,True
PrinterResolution_3,True,True,True
PrinterState_5,True,True,True
PrinterStateReason_1,False,False,False
PrinterStateReason_2,True,True,True
PrinterStateReasons_1,False,False,False
PrinterStateReasons_2,False,False,False
PrinterURI_2,False,False,False
QueuedJobCount_2,True,True,True
QueuedJobCount_5,True,True,True
ReferenceUriSchemesSupported_2,False,False,False
ReferenceUriSchemesSupported_3,False,False,False
RequestingUserName_2,False,False,False
RequestingUserName_4,False,False,False
RequestingUserName_5,False,False,False
SheetCollate_3,False,False,False
SheetCollate_4,True,True,True
SheetCollate_5,False,False,False
Sides_3,True,True,True
