Sample Number,ClassName,Snippet Number,Method,Exist,Description,Full Description
0,DESedeKeySpec,1,byte[] getKey(),True,,"

getKey
public byte[] getKey()
Returns the DES-EDE key.

Returns:
the DES-EDE key. Returns a new array
 each time this method is called.


"
0,DESedeKeySpec,2,DESedeKeySpec(byte[] key),False,,NULL
0,DESedeKeySpec,3,int getKeySize(),False,,NULL
0,DESedeKeySpec,4,boolean equals(Object obj),False,,NULL
0,DESedeKeySpec,5,int hashCode(),False,,NULL
1,DESKeySpec,1,DESKeySpec(byte[] key),False,,NULL
1,DESKeySpec,2,byte[] getKey(),True,,"

getKey
public byte[] getKey()
Returns the DES key material.

Returns:
the DES key material. Returns a new array
 each time this method is called.


"
1,DESKeySpec,3,void clear(),False,,NULL
1,DESKeySpec,4,boolean isParityAdjusted(),False,,NULL
1,DESKeySpec,5,String toString(),False,,NULL
2,DHGenParameterSpec,1,int getPrimeSize(),True,,"

getPrimeSize
public int getPrimeSize()
Returns the size in bits of the prime modulus.

Returns:
the size in bits of the prime modulus


"
2,DHGenParameterSpec,2,BigInteger getP(),False,,NULL
2,DHGenParameterSpec,3,BigInteger getG(),False,,NULL
2,DHGenParameterSpec,4,"DHGenParameterSpec(BigInteger prime, BigInteger generator, int l)",False,,NULL
2,DHGenParameterSpec,5,int getExponentSize(),True,,"

getExponentSize
public int getExponentSize()
Returns the size in bits of the random exponent (private value).

Returns:
the size in bits of the random exponent (private value)


"
3,DHParameterSpec,1,BigInteger getP(),True,,"

getP
public BigInteger getP()
Returns the prime modulus p.

Returns:
the prime modulus p


"
3,DHParameterSpec,2,BigInteger getG(),True,,"

getG
public BigInteger getG()
Returns the base generator g.

Returns:
the base generator g


"
3,DHParameterSpec,3,int getL(),True,,"

getL
public int getL()
Returns the size in bits, l, of the random exponent
 (private value).

Returns:
the size in bits, l, of the random exponent
 (private value), or 0 if this size has not been set


"
3,DHParameterSpec,4,"DHParameterSpec(BigInteger p, BigInteger g)",False,,NULL
3,DHParameterSpec,5,boolean equals(Object obj),False,,NULL
4,DHPrivateKeySpec,1,BigInteger getX(),True,,"

getX
public BigInteger getX()
Returns the private value x.

Returns:
the private value x


"
4,DHPrivateKeySpec,2,DHParameterSpec getParams(),False,,NULL
4,DHPrivateKeySpec,3,"DHPrivateKeySpec(BigInteger x, DHParameterSpec params)",False,,NULL
4,DHPrivateKeySpec,4,boolean equals(Object obj),False,,NULL
4,DHPrivateKeySpec,5,int hashCode(),False,,NULL
5,DHPublicKeySpec,1,BigInteger getY(),True,,"

getY
public BigInteger getY()
Returns the public value y.

Returns:
the public value y


"
5,DHPublicKeySpec,2,BigInteger getP(),True,,"

getP
public BigInteger getP()
Returns the prime modulus p.

Returns:
the prime modulus p


"
5,DHPublicKeySpec,3,BigInteger getG(),True,,"

getG
public BigInteger getG()
Returns the base generator g.

Returns:
the base generator g


"
5,DHPublicKeySpec,4,"DHPublicKeySpec(BigInteger y, BigInteger p, BigInteger g)",False,,NULL
5,DHPublicKeySpec,5,boolean equals(Object obj),False,,NULL
6,GCMParameterSpec,1,int getTLen(),True,,"

getTLen
public int getTLen()
Returns the authentication tag length.

Returns:
the authentication tag length (in bits)


"
6,GCMParameterSpec,2,byte[] getIV(),True,,"

getIV
public byte[] getIV()
Returns the Initialization Vector (IV).

Returns:
the IV.  Creates a new array each time this method
 is called.


"
6,GCMParameterSpec,3,int getTLenInBits(),False,,NULL
6,GCMParameterSpec,4,byte[] getAAD(),False,,NULL
6,GCMParameterSpec,5,byte[] getNonce(),False,,NULL
7,IvParameterSpec,1,byte[] getIV(),True,,"

getIV
public byte[] getIV()
Returns the initialization vector (IV).

Returns:
the initialization vector (IV). Returns a new array
 each time this method is called.


"
