Sample Number,ClassName,Snippet Number,Method,Exist
0,AdapterInactiveHelper,1,void activate(),False
0,AdapterInactiveHelper,2,void hold_requests(boolean wait_for_completion),False
0,AdapterInactiveHelper,3,void discard_requests(boolean wait_for_completion),False
0,AdapterInactiveHelper,4,"void deactivate(boolean etherealize_objects, boolean wait_for_completion)",False
0,AdapterInactiveHelper,5,void enter(),False
1,State,1,int value(),True
1,State,2,boolean is_idle(),False
1,State,3,void activate(),False
1,State,4,void hold_requests(boolean wait),False
1,State,5,void discard_requests(boolean wait),False
