Sample Number,ClassName,Snippet Number,Method,Exist
0,IIOMetadata,1,IIOMetadata getDefaultImageMetadata(int format),False
0,IIOMetadata,2,"IIOMetadata getImageMetadata(int format, IIOReader reader)",False
0,IIOMetadata,3,void mergeTree(IIOMetadata source),False
0,IIOMetadata,4,"void mergeTree(IIOMetadata source, IIOMetadata.MergePolicy policy)",False
0,IIOMetadata,5,"IIOMetadata mergeTree(IIOMetadata source, IIOMetadata.MergePolicy policy, IIOMetadata.MergeMode mode)",False
0,IIOMetadata,6,"IIOMetadata mergeTree(IIOMetadata source, IIOMetadata.MergePolicy policy, IIOMetadata.MergeMode mode, IIOMetadata.MergeCallback callback)",False
0,IIOMetadata,7,"IIOMetadata mergeTree(IIOMetadata source, IIOMetadata.MergePolicy policy, IIOMetadata.MergeMode mode, IIOMetadata.MergeCallback callback, Object context)",False
0,IIOMetadata,8,"IIOMetadata mergeTree(IIOMetadata source, IIOMetadata.MergePolicy policy, IIOMetadata.MergeMode mode, IIOMetadata.MergeCallback callback, Object context, boolean validate)",False
0,IIOMetadata,9,"IIOMetadata mergeTree(IIOMetadata source, IIOMetadata.MergePolicy policy, IIOMetadata.MergeMode mode, IIOMetadata.MergeCallback callback, Object context, boolean validate, boolean preserve)",False
0,IIOMetadata,10,"IIOMetadata mergeTree(IIOMetadata source, IIOMetadata.MergePolicy policy, IIOMetadata.MergeMode mode, IIOMetadata.MergeCallback callback, Object context, boolean validate, boolean preserve, boolean mergeChildren)",False
1,IIOMetadataFormatImpl,1,IIOMetadataFormatImpl(),False
1,IIOMetadataFormatImpl,2,getStandardName(),False
1,IIOMetadataFormatImpl,3,getNamespace(),False
1,IIOMetadataFormatImpl,4,getMimeType(),False
1,IIOMetadataFormatImpl,5,getExtensions(),False
1,IIOMetadataFormatImpl,6,getNativeName(),False
1,IIOMetadataFormatImpl,7,getNativeIdentifier(),False
1,IIOMetadataFormatImpl,8,getVersion(),False
1,IIOMetadataFormatImpl,9,getMinimumVersion(),False
1,IIOMetadataFormatImpl,10,getElementList(),False
1,IIOMetadataFormatImpl,11,getElement(String name),False
1,IIOMetadataFormatImpl,12,getElement(int index),False
1,IIOMetadataFormatImpl,13,getAttributeList(),False
1,IIOMetadataFormatImpl,14,getAttribute(String name),False
1,IIOMetadataFormatImpl,15,getAttribute(int index),False
1,IIOMetadataFormatImpl,16,getChildList(),False
1,IIOMetadataFormatImpl,17,getChild(String name),False
1,IIOMetadataFormatImpl,18,getChild(int index),False
1,IIOMetadataFormatImpl,19,getChildAttributeList(),False
1,IIOMetadataFormatImpl,20,getChildAttribute(String name),False
1,IIOMetadataFormatImpl,21,getChildAttribute(int index),False
2,IIOMetadataNode,1,void setUserObject(Object o),True
2,IIOMetadataNode,2,Object getUserObject(),True
2,IIOMetadataNode,3,"void setAttribute(String name, String value)",True
2,IIOMetadataNode,4,String getAttribute(String name),True
2,IIOMetadataNode,5,void setNodeName(String name),False
2,IIOMetadataNode,6,String getNodeName(),True
2,IIOMetadataNode,7,void setNodeValue(String value),True
2,IIOMetadataNode,8,String getNodeValue(),True
2,IIOMetadataNode,9,void setPrefix(String prefix),True
2,IIOMetadataNode,10,String getPrefix(),True
2,IIOMetadataNode,11,void setNamespace(String namespace),False
2,IIOMetadataNode,12,String getNamespace(),False
2,IIOMetadataNode,13,void setLocalName(String localName),False
2,IIOMetadataNode,14,String getLocalName(),True
2,IIOMetadataNode,15,void setTextContent(String textContent),True
2,IIOMetadataNode,16,String getTextContent(),True
2,IIOMetadataNode,17,void setNodeType(int nodeType),False
2,IIOMetadataNode,18,int getNodeType(),False
2,IIOMetadataNode,19,void setParent(Node parentNode),False
2,IIOMetadataNode,20,Node getParent(),False
2,IIOMetadataNode,21,void setChildNodes(NodeList childNodes),False
2,IIOMetadataNode,22,NodeList getChildNodes(),True
2,IIOMetadataNode,23,void setNamedItem(Node node),False
2,IIOMetadataNode,24,Node getNamedItem(String name),False
2,IIOMetadataNode,25,Node removeNamedItem(String name),False
2,IIOMetadataNode,26,Node cloneNode(boolean deep),True
2,IIOMetadataNode,27,void normalize(),True
2,IIOMetadataNode,28,NodeList getElementsByTagName(String name),True
2,IIOMetadataNode,29,"NodeList getElementsByTagNameNS(String namespaceURI, String localName)",True
2,IIOMetadataNode,30,Node getFirstChild(),True
2,IIOMetadataNode,31,Node getLastChild(),True
2,IIOMetadataNode,32,Node getPreviousSibling(),True
2,IIOMetadataNode,33,Node getNextSibling(),True
2,IIOMetadataNode,34,"Node insertBefore(Node newChild, Node refChild)",True
2,IIOMetadataNode,35,"Node insertAfter(Node newChild, Node refChild)",False
