Sample Number,ClassName,Snippet Number,Method,Exist
0,DocFlavor,1,String getMediaType(),True
0,DocFlavor,2,Class<?> getRepresentationClass(),False
0,DocFlavor,3,String getMimeType(),True
0,DocFlavor,4,String getMediaSubtype(),True
0,DocFlavor,5,DocFlavor.BYTE_ARRAY getByteStreamFlavor(),False
1,DocFlavor.BYTE_ARRAY,1,byte[] getBytes(),False
1,DocFlavor.BYTE_ARRAY,2,int length(),False
1,DocFlavor.BYTE_ARRAY,3,String getMimeType(),False
1,DocFlavor.BYTE_ARRAY,4,Class<?> getRepresentationClass(),False
1,DocFlavor.BYTE_ARRAY,5,String getStringForCharset(String charsetName),False
2,DocFlavor.CHAR_ARRAY,1,char[] getChars(),False
2,DocFlavor.CHAR_ARRAY,2,int getSize(),False
2,DocFlavor.CHAR_ARRAY,3,"boolean isAwt"">isAwt()",False
2,DocFlavor.CHAR_ARRAY,4,boolean isFlavorTextType(),False
2,DocFlavor.CHAR_ARRAY,5,boolean isMimeTypeEqual(String mimeType),False
3,DocFlavor.INPUT_STREAM,1,javax.print.DocFlavor.INPUT_STREAM(),False
3,DocFlavor.INPUT_STREAM,2,boolean equals(Object obj),False
3,DocFlavor.INPUT_STREAM,3,String getRepresentationClassName(),False
3,DocFlavor.INPUT_STREAM,4,DocFlavor.SERVICE_FORMATTED getMediaSubtype(),False
3,DocFlavor.INPUT_STREAM,5,String toString(),False
4,DocFlavor.READER,1,DocFlavor.BYTE_ARRAY getMediaType(),False
4,DocFlavor.READER,2,int getRepresentationClass(),False
4,DocFlavor.READER,3,String getMimeType(),False
4,DocFlavor.READER,4,DocFlavor serviceFormat(Class<?> representationClass),False
5,DocFlavor.SERVICE_FORMATTED,1,Class<?> getRepresentationClass(),False
5,DocFlavor.SERVICE_FORMATTED,2,String toString(),False
5,DocFlavor.SERVICE_FORMATTED,3,boolean equals(Object obj),False
5,DocFlavor.SERVICE_FORMATTED,4,int hashCode(),False
5,DocFlavor.SERVICE_FORMATTED,5,String getMediaType(),False
6,DocFlavor.STRING,1,DocFlavor.STRING(),False
6,DocFlavor.STRING,2,boolean equals(Object o),False
6,DocFlavor.STRING,3,int hashCode(),False
6,DocFlavor.STRING,4,String toString(),False
6,DocFlavor.STRING,5,Class<?> getClass(),False
7,DocFlavor.URL,1,String getMimeType(),False
7,DocFlavor.URL,2,URL getURL(),False
7,DocFlavor.URL,3,String getURL(),False
7,DocFlavor.URL,4,URL printData(),False
7,DocFlavor.URL,5,void writeTo(OutputStream out) throws IOException,False
9,ServiceUI,1,PrintService printDialog(PrintRequestAttributeSet attributes),False
9,ServiceUI,2,PrintService[] lookupPrintServices(),False
9,ServiceUI,3,"ServiceUIFactory createFactory(Class serviceClass, String factoryName)",False
9,ServiceUI,4,"JDialog printDialog(Dialog owner, int x, int y, PrintService[] services, PrintService defaultService, DocFlavor flavor, PrintRequestAttributeSet attributes)",False
9,ServiceUI,5,PrintService lookupDefaultPrintService(),False
10,ServiceUIFactory,1,JLabel getUI(PrintService service),False
10,ServiceUIFactory,2,JButton getOKButton(),False
10,ServiceUIFactory,3,JButton getCancelButton(),False
10,ServiceUIFactory,4,JButton getPreviewButton(),False
10,ServiceUIFactory,5,JPanel getExtrasPanel(PrintService service),False
11,SimpleDoc,1,DocFlavor getDocFlavor(),True
11,SimpleDoc,2,Doc getDoc(),False
11,SimpleDoc,3,PrintJobAttributeSet getAttributes(),False
11,SimpleDoc,4,int getResendDelay(),False
11,SimpleDoc,5,int getCopyCount(),False
12,StreamPrintService,1,String getServiceName(),False
12,StreamPrintService,2,OutputStream getOutputStream(),True
12,StreamPrintService,3,void dispose(),True
12,StreamPrintService,4,boolean equals(Object obj),False
12,StreamPrintService,5,int hashCode(),False
13,StreamPrintServiceFactory,1,StreamPrintService[] getPrintServices(),False
13,StreamPrintServiceFactory,2,StreamPrintService createPrinter(StreamPrintServiceFactory factory),False
13,StreamPrintServiceFactory,3,"StreamPrintService findFactoryOrderByAttribute(StreamPrintServiceFactory[] factories, String attrValue)",False
13,StreamPrintServiceFactory,4,StreamPrintService findFactoryOrderByPriority(StreamPrintServiceFactory[] factories),False
13,StreamPrintServiceFactory,5,"StreamPrintServiceFactory[] getFactories(StreamPrintService service, DocumentType docFlavor)",False
