Sample Number,ClassName,Snippet Number,Method,Exist
1,Stub,1,javax.rmi.CORBA.Stub  _get_delegate(),False
1,Stub,2,java.lang.Object  read_Object(),False
1,Stub,3,void  connect(org.omg.CORBA.ORB orb),False
1,Stub,4,org.omg.CORBA.Object  thisObject(),False
1,Stub,5,void  disconnect(),False
2,Util,1,javax.rmi.CORBA.Util getUtilDelegate(),False
2,Util,2,"void writeAny(org.omg.CORBA.portable.OutputStream out, java.lang.Object obj)",False
2,Util,3,java.lang.Object readAny(org.omg.CORBA.portable.InputStream in),False
2,Util,4,javax.rmi.CORBA.ValueHandler createValueHandler(),False
2,Util,5,"org.omg.CORBA.Object narrow(java.lang.Object narrowFrom, java.lang.Class narrowTo)",False
