Sample Number,ClassName,Snippet Number,Method,Exist
0,Attributes2Impl,1,boolean isDeclared(int index),True
0,Attributes2Impl,2,String getType(String qName),False
0,Attributes2Impl,3,String getType(int index),False
0,Attributes2Impl,4,"String getType(String uri, String localName)",False
0,Attributes2Impl,5,String getValue(String qName),False
1,DefaultHandler2,1,void startCDATA(),True
1,DefaultHandler2,2,void endCDATA(),True
1,DefaultHandler2,3,"void startDTD(String name, String publicId, String systemId)",True
1,DefaultHandler2,4,void endDTD(),True
1,DefaultHandler2,5,void startEntity(String name),True
2,Locator2Impl,1,String getXMLVersion(),True
2,Locator2Impl,2,String getEncoding(),True
2,Locator2Impl,3,String getXMLEncoding(),False
2,Locator2Impl,4,String getXMLVersion(),True
2,Locator2Impl,5,int getColumnNumber(),False
