Sample Number,ClassName,Snippet Number,Method,Exist
0,ActivationDataFlavor,1,String getMimeType(),True
0,ActivationDataFlavor,2,String getPrimaryType(),False
0,ActivationDataFlavor,3,String getSubType(),False
0,ActivationDataFlavor,4,DataFlavor[] getEquivalenceClasses(),False
0,ActivationDataFlavor,5,boolean isMimeTypeEqual(DataFlavor flavor),False
1,CommandInfo,1,String getCommand(),False
1,CommandInfo,2,String getWorkingDirectory(),False
1,CommandInfo,3,String[] getArguments(),False
1,CommandInfo,4,String getUser(),False
1,CommandInfo,5,String getDomain(),False
1,CommandInfo,6,String getComputerName(),False
1,CommandInfo,7,String getIntegrityLevel(),False
1,CommandInfo,8,String getSessionId(),False
1,CommandInfo,9,String getParentProcessId(),False
1,CommandInfo,10,String getProcessId(),False
1,CommandInfo,11,String getModuleName(),False
1,CommandInfo,12,String getModuleFileName(),False
1,CommandInfo,13,String getModuleVersionId(),False
1,CommandInfo,14,String getModuleManifestName(),False
1,CommandInfo,15,String getModuleManifestPath(),False
1,CommandInfo,16,String getModuleMemorySize(),False
1,CommandInfo,17,String getModuleFileVersion(),False
1,CommandInfo,18,String getModuleProductVersion(),False
1,CommandInfo,19,String getModulePrivatePath(),False
1,CommandInfo,20,String getModuleRuntimeVersion(),False
1,CommandInfo,21,String getModuleHelpLink(),False
1,CommandInfo,22,String getModuleCompany(),False
1,CommandInfo,23,String getModuleDescription(),False
1,CommandInfo,24,String getModuleCopyright(),False
1,CommandInfo,25,String getModuleTrademark(),False
1,CommandInfo,26,String getModuleFileFlagsMask(),False
1,CommandInfo,27,String getModuleFileFlags(),False
1,CommandInfo,28,String getModuleLinkerVersion(),False
1,CommandInfo,29,String getModuleLinkerTimestamp(),False
1,CommandInfo,30,String getModuleProcessorArchitecture(),False
1,CommandInfo,31,String getModuleOperatingSystem(),False
1,CommandInfo,32,String getModuleVersion(),False
1,CommandInfo,33,String getModuleFile(),False
1,CommandInfo,34,String getModulePath(),False
1,CommandInfo,35,String getModuleBase(),False
1,CommandInfo,36,String getModuleSize(),False
2,CommandMap,1,boolean containsKey(Object key),False
2,CommandMap,2,Object get(Object key),False
2,CommandMap,3,"Object put(Object key, Object value)",False
2,CommandMap,4,Object remove(Object key),False
2,CommandMap,5,int size(),False
3,DataHandler,1,Object getContent(),True
3,DataHandler,2,String getContentType(),True
3,DataHandler,3,DataSource getDataSource(),True
3,DataHandler,4,void setDataSource(DataSource ds),False
3,DataHandler,5,void writeTo(OutputStream out) throws IOException,True
4,FileDataSource,1,FileDataSource(File file),False
4,FileDataSource,2,File getFile(),True
4,FileDataSource,3,InputStream getInputStream() throws IOException,True
4,FileDataSource,4,OutputStream getOutputStream() throws IOException,True
4,FileDataSource,5,String getContentType(),True
5,FileTypeMap,1,"void addMimeType(String mime, String extension)",False
5,FileTypeMap,2,String getContentType(File f),True
5,FileTypeMap,3,String getContentType(String fileName),True
5,FileTypeMap,4,String getExtension(String mime),False
5,FileTypeMap,5,String getMimeType(String extension),False
5,FileTypeMap,6,void load(InputStream is),False
5,FileTypeMap,7,void read(Reader r),False
5,FileTypeMap,8,"void setExtensionToMime(String extension, String mime)",False
5,FileTypeMap,9,"void setMimeTypeToExtension(String mime, String extension)",False
5,FileTypeMap,10,void write(Writer w),False
6,MailcapCommandMap,1,Object get(Object key),False
6,MailcapCommandMap,2,boolean containsKey(Object key),False
6,MailcapCommandMap,3,boolean containsValue(Object value),False
6,MailcapCommandMap,4,"Set<Map.Entry<Object, Object>> entrySet()",False
6,MailcapCommandMap,5,"Object put(Object key, Object value)",False
7,MimeType,1,String getSubType(),True
7,MimeType,2,String getType(),False
7,MimeType,3,String getParameter(String name),True
7,MimeType,4,Set<String> getParameters(),False
7,MimeType,5,boolean match(MimeType mimeType),True
8,MimeTypeParameterList,1,int size(),True
8,MimeTypeParameterList,2,boolean isEmpty(),True
8,MimeTypeParameterList,3,boolean contains(Object o),False
8,MimeTypeParameterList,4,Object[] toArray(),False
8,MimeTypeParameterList,5,boolean add(String s),False
8,MimeTypeParameterList,6,boolean remove(Object o),False
8,MimeTypeParameterList,7,void clear(),False
8,MimeTypeParameterList,8,String get(int index),False
8,MimeTypeParameterList,9,"String set(int index, String element)",False
8,MimeTypeParameterList,10,"void add(int index, String element)",False
8,MimeTypeParameterList,11,String remove(int index),False
8,MimeTypeParameterList,12,int indexOf(Object o),False
8,MimeTypeParameterList,13,int lastIndexOf(Object o),False
8,MimeTypeParameterList,14,ListIterator<String> listIterator(),False
8,MimeTypeParameterList,15,ListIterator<String> listIterator(int index),False
8,MimeTypeParameterList,16,"List<String> subList(int fromIndex, int toIndex)",False
8,MimeTypeParameterList,17,boolean containsAll(Collection<?> c),False
8,MimeTypeParameterList,18,boolean addAll(Collection<? extends String> c),False
8,MimeTypeParameterList,19,boolean removeAll(Collection<?> c),False
8,MimeTypeParameterList,20,boolean retainAll(Collection<?> c),False
8,MimeTypeParameterList,21,Object[] toArray(Object[] a),False
8,MimeTypeParameterList,22,boolean equals(Object o),False
8,MimeTypeParameterList,23,int hashCode(),False
8,MimeTypeParameterList,24,String toString(),True
8,MimeTypeParameterList,25,void sort(Comparator<? super String> c),False
8,MimeTypeParameterList,26,"List<String> subList(int fromIndex, int toIndex)",False
8,MimeTypeParameterList,27,Spliterator<String> spliterator(),False
9,MimetypesFileTypeMap,1,String getContentType(File f),True
9,MimetypesFileTypeMap,2,String getContentType(String fileName),True
9,MimetypesFileTypeMap,3,void addMimeTypes(String mimeTypes),True
9,MimetypesFileTypeMap,4,void readMimeTypes(InputStream is) throws IOException,False
9,MimetypesFileTypeMap,5,void load(),False
10,URLDataSource,1,int getContentLength(),False
10,URLDataSource,2,String getContentType(),True
10,URLDataSource,3,InputStream getInputStream() throws IOException,True
10,URLDataSource,4,String getName(),True
10,URLDataSource,5,String toString(),False
