Sample Number,ClassName,Snippet Number,Method,Exist,Description,Full Description
0,ClassDesc,1,ClassDesc createClassDesc(Class clazz),False,,NULL
0,ClassDesc,2,ClassDesc getClassDesc(Class clazz),False,,NULL
0,ClassDesc,3,ClassDesc[] getClassDescs(),False,,NULL
0,ClassDesc,4,void registerClass(ClassDesc desc),False,,NULL
0,ClassDesc,5,void unregisterClass(Class clazz),False,,NULL
1,Stub,1,Object readObject(),False,,NULL
1,Stub,2,void writeObject(Object obj),False,,NULL
1,Stub,3,void connect(org.omg.CORBA.ORB orb),False,,NULL
1,Stub,4,void disconnect(),False,,NULL
1,Stub,5,void setDelegate(javax.rmi.CORBA.PortableRemoteObjectDelegate delegate),False,,NULL
2,Util,1,Object copyObject(Object obj),False,,NULL
2,Util,2,Object[] copyObjects(Object[] objs),False,,NULL
2,Util,3,"Object[] copyObjects(Object[] objs, ORB orb)",True,,"

copyObjects
public static Object[] copyObjects(Object[] obj,
                                   ORB orb)
                            throws RemoteException
Copies or connects an array of objects. Used by local stubs
 to copy any number of actual parameters, preserving sharing
 across parameters as necessary to support RMI semantics.

Parameters:
obj - the objects to copy or connect.
orb - the ORB.
Returns:
the copied or connected objects.
Throws:
RemoteException - if any object could not be copied or connected.


"
2,Util,4,"void writeAny(OutputStream out, Object obj)",True,,"

writeAny
public static void writeAny(OutputStream out,
                            Object obj)
Writes any java.lang.Object as a CORBA any.

Parameters:
out - the stream in which to write the any.
obj - the object to write as an any.


"
2,Util,5,Object readAny(InputStream in),True,,"

readAny
public static Object readAny(InputStream in)
Reads a java.lang.Object as a CORBA any.

Parameters:
in - the stream from which to read the any.
Returns:
the object read from the stream.


"
