Sample Number,ClassName,Snippet Number,Method,Exist
0,ColorSpace,1,float[] toRGB(float[] colorvalue),True
0,ColorSpace,2,float[] fromRGB(float[] rgbvalue),True
0,ColorSpace,3,float[] toCIEXYZ(float[] colorvalue),True
0,ColorSpace,4,float[] fromCIEXYZ(float[] ciexyzvalue),True
0,ColorSpace,5,float[] toYxy(float[] colorvalue),False
1,ICC_ColorSpace,1,float[] fromRGB(float[] rgbval),True
1,ICC_ColorSpace,2,float[] toRGB(float[] iccval),True
1,ICC_ColorSpace,3,float[] fromCIEXYZ(float[] xyzval),True
1,ICC_ColorSpace,4,float[] toCIEXYZ(float[] iccval),True
1,ICC_ColorSpace,5,float[] fromLinearRGB(float[] rgbval),False
2,ICC_Profile,1,getNumComponents(),False
2,ICC_Profile,2,getColorSpace(),False
2,ICC_Profile,3,getNumDeviceEntries(),False
2,ICC_Profile,4,getDeviceEntry(int index),False
2,ICC_Profile,5,getNumCMMEntries(),False
2,ICC_Profile,6,getCMMEntry(int index),False
2,ICC_Profile,7,getNumPCSProfileSequences(),False
2,ICC_Profile,8,getPCSProfileSequence(int index),False
2,ICC_Profile,9,getNumNamedColorLUTs(),False
2,ICC_Profile,10,getNamedColorLUT(int index),False
2,ICC_Profile,11,getNumTagTableEntries(),False
2,ICC_Profile,12,getTagTableEntry(int index),False
2,ICC_Profile,13,getNumSignatureDescriptors(),False
2,ICC_Profile,14,getSignatureDescriptor(int index),False
2,ICC_Profile,15,getNumStreams(),False
2,ICC_Profile,16,getStream(int index),False
2,ICC_Profile,17,getStreamBytes(int index),False
2,ICC_Profile,18,getStreamSize(int index),False
2,ICC_Profile,19,getStreamHeaderSize(int index),False
3,ICC_ProfileGray,1,getType(),False
3,ICC_ProfileGray,2,getNumComponents(),False
3,ICC_ProfileGray,3,getNumDeviceDependencies(),False
3,ICC_ProfileGray,4,getDeviceDependencies(),False
3,ICC_ProfileGray,5,getNumStreams(),False
3,ICC_ProfileGray,6,getStreamBytes(),False
3,ICC_ProfileGray,7,getStreamHeader(),False
3,ICC_ProfileGray,8,getStreamSignature(),False
3,ICC_ProfileGray,9,getStreamVersion(),False
3,ICC_ProfileGray,10,getStreamSize(),False
3,ICC_ProfileGray,11,getStreamAttributes(),False
3,ICC_ProfileGray,12,getStreamData(),False
3,ICC_ProfileGray,13,getStreamFlags(),False
3,ICC_ProfileGray,14,getStreamCMMFlags(),False
3,ICC_ProfileGray,15,getStreamPCSFlags(),False
3,ICC_ProfileGray,16,getStreamDeviceClass(),False
3,ICC_ProfileGray,17,getStreamColorSpace(),False
3,ICC_ProfileGray,18,getStreamProfileConnectionSpace(),False
3,ICC_ProfileGray,19,getStreamDateTime(),False
3,ICC_ProfileGray,20,getStreamSignatureFlags(),False
4,ICC_ProfileRGB,1,getType(),False
4,ICC_ProfileRGB,2,getNumComponents(),False
4,ICC_ProfileRGB,3,getNumDeviceMediaWhitePoints(),False
4,ICC_ProfileRGB,4,getNumDeviceMediaBlackPoints(),False
4,ICC_ProfileRGB,5,getNumInputDeviceColorspaces(),False
4,ICC_ProfileRGB,6,getNumOutputDeviceColorspaces(),False
4,ICC_ProfileRGB,7,getNumDeviceNodes(),False
4,ICC_ProfileRGB,8,getNumDeviceAttributes(),False
4,ICC_ProfileRGB,9,getNumStreams(),False
4,ICC_ProfileRGB,10,getNumStreamRows(),False
4,ICC_ProfileRGB,11,getNumStreamColumns(),False
4,ICC_ProfileRGB,12,getNumStreamCoefficients(),False
4,ICC_ProfileRGB,13,getNumStreamEndPoints(),False
4,ICC_ProfileRGB,14,getNumStreamDiscretes(),False
4,ICC_ProfileRGB,15,getNumStreamContinuousDecode(),False
4,ICC_ProfileRGB,16,getNumStreamContinuousEncode(),False
4,ICC_ProfileRGB,17,getNumStreamAnnotations(),False
4,ICC_ProfileRGB,18,getNumStreamImage(),False
4,ICC_ProfileRGB,19,getNumStreamSignature(),False
