Sample Number,ClassName,Snippet Number,Method,Exist
0,LockInfo,1,long getLockedMonotonicTime(),False
0,LockInfo,2,long getWaitedMonotonicTime(),False
0,LockInfo,3,ThreadInfo getThreadInfo(),False
0,LockInfo,4,String getClassName(),True
0,LockInfo,5,String getIdentity(),False
1,ManagementFactory,1,MBeanServer getMBeanServer(),False
1,ManagementFactory,2,List<GarbageCollectorMXBean> getGarbageCollectorMXBeans(),True
1,ManagementFactory,3,List<MemoryMXBean> getMemoryMXBeans(),False
1,ManagementFactory,4,List<ThreadMXBean> getThreadMXBeans(),False
1,ManagementFactory,5,List<MemoryPoolMXBean> getMemoryPoolMXBeans(),True
3,MemoryNotificationInfo,1,long getTimestamp(),False
3,MemoryNotificationInfo,2,long getGcId(),False
3,MemoryNotificationInfo,3,long getGcAction(),False
3,MemoryNotificationInfo,4,long getGcNew(),False
3,MemoryNotificationInfo,5,long getGcOld(),False
4,MemoryUsage,1,long getUsed(),True
4,MemoryUsage,2,long getCommitted(),True
4,MemoryUsage,3,long getMax(),True
4,MemoryUsage,4,long getInit(),True
4,MemoryUsage,5,long getUsed(),True
5,MonitorInfo,1,long getThreadId(),False
5,MonitorInfo,2,long getWaitTime(),False
5,MonitorInfo,3,long getContendedTime(),False
5,MonitorInfo,4,long getBlockedTime(),False
5,MonitorInfo,5,long getBlockedCount(),False
6,ThreadInfo,1,Thread.State getThreadState(),True
6,ThreadInfo,2,long getBlockedTime(),True
6,ThreadInfo,3,long getWaitedTime(),True
6,ThreadInfo,4,long getStartedTime(),False
6,ThreadInfo,5,long getUserTime(),False
