Sample Number,ClassName,Snippet Number,Method,Exist,Description,Full Description
0,AncestorEvent,1,Object getSource(),False,,NULL
0,AncestorEvent,2,AncestorListener[] getAncestorListeners(),False,,NULL
0,AncestorEvent,3,boolean isAncestorOf(Component c),False,,NULL
0,AncestorEvent,4,void addAncestorListener(AncestorListener listener),False,,NULL
0,AncestorEvent,5,void removeAncestorListener(AncestorListener listener),False,,NULL
1,CaretEvent,1,int getDot(),True,,"

getDot
public abstract int getDot()
Fetches the location of the caret.

Returns:
the dot >= 0


"
1,CaretEvent,2,int getMark(),True,,"

getMark
public abstract int getMark()
Fetches the location of other end of a logical
 selection.  If there is no selection, this
 will be the same as dot.

Returns:
the mark >= 0


"
1,CaretEvent,3,boolean isVisible(),False,,NULL
1,CaretEvent,4,void setDot(int dot),False,,NULL
1,CaretEvent,5,void setMark(int mark),False,,NULL
3,DocumentEvent.EventType,1,javax.swing.event.DocumentEvent.EventType getType(),False,,NULL
3,DocumentEvent.EventType,2,int getIndex(),False,,NULL
3,DocumentEvent.EventType,3,int getLength(),False,,NULL
3,DocumentEvent.EventType,4,Document getDocument(),False,,NULL
3,DocumentEvent.EventType,5,DocumentEvent.ElementChange getChange(Element elem),False,,NULL
5,HyperlinkEvent,1,URL getURL(),True,,"

getURL
public URL getURL()
Gets the URL that the link refers to.

Returns:
the URL


"
5,HyperlinkEvent,2,EventType getEventType(),False,,NULL
5,HyperlinkEvent,3,String getDescription(),True,,"

getDescription
public String getDescription()
Get the description of the link as a string.
 This may be useful if a URL can't be formed
 from the description, in which case the associated
 URL would be null.

"
5,HyperlinkEvent,4,int getSourceElement(),False,,NULL
5,HyperlinkEvent,5,String getURLDescription(),False,,NULL
6,HyperlinkEvent.EventType,1,String toString(),True,,"

toString
public String toString()
Converts the type to a string.

Overrides:
toString in class Object
Returns:
the string


"
6,HyperlinkEvent.EventType,2,boolean equals(Object obj),False,,NULL
6,HyperlinkEvent.EventType,3,int hashCode(),False,,NULL
6,HyperlinkEvent.EventType,4,HyperlinkEvent.EventType valueOf(String name),False,,NULL
6,HyperlinkEvent.EventType,5,HyperlinkEvent.EventType[] values(),False,,NULL
9,ListDataEvent,1,int getIndex0(),True,,"

getIndex0
public int getIndex0()
Returns the lower index of the range. For a single
 element, this value is the same as that returned by getIndex1().

Returns:
an int representing the lower index value


"
9,ListDataEvent,2,int getIndex1(),True,,"

getIndex1
public int getIndex1()
Returns the upper index of the range. For a single
 element, this value is the same as that returned by getIndex0().

Returns:
an int representing the upper index value


"
