FileName,Compilable,Runnable,Correct
CallSite_4,False,False,False
MethodHandle_1,False,False,False
MethodHandle_2,True,True,True
MethodHandle_3,True,True,True
MethodHandle_4,False,False,False
MethodHandle_5,True,False,False
MethodHandles_5,True,False,False
MethodHandles_Lookup_1,True,True,True
MethodHandles_Lookup_4,False,False,False
MethodHandles_Lookup_5,True,True,True
MethodType_1,True,True,True
MethodType_2,True,True,True
MethodType_3,True,True,True
MethodType_4,True,True,True
MethodType_5,True,True,True
MutableCallSite_1,False,False,False
MutableCallSite_2,False,False,False
MutableCallSite_3,False,False,False
SwitchPoint_1,True,True,True
