Sample Number,ClassName,Snippet Number,Method,Exist
0,_IDLTypeStub,1,java.lang.String toString(),False
0,_IDLTypeStub,2,boolean equals(Object obj),False
0,_IDLTypeStub,3,int hashCode(),False
0,_IDLTypeStub,4,Class<?> getClass(),False
0,_IDLTypeStub,5,protected Object clone() throws CloneNotSupportedException,False
1,_PolicyStub,1,void destroy(),True
1,_PolicyStub,2,String get_type(),False
1,_PolicyStub,3,PolicyValue get_value(),False
1,_PolicyStub,4,void set_value(PolicyValue value),False
1,_PolicyStub,5,void copy_from(Policy src_policy),False
2,Any,1,boolean is_empty(),False
2,Any,2,void insert_boolean(boolean value),True
2,Any,3,void insert_char(char value),True
2,Any,4,void insert_octet(byte value),True
2,Any,5,void insert_short(short value),True
2,Any,6,void insert_long(long value),False
2,Any,7,void insert_float(float value),True
2,Any,8,void insert_double(double value),True
2,Any,9,void insert_string(String value),True
2,Any,10,void insert_typecode(org.omg.CORBA.TypeCode tc),False
2,Any,11,void insert_any(org.omg.CORBA.Any any),False
2,Any,12,void insert_Object(java.lang.Object obj),False
2,Any,13,"void insert_value(org.omg.CORBA.TypeCode tc, java.lang.Object obj)",False
2,Any,14,boolean read_boolean(),False
2,Any,15,char read_char(),False
2,Any,16,byte read_octet(),False
2,Any,17,short read_short(),False
2,Any,18,long read_long(),False
2,Any,19,float read_float(),False
2,Any,20,double read_double(),False
2,Any,21,String read_string(),False
2,Any,22,org.omg.CORBA.TypeCode type(),False
2,Any,23,org.omg.CORBA.TypeCode _type(),False
2,Any,24,"void _set_value(org.omg.CORBA.TypeCode tc, java.lang.Object obj)",False
2,Any,25,"void _set_value(org.omg.CORBA.TypeCode tc, org.omg.CORBA.Any any)",False
2,Any,26,"void _set_value(org.omg.CORBA.TypeCode tc, java.lang.Object obj, int flags)",False
2,Any,27,"void _set_value(org.omg.CORBA.TypeCode tc, org.omg.CORBA.Any any, int flags)",False
3,AnyHolder,1,void _set_value(org.omg.CORBA.Any value),False
3,AnyHolder,2,org.omg.CORBA.Any _get_value(),False
3,AnyHolder,3,void _set_type(org.omg.CORBA.TypeCode tc),False
3,AnyHolder,4,org.omg.CORBA.TypeCode _get_type(),False
3,AnyHolder,5,void _set_absent(),False
3,AnyHolder,6,boolean _is_nil(),False
3,AnyHolder,7,void _duplicate(org.omg.CORBA.AnyHolder rhs),False
3,AnyHolder,8,void _release(),False
3,AnyHolder,9,void _read(org.omg.CORBA.InputStream istream),False
3,AnyHolder,10,void _write(org.omg.CORBA.OutputStream ostream),False
4,AnySeqHelper,1,int size(),False
4,AnySeqHelper,2,boolean isEmpty(),False
4,AnySeqHelper,3,boolean contains(Object o),False
4,AnySeqHelper,4,Object[] toArray(),False
4,AnySeqHelper,5,boolean add(E e),False
5,AnySeqHolder,1,int size(),False
5,AnySeqHolder,2,boolean isEmpty(),False
5,AnySeqHolder,3,boolean contains(Object o),False
5,AnySeqHolder,4,Object[] toArray(),False
5,AnySeqHolder,5,boolean add(E e),False
5,AnySeqHolder,6,boolean remove(Object o),False
5,AnySeqHolder,7,void clear(),False
5,AnySeqHolder,8,E get(int index),False
5,AnySeqHolder,9,"E set(int index, E element)",False
5,AnySeqHolder,10,"void add(int index, E element)",False
5,AnySeqHolder,11,E remove(int index),False
5,AnySeqHolder,12,int indexOf(Object o),False
5,AnySeqHolder,13,int lastIndexOf(Object o),False
5,AnySeqHolder,14,ListIterator<E> listIterator(),False
5,AnySeqHolder,15,ListIterator<E> listIterator(int index),False
5,AnySeqHolder,16,"List<E> subList(int fromIndex, int toIndex)",False
5,AnySeqHolder,17,boolean retainAll(Collection<?> c),False
5,AnySeqHolder,18,boolean removeAll(Collection<?> c),False
5,AnySeqHolder,19,boolean containsAll(Collection<?> c),False
5,AnySeqHolder,20,boolean addAll(Collection<? extends E> c),False
5,AnySeqHolder,21,"boolean addAll(int index, Collection<? extends E> c)",False
5,AnySeqHolder,22,boolean removeAll(Collection<?> c),False
5,AnySeqHolder,23,void sort(Comparator<? super E> c),False
5,AnySeqHolder,24,void replaceAll(UnaryOperator<E> operator),False
5,AnySeqHolder,25,void forEach(Consumer<? super E> action),False
6,BooleanHolder,1,boolean value,False
6,BooleanHolder,2,void _retn(boolean value),False
6,BooleanHolder,3,boolean _is_value(),False
6,BooleanHolder,4,void _set_value(boolean value),False
6,BooleanHolder,5,boolean _get_value(),False
7,BooleanSeqHelper,1,int size(),False
7,BooleanSeqHelper,2,boolean isEmpty(),False
7,BooleanSeqHelper,3,boolean contains(Object o),False
7,BooleanSeqHelper,4,boolean add(boolean e),False
7,BooleanSeqHelper,5,boolean remove(Object o),False
7,BooleanSeqHelper,6,boolean[] toArray(),False
7,BooleanSeqHelper,7,boolean get(int index),False
7,BooleanSeqHelper,8,"boolean set(int index, boolean element)",False
7,BooleanSeqHelper,9,boolean remove(int index),False
7,BooleanSeqHelper,10,int indexOf(Object o),False
7,BooleanSeqHelper,11,int lastIndexOf(Object o),False
7,BooleanSeqHelper,12,boolean equals(Object o),False
7,BooleanSeqHelper,13,int hashCode(),False
7,BooleanSeqHelper,14,java.util.Iterator<boolean> iterator(),False
7,BooleanSeqHelper,15,void clear(),False
7,BooleanSeqHelper,16,java.util.ListIterator<boolean> listIterator(),False
7,BooleanSeqHelper,17,java.util.ListIterator<boolean> listIterator(int index),False
7,BooleanSeqHelper,18,boolean[] toArray(boolean[] a),False
7,BooleanSeqHelper,19,boolean retainAll(Collection<?> c),False
7,BooleanSeqHelper,20,boolean removeAll(Collection<?> c),False
7,BooleanSeqHelper,21,boolean containsAll(Collection<?> c),False
7,BooleanSeqHelper,22,"boolean addAll(int index, Collection<? extends boolean> c)",False
7,BooleanSeqHelper,23,boolean addAll(Collection<? extends boolean> c),False
7,BooleanSeqHelper,24,"boolean removeRange(int fromIndex, int toIndex)",False
7,BooleanSeqHelper,25,"boolean subList(int fromIndex, int toIndex)",False
8,BooleanSeqHolder,1,void _retrieve(),False
8,BooleanSeqHolder,2,void _store(boolean[] value),False
8,BooleanSeqHolder,3,boolean[] value(),False
8,BooleanSeqHolder,4,void _set_value(boolean[] new_value),False
8,BooleanSeqHolder,5,int _length(),False
9,ByteHolder,1,void _set_value(byte[] newVal),False
9,ByteHolder,2,byte[] _get_value(),False
9,ByteHolder,3,void _set_length(int newLen),False
9,ByteHolder,4,int _get_length(),False
9,ByteHolder,5,void _set_maximum(int newMax),False
10,CharHolder,1,void _set_value(char value),False
10,CharHolder,2,char _get_value(),False
10,CharHolder,3,void _copy_value(org.omg.CORBA.Any t),False
10,CharHolder,4,void _set_type(org.omg.CORBA.TypeCode t),False
10,CharHolder,5,org.omg.CORBA.TypeCode _type(),False
11,CharSeqHelper,1,char charAt(int index),False
11,CharSeqHelper,2,int length(),False
11,CharSeqHelper,3,"CharSequence subSequence(int start, int end)",False
11,CharSeqHelper,4,String toString(),False
11,CharSeqHelper,5,int hashCode(),False
12,CharSeqHolder,1,void _retrieve_value(char[] s),False
12,CharSeqHolder,2,void _set_value(char[] s),False
