Sample Number,ClassName,Snippet Number,Method,Exist,Description,Full Description
0,Buffer,1,int capacity(),True,,"

capacity
public final int capacity()
Returns this buffer's capacity.

Returns:
The capacity of this buffer


"
0,Buffer,2,Buffer clear(),True,,"

clear
public final Buffer clear()
Clears this buffer.  The position is set to zero, the limit is set to
 the capacity, and the mark is discarded.

  Invoke this method before using a sequence of channel-read or
 put operations to fill this buffer.  For example:

 
 buf.clear();     // Prepare buffer for reading
 in.read(buf);    // Read data
 This method does not actually erase the data in the buffer, but it
 is named as if it did because it will most often be used in situations
 in which that might as well be the case. 

Returns:
This buffer


"
0,Buffer,3,Buffer flip(),True,,"

flip
public final Buffer flip()
Flips this buffer.  The limit is set to the current position and then
 the position is set to zero.  If the mark is defined then it is
 discarded.

  After a sequence of channel-read or put operations, invoke
 this method to prepare for a sequence of channel-write or relative
 get operations.  For example:

 
 buf.put(magic);    // Prepend header
 in.read(buf);      // Read data into rest of buffer
 buf.flip();        // Flip buffer
 out.write(buf);    // Write header + data to channel
 This method is often used in conjunction with the compact method when transferring data from
 one place to another.  

Returns:
This buffer


"
0,Buffer,4,boolean hasRemaining(),True,,"

hasRemaining
public final boolean hasRemaining()
Tells whether there are any elements between the current position and
 the limit.

Returns:
true if, and only if, there is at least one element
          remaining in this buffer


"
0,Buffer,5,int remaining(),True,,"

remaining
public final int remaining()
Returns the number of elements between the current position and the
 limit.

Returns:
The number of elements remaining in this buffer


"
1,ByteBuffer,1,ByteBuffer allocate(int capacity),True,,"

allocate
public static ByteBuffer allocate(int capacity)
Allocates a new byte buffer.

  The new buffer's position will be zero, its limit will be its
 capacity, its mark will be undefined, and each of its elements will be
 initialized to zero.  It will have a backing array,
 and its array offset will be zero.

Parameters:
capacity - The new buffer's capacity, in bytes
Returns:
The new byte buffer
Throws:
IllegalArgumentException - If the capacity is a negative integer


"
1,ByteBuffer,2,ByteBuffer wrap(byte[] array),True,,"

wrap
public static ByteBuffer wrap(byte[] array)
Wraps a byte array into a buffer.

  The new buffer will be backed by the given byte array;
 that is, modifications to the buffer will cause the array to be modified
 and vice versa.  The new buffer's capacity and limit will be
 array.length, its position will be zero, and its mark will be
 undefined.  Its backing array will be the
 given array, and its array offset> will
 be zero.  

Parameters:
array - The array that will back this buffer
Returns:
The new byte buffer


"
1,ByteBuffer,3,ByteBuffer put(byte b),True,,"

put
public abstract ByteBuffer put(byte b)
Relative put method  (optional operation).

  Writes the given byte into this buffer at the current
 position, and then increments the position. 

Parameters:
b - The byte to be written
Returns:
This buffer
Throws:
BufferOverflowException - If this buffer's current position is not smaller than its limit
ReadOnlyBufferException - If this buffer is read-only


"
1,ByteBuffer,4,byte get(),True,,"

get
public abstract byte get()
Relative get method.  Reads the byte at this buffer's
 current position, and then increments the position.

Returns:
The byte at the buffer's current position
Throws:
BufferUnderflowException - If the buffer's current position is not smaller than its limit


"
1,ByteBuffer,5,ByteBuffer clear(),False,,NULL
2,ByteOrder,1,ByteOrder nativeOrder(),True,,"

nativeOrder
public static ByteOrder nativeOrder()
Retrieves the native byte order of the underlying platform.

  This method is defined so that performance-sensitive Java code can
 allocate direct buffers with the same byte order as the hardware.
 Native code libraries are often more efficient when such buffers are
 used.  

Returns:
The native byte order of the hardware upon which this Java
          virtual machine is running


"
2,ByteOrder,2,ByteOrder BIG_ENDIAN,False,,NULL
2,ByteOrder,3,ByteOrder LITTLE_ENDIAN,False,,NULL
2,ByteOrder,4,int compareTo(ByteOrder bo),False,,NULL
2,ByteOrder,5,String toString(),True,,"

toString
public String toString()
Constructs a string describing this object.

  This method returns the string ""BIG_ENDIAN"" for BIG_ENDIAN and ""LITTLE_ENDIAN"" for LITTLE_ENDIAN.
 

Overrides:
toString in class Object
Returns:
The specified string


"
3,CharBuffer,1,CharBuffer clear(),False,,NULL
3,CharBuffer,2,CharBuffer flip(),False,,NULL
3,CharBuffer,3,CharBuffer rewind(),False,,NULL
3,CharBuffer,4,CharBuffer slice(),True,,"

slice
public abstract CharBuffer slice()
Creates a new char buffer whose content is a shared subsequence of
 this buffer's content.

  The content of the new buffer will start at this buffer's current
 position.  Changes to this buffer's content will be visible in the new
 buffer, and vice versa; the two buffers' position, limit, and mark
 values will be independent.

  The new buffer's position will be zero, its capacity and its limit
 will be the number of chars remaining in this buffer, and its mark
 will be undefined.  The new buffer will be direct if, and only if, this
 buffer is direct, and it will be read-only if, and only if, this buffer
 is read-only.  

Returns:
The new char buffer


"
3,CharBuffer,5,CharBuffer duplicate(),True,,"

duplicate
public abstract CharBuffer duplicate()
Creates a new char buffer that shares this buffer's content.

  The content of the new buffer will be that of this buffer.  Changes
 to this buffer's content will be visible in the new buffer, and vice
 versa; the two buffers' position, limit, and mark values will be
 independent.

  The new buffer's capacity, limit, position, and mark values will be
 identical to those of this buffer.  The new buffer will be direct if,
 and only if, this buffer is direct, and it will be read-only if, and
 only if, this buffer is read-only.  

Returns:
The new char buffer


"
