ClassName,Method,Return Type,Description,Full Description
Endpoint,create(Object implementor),static Endpoint,Creates an endpoint with the specified implementor object.,"

create
public static Endpoint create(Object implementor)
Creates an endpoint with the specified implementor object. If there is
 a binding specified via a BindingType annotation then it MUST be used else
 a default of SOAP 1.1 / HTTP binding MUST be used.
 
 The newly created endpoint may be published by calling
 one of the publish(String) and
 publish(Object) methods.

Parameters:
implementor - The endpoint implementor.
Returns:
The newly created endpoint.


"
Endpoint,"create(Object implementor, WebServiceFeature... features)",static Endpoint,Creates an endpoint with the specified implementor object and web service features.,"

create
public static Endpoint create(Object implementor,
                              WebServiceFeature... features)
Creates an endpoint with the specified implementor object and web
 service features. If there is a binding specified via a BindingType
 annotation then it MUST be used else a default of SOAP 1.1 / HTTP
 binding MUST be used.
 
 The newly created endpoint may be published by calling
 one of the publish(String) and
 publish(Object) methods.

Parameters:
implementor - The endpoint implementor.
features - A list of WebServiceFeature to configure on the
        endpoint. Supported features not in the features
         parameter will have their default values.
Returns:
The newly created endpoint.
Since:
JAX-WS 2.2


"
Endpoint,"create(String bindingId, Object implementor)",static Endpoint,Creates an endpoint with the specified binding type and implementor object.,"

create
public static Endpoint create(String bindingId,
                              Object implementor)
Creates an endpoint with the specified binding type and
 implementor object.
 
 The newly created endpoint may be published by calling
 one of the publish(String) and
 publish(Object) methods.

Parameters:
bindingId - A URI specifying the binding to use. If the bindingID is
 null and no binding is specified via a BindingType
 annotation then a default SOAP 1.1 / HTTP binding MUST be used.
implementor - The endpoint implementor.
Returns:
The newly created endpoint.


"
Endpoint,"create(String bindingId, Object implementor, WebServiceFeature... features)",static Endpoint,"Creates an endpoint with the specified binding type, implementor object, and web service features.","

create
public static Endpoint create(String bindingId,
                              Object implementor,
                              WebServiceFeature... features)
Creates an endpoint with the specified binding type,
 implementor object, and web service features.
 
 The newly created endpoint may be published by calling
 one of the publish(String) and
 publish(Object) methods.

Parameters:
bindingId - A URI specifying the binding to use. If the bindingID is
 null and no binding is specified via a BindingType
 annotation then a default SOAP 1.1 / HTTP binding MUST be used.
implementor - The endpoint implementor.
features - A list of WebServiceFeature to configure on the
        endpoint. Supported features not in the features
         parameter will have their default values.
Returns:
The newly created endpoint.
Since:
JAX-WS 2.2


"
Endpoint,getBinding(),abstract Binding,Returns the binding for this endpoint.,"

getBinding
public abstract Binding getBinding()
Returns the binding for this endpoint.

Returns:
The binding for this endpoint


"
Endpoint,"getEndpointReference(Class<T> clazz, Element... referenceParameters)",abstract <T extends EndpointReference> T,Returns the EndpointReference associated with this Endpoint instance.,"

getEndpointReference
public abstract <T extends EndpointReference> T getEndpointReference(Class<T> clazz,
                                                                     Element... referenceParameters)
Returns the EndpointReference associated with
 this Endpoint instance.

Parameters:
clazz - Specifies the type of EndpointReference  that MUST be returned.
referenceParameters - Reference parameters to be associated with the
 returned EndpointReference instance.
Returns:
EndpointReference of type clazz of this
 Endpoint instance.
 If the returned EndpointReference is of type
 W3CEndpointReference then it MUST contain the
 the specified referenceParameters.
Throws:
WebServiceException - If any error in the creation of
 the EndpointReference or if the Endpoint is
 not in the published state or if the clazz is not a supported
 EndpointReference type.
UnsupportedOperationException - If this BindingProvider
 uses the XML/HTTP binding.
Since:
JAX-WS 2.1


"
Endpoint,getEndpointReference(Element... referenceParameters),abstract EndpointReference,Returns the EndpointReference associated with this Endpoint instance.,"

getEndpointReference
public abstract EndpointReference getEndpointReference(Element... referenceParameters)
Returns the EndpointReference associated with
 this Endpoint instance.
 
 If the Binding for this bindingProvider is
 either SOAP1.1/HTTP or SOAP1.2/HTTP, then a
 W3CEndpointReference MUST be returned.

Parameters:
referenceParameters - Reference parameters to be associated with the
 returned EndpointReference instance.
Returns:
EndpointReference of this Endpoint instance.
 If the returned EndpointReference is of type
 W3CEndpointReference then it MUST contain the
 the specified referenceParameters.
Throws:
WebServiceException - If any error in the creation of
 the EndpointReference or if the Endpoint is
 not in the published state.
UnsupportedOperationException - If this BindingProvider
 uses the XML/HTTP binding.
Since:
JAX-WS 2.1
See Also:
W3CEndpointReference


"
Endpoint,getExecutor(),abstract Executor,Returns the executor for this Endpointinstance.,"

getExecutor
public abstract Executor getExecutor()
Returns the executor for this Endpointinstance.

 The executor is used to dispatch an incoming request to
 the implementor object.

Returns:
The java.util.concurrent.Executor to be
         used to dispatch a request.
See Also:
Executor


"
Endpoint,getImplementor(),abstract Object,Returns the implementation object for this endpoint.,"

getImplementor
public abstract Object getImplementor()
Returns the implementation object for this endpoint.

Returns:
The implementor for this endpoint


"
Endpoint,getMetadata(),abstract List<Source>,Returns a list of metadata documents for the service.,"

getMetadata
public abstract List<Source> getMetadata()
Returns a list of metadata documents for the service.

Returns:
List<javax.xml.transform.Source> A list of metadata documents for the service


"
Endpoint,getProperties(),"abstract Map<String,Object>",Returns the property bag for this Endpoint instance.,"

getProperties
public abstract Map<String,Object> getProperties()
Returns the property bag for this Endpoint instance.

Returns:
Map<String,Object> The property bag
         associated with this instance.


"
Endpoint,isPublished(),abstract boolean,Returns true if the endpoint is in the published state.,"

isPublished
public abstract boolean isPublished()
Returns true if the endpoint is in the published state.

Returns:
true if the endpoint is in the published state.


"
Endpoint,publish(HttpContext serverContext),void,Publishes this endpoint at the provided server context.,"

publish
public void publish(HttpContext serverContext)
Publishes this endpoint at the provided server context.
 A server context encapsulates the server infrastructure
 and addressing information for a particular transport.
 For a call to this method to succeed, the server context
 passed as an argument to it MUST be compatible with the
 endpoint's binding.

 
 This is meant for container developers to publish the
 the endpoints portably and not intended for the end
 developers.

Parameters:
serverContext - An object representing a server
           context to be used for publishing the endpoint.
Throws:
IllegalArgumentException - If the provided server context is not
              supported by the implementation or turns
              out to be unusable in conjunction with the
              endpoint's binding.
IllegalStateException - If the endpoint has been published already or it has been stopped.
SecurityException - If a java.lang.SecurityManger
          is being used and the application doesn't have the
          WebServicePermission(""publishEndpoint"") permission.
Since:
JAX-WS 2.2


"
Endpoint,publish(Object serverContext),abstract void,Publishes this endpoint at the provided server context.,"

publish
public abstract void publish(Object serverContext)
Publishes this endpoint at the provided server context.
 A server context encapsulates the server infrastructure
 and addressing information for a particular transport.
 For a call to this method to succeed, the server context
 passed as an argument to it MUST be compatible with the
 endpoint's binding.

Parameters:
serverContext - An object representing a server
           context to be used for publishing the endpoint.
Throws:
IllegalArgumentException - If the provided server context is not
              supported by the implementation or turns
              out to be unusable in conjunction with the
              endpoint's binding.
IllegalStateException - If the endpoint has been published already or it has been stopped.
SecurityException - If a java.lang.SecurityManger
          is being used and the application doesn't have the
          WebServicePermission(""publishEndpoint"") permission.


"
Endpoint,publish(String address),abstract void,Publishes this endpoint at the given address.,"

publish
public abstract void publish(String address)
Publishes this endpoint at the given address.
 The necessary server infrastructure will be created and
 configured by the JAX-WS implementation using some default configuration.
 In order to get more control over the server configuration, please
 use the publish(Object) method instead.

Parameters:
address - A URI specifying the address to use. The address
        MUST be compatible with the binding specified at the
        time the endpoint was created.
Throws:
IllegalArgumentException - If the provided address URI is not usable
          in conjunction with the endpoint's binding.
IllegalStateException - If the endpoint has been published already or it has been stopped.
SecurityException - If a java.lang.SecurityManger
          is being used and the application doesn't have the
          WebServicePermission(""publishEndpoint"") permission.


"
Endpoint,"publish(String address, Object implementor)",static Endpoint,Creates and publishes an endpoint for the specified implementor object at the given address.,"

publish
public static Endpoint publish(String address,
                               Object implementor)
Creates and publishes an endpoint for the specified implementor
 object at the given address.
 
 The necessary server infrastructure will be created and
 configured by the JAX-WS implementation using some default configuration.

 In order to get more control over the server configuration, please
 use the create(String,Object) and
 publish(Object) methods instead.

Parameters:
address - A URI specifying the address and transport/protocol
        to use. A http: URI MUST result in the SOAP 1.1/HTTP
        binding being used. Implementations may support other
        URI schemes.
implementor - The endpoint implementor.
Returns:
The newly created endpoint.
Throws:
SecurityException - If a java.lang.SecurityManger
          is being used and the application doesn't have the
          WebServicePermission(""publishEndpoint"") permission.


"
