FileName,Compilable,Runnable,Correct
DESedeKeySpec_2,False,False,False
DHParameterSpec_2,False,False,False
DHParameterSpec_3,False,False,False
DHParameterSpec_4,False,False,False
DHPrivateKeySpec_1,True,True,True
DHPrivateKeySpec_3,True,True,True
DHPublicKeySpec_1,False,False,False
DHPublicKeySpec_2,False,False,False
DHPublicKeySpec_3,False,False,False
GCMParameterSpec_2,True,True,True
GCMParameterSpec_3,True,True,True
IvParameterSpec_1,True,True,True
PBEKeySpec_3,True,True,True
PBEKeySpec_4,True,True,True
PBEKeySpec_5,True,True,True
PBEParameterSpec_2,False,False,False
PBEParameterSpec_3,False,False,False
RC2ParameterSpec_3,True,True,True
RC2ParameterSpec_5,False,False,False
RC2ParameterSpec_6,False,False,False
RC5ParameterSpec_3,True,True,True
