Sample Number,ClassName,Snippet Number,Method,Exist,Description,Full Description
0,AffineTransformOp,1,"BufferedImage filter(BufferedImage src, BufferedImage dest)",True,,"

filter
public final BufferedImage filter(BufferedImage src,
                                  BufferedImage dst)
Transforms the source BufferedImage and stores the results
 in the destination BufferedImage.
 If the color models for the two images do not match, a color
 conversion into the destination color model is performed.
 If the destination image is null,
 a BufferedImage is created with the source
 ColorModel.
 
 The coordinates of the rectangle returned by
 getBounds2D(BufferedImage)
 are not necessarily the same as the coordinates of the
 BufferedImage returned by this method.  If the
 upper-left corner coordinates of the rectangle are
 negative then this part of the rectangle is not drawn.  If the
 upper-left corner coordinates of the  rectangle are positive
 then the filtered image is drawn at that position in the
 destination BufferedImage.
 
 An IllegalArgumentException is thrown if the source is
 the same as the destination.

Specified by:
filter in interface BufferedImageOp
Parameters:
src - The BufferedImage to transform.
dst - The BufferedImage in which to store the results
 of the transformation.
Returns:
The filtered BufferedImage.
Throws:
IllegalArgumentException - if src and
         dst are the same
ImagingOpException - if the image cannot be transformed
         because of a data-processing error that might be
         caused by an invalid image format, tile format, or
         image-processing operation, or any other unsupported
         operation.


"
0,AffineTransformOp,2,"BufferedImage createCompatibleDestImage(BufferedImage src, ColorModel destCM)",True,,"

createCompatibleDestImage
public BufferedImage createCompatibleDestImage(BufferedImage src,
                                               ColorModel destCM)
Creates a zeroed destination image with the correct size and number of
 bands.  A RasterFormatException may be thrown if the
 transformed width or height is equal to 0.
 
 If destCM is null,
 an appropriate ColorModel is used; this
 ColorModel may have
 an alpha channel even if the source ColorModel is opaque.

Specified by:
createCompatibleDestImage in interface BufferedImageOp
Parameters:
src - The BufferedImage to be transformed.
destCM - ColorModel of the destination.  If null,
 an appropriate ColorModel is used.
Returns:
The zeroed destination image.


"
0,AffineTransformOp,3,"void filter(Raster src, WritableRaster dest)",False,,NULL
0,AffineTransformOp,4,"Point2D getPoint2D(Point2D srcPt, Point2D dstPt)",True,,"

getPoint2D
public final Point2D getPoint2D(Point2D srcPt,
                                Point2D dstPt)
Returns the location of the corresponding destination point given a
 point in the source.  If dstPt is specified, it
 is used to hold the return value.

Specified by:
getPoint2D in interface BufferedImageOp
Specified by:
getPoint2D in interface RasterOp
Parameters:
srcPt - The Point2D that represents the source
              point.
dstPt - The Point2D in which to store the result.
Returns:
The Point2D in the destination that corresponds to
 the specified point in the source.


"
0,AffineTransformOp,5,Rectangle2D getBounds2D(BufferedImage src),True,,"

getBounds2D
public final Rectangle2D getBounds2D(BufferedImage src)
Returns the bounding box of the transformed destination.  The
 rectangle returned is the actual bounding box of the
 transformed points.  The coordinates of the upper-left corner
 of the returned rectangle might not be (0, 0).

Specified by:
getBounds2D in interface BufferedImageOp
Parameters:
src - The BufferedImage to be transformed.
Returns:
The Rectangle2D representing the destination's
 bounding box.


"
1,AreaAveragingScaleFilter,1,void setHints(int hints),True,,"

setHints
public void setHints(int hints)
Detect if the data is being delivered with the necessary hints
 to allow the averaging algorithm to do its work.
 
 Note: This method is intended to be called by the
 ImageProducer of the Image whose
 pixels are being filtered.  Developers using
 this class to filter pixels from an image should avoid calling
 this method directly since that operation could interfere
 with the filtering operation.

Specified by:
setHints in interface ImageConsumer
Overrides:
setHints in class ImageFilter
Parameters:
hints - a set of hints that the ImageConsumer uses to
        process the pixels
See Also:
ImageConsumer.setHints(int)


"
1,AreaAveragingScaleFilter,2,"void setPixels(int x, int y, int w, int h, ColorModel model, int[] pixels, int off, int scansize)",True,,"

setPixels
public void setPixels(int x,
                      int y,
                      int w,
                      int h,
                      ColorModel model,
                      int[] pixels,
                      int off,
                      int scansize)
Combine the components for the delivered int pixels into the
 accumulation arrays and send on any averaged data for rows of
 pixels that are complete.  If the correct hints were not
 specified in the setHints call then relay the work to our
 superclass which is capable of scaling pixels regardless of
 the delivery hints.
 
 Note: This method is intended to be called by the
 ImageProducer of the Image
 whose pixels are being filtered.  Developers using
 this class to filter pixels from an image should avoid calling
 this method directly since that operation could interfere
 with the filtering operation.

Specified by:
setPixels in interface ImageConsumer
Overrides:
setPixels in class ReplicateScaleFilter
Parameters:
x - the X coordinate of the upper-left corner of the
        area of pixels to be set
y - the Y coordinate of the upper-left corner of the
        area of pixels to be set
w - the width of the area of pixels
h - the height of the area of pixels
model - the specified ColorModel
pixels - the array of pixels
off - the offset into the pixels array
scansize - the distance from one row of pixels to the next in
 the pixels array
See Also:
ReplicateScaleFilter


"
1,AreaAveragingScaleFilter,3,"void setPixels(int x, int y, int w, int h, ColorModel model, byte[] pixels, int off, int scansize)",True,,"

setPixels
public void setPixels(int x,
                      int y,
                      int w,
                      int h,
                      ColorModel model,
                      byte[] pixels,
                      int off,
                      int scansize)
Combine the components for the delivered byte pixels into the
 accumulation arrays and send on any averaged data for rows of
 pixels that are complete.  If the correct hints were not
 specified in the setHints call then relay the work to our
 superclass which is capable of scaling pixels regardless of
 the delivery hints.
 
 Note: This method is intended to be called by the
 ImageProducer of the Image
 whose pixels are being filtered.  Developers using
 this class to filter pixels from an image should avoid calling
 this method directly since that operation could interfere
 with the filtering operation.

Specified by:
setPixels in interface ImageConsumer
Overrides:
setPixels in class ReplicateScaleFilter
Parameters:
x - the X coordinate of the upper-left corner of the
        area of pixels to be set
y - the Y coordinate of the upper-left corner of the
        area of pixels to be set
w - the width of the area of pixels
h - the height of the area of pixels
model - the specified ColorModel
pixels - the array of pixels
off - the offset into the pixels array
scansize - the distance from one row of pixels to the next in
 the pixels array
See Also:
ReplicateScaleFilter


"
1,AreaAveragingScaleFilter,4,"void setPixels(int x, int y, int w, int h, ColorModel model, int[] pixels, int off, int scansize, int xoffset, int yoffset)",False,,NULL
1,AreaAveragingScaleFilter,5,"void setPixels(int x, int y, int w, int h, ColorModel model, byte[] pixels, int off, int scansize, int xoffset, int yoffset)",False,,NULL
