ClassName,Method,Return Type,Description,Full Description
Chromaticity,getCategory(),Class<? extends Attribute>,"Get the printing attribute class which is to be used as the ""category"" for this printing attribute value.","

getCategory
public final Class<? extends Attribute> getCategory()
Get the printing attribute class which is to be used as the ""category""
 for this printing attribute value.
 
 For class Chromaticity, the category is the class Chromaticity itself.

Specified by:
getCategory in interface Attribute
Returns:
Printing attribute class (category), an instance of class
          java.lang.Class.


"
Chromaticity,getEnumValueTable(),protected EnumSyntax[],Returns the enumeration value table for class Chromaticity.,"

getEnumValueTable
protected EnumSyntax[] getEnumValueTable()
Returns the enumeration value table for class Chromaticity.

Overrides:
getEnumValueTable in class EnumSyntax
Returns:
the value table


"
Chromaticity,getName(),String,Get the name of the category of which this attribute value is an instance.,"

getName
public final String getName()
Get the name of the category of which this attribute value is an
 instance.
 
 For class Chromaticity, the category name is ""chromaticity"".

Specified by:
getName in interface Attribute
Returns:
Attribute category name.


"
Chromaticity,getStringTable(),protected String[],Returns the string table for class Chromaticity.,"

getStringTable
protected String[] getStringTable()
Returns the string table for class Chromaticity.

Overrides:
getStringTable in class EnumSyntax
Returns:
the string table


"
ColorSupported,getCategory(),Class<? extends Attribute>,"Get the printing attribute class which is to be used as the ""category"" for this printing attribute value.","

getCategory
public final Class<? extends Attribute> getCategory()
Get the printing attribute class which is to be used as the ""category""
 for this printing attribute value.
 
 For class ColorSupported, the category is class ColorSupported itself.

Specified by:
getCategory in interface Attribute
Returns:
Printing attribute class (category), an instance of class
          java.lang.Class.


"
ColorSupported,getEnumValueTable(),protected EnumSyntax[],Returns the enumeration value table for class ColorSupported.,"

getEnumValueTable
protected EnumSyntax[] getEnumValueTable()
Returns the enumeration value table for class ColorSupported.

Overrides:
getEnumValueTable in class EnumSyntax
Returns:
the value table


"
ColorSupported,getName(),String,Get the name of the category of which this attribute value is an instance.,"

getName
public final String getName()
Get the name of the category of which this attribute value is an
 instance.
 
 For class ColorSupported, the category name is ""color-supported"".

Specified by:
getName in interface Attribute
Returns:
Attribute category name.


"
ColorSupported,getStringTable(),protected String[],Returns the string table for class ColorSupported.,"

getStringTable
protected String[] getStringTable()
Returns the string table for class ColorSupported.

Overrides:
getStringTable in class EnumSyntax
Returns:
the string table


"
Compression,getCategory(),Class<? extends Attribute>,"Get the printing attribute class which is to be used as the ""category"" for this printing attribute value.","

getCategory
public final Class<? extends Attribute> getCategory()
Get the printing attribute class which is to be used as the ""category""
 for this printing attribute value.
 
 For class Compression and any vendor-defined subclasses, the category is
 class Compression itself.

Specified by:
getCategory in interface Attribute
Returns:
Printing attribute class (category), an instance of class
          java.lang.Class.


"
Compression,getEnumValueTable(),protected EnumSyntax[],Returns the enumeration value table for class Compression.,"

getEnumValueTable
protected EnumSyntax[] getEnumValueTable()
Returns the enumeration value table for class Compression.

Overrides:
getEnumValueTable in class EnumSyntax
Returns:
the value table


"
Compression,getName(),String,Get the name of the category of which this attribute value is an instance.,"

getName
public final String getName()
Get the name of the category of which this attribute value is an
 instance.
 
 For class Compression and any vendor-defined subclasses, the category
 name is ""compression"".

Specified by:
getName in interface Attribute
Returns:
Attribute category name.


"
Compression,getStringTable(),protected String[],Returns the string table for class Compression.,"

getStringTable
protected String[] getStringTable()
Returns the string table for class Compression.

Overrides:
getStringTable in class EnumSyntax
Returns:
the string table


"
Copies,equals(Object object),boolean,Returns whether this copies attribute is equivalent to the passed in object.,"

equals
public boolean equals(Object object)
Returns whether this copies attribute is equivalent to the passed in
 object. To be equivalent, all of the following conditions must be true:
 

object is not null.
 
object is an instance of class Copies.
 
 This copies attribute's value and object's value are
 equal.
 

Overrides:
equals in class IntegerSyntax
Parameters:
object - Object to compare to.
Returns:
True if object is equivalent to this copies
          attribute, false otherwise.
See Also:
Object.hashCode(), 
HashMap


"
Copies,getCategory(),Class<? extends Attribute>,"Get the printing attribute class which is to be used as the ""category"" for this printing attribute value.","

getCategory
public final Class<? extends Attribute> getCategory()
Get the printing attribute class which is to be used as the ""category""
 for this printing attribute value.
 
 For class Copies, the category is class Copies itself.

Specified by:
getCategory in interface Attribute
Returns:
Printing attribute class (category), an instance of class
          java.lang.Class.


"
Copies,getName(),String,Get the name of the category of which this attribute value is an instance.,"

getName
public final String getName()
Get the name of the category of which this attribute value is an
 instance.
 
 For class Copies, the category name is ""copies"".

Specified by:
getName in interface Attribute
Returns:
Attribute category name.


"
CopiesSupported,equals(Object object),boolean,Returns whether this copies supported attribute is equivalent to the passed in object.,"

equals
public boolean equals(Object object)
Returns whether this copies supported attribute is equivalent to the
 passed in object. To be equivalent, all of the following conditions must
 be true:
 

object is not null.
 
object is an instance of class CopiesSupported.
 
 This copies supported attribute's members and object's
 members are the same.
 

Overrides:
equals in class SetOfIntegerSyntax
Parameters:
object - Object to compare to.
Returns:
True if object is equivalent to this copies
          supported attribute, false otherwise.
See Also:
Object.hashCode(), 
HashMap


"
CopiesSupported,getCategory(),Class<? extends Attribute>,"Get the printing attribute class which is to be used as the ""category"" for this printing attribute value.","

getCategory
public final Class<? extends Attribute> getCategory()
Get the printing attribute class which is to be used as the ""category""
 for this printing attribute value.
 
 For class CopiesSupported, the category
 is class CopiesSupported itself.

Specified by:
getCategory in interface Attribute
Returns:
Printing attribute class (category), an instance of class
          java.lang.Class.


"
CopiesSupported,getName(),String,Get the name of the category of which this attribute value is an instance.,"

getName
public final String getName()
Get the name of the category of which this attribute value is an
 instance.
 
 For class CopiesSupported, the category
 name is ""copies-supported"".

Specified by:
getName in interface Attribute
Returns:
Attribute category name.


"
