ClassName,Method,Return Type,Description,Full Description
JPEGHuffmanTable,getLengths(),short[],Returns an array of shorts containing the number of values for each length in the Huffman table.,"

getLengths
public short[] getLengths()
Returns an array of shorts containing the number of values
 for each length in the Huffman table. The returned array is a copy.

Returns:
a short array where array[k-1]
 is equal to the number of values in the table of length k.
See Also:
getValues()


"
JPEGHuffmanTable,getValues(),short[],Returns an array of shorts containing the values arranged by increasing length of their corresponding codes.,"

getValues
public short[] getValues()
Returns an array of shorts containing the values arranged
 by increasing length of their corresponding codes.
 The interpretation of the array is dependent on the values returned
 from getLengths. The returned array is a copy.

Returns:
a short array of values.
See Also:
getLengths()


"
JPEGHuffmanTable,toString(),String,Returns a String representing this Huffman table.,"

toString
public String toString()
Returns a String representing this Huffman table.

Overrides:
toString in class Object
Returns:
a String representing this Huffman table.


"
JPEGImageReadParam,areTablesSet(),boolean,Returns true if tables are currently set.,"

areTablesSet
public boolean areTablesSet()
Returns true if tables are currently set.

Returns:
true if tables are present.


"
JPEGImageReadParam,getACHuffmanTables(),JPEGHuffmanTable[],"Returns a copy of the array of AC Huffman tables set on the most recent call to setDecodeTables, or null if tables are not currently set.","

getACHuffmanTables
public JPEGHuffmanTable[] getACHuffmanTables()
Returns a copy of the array of AC Huffman tables set on the
 most recent call to setDecodeTables, or
 null if tables are not currently set.

Returns:
an array of JPEGHuffmanTable objects, or
 null.
See Also:
setDecodeTables(javax.imageio.plugins.jpeg.JPEGQTable[], javax.imageio.plugins.jpeg.JPEGHuffmanTable[], javax.imageio.plugins.jpeg.JPEGHuffmanTable[])


"
JPEGImageReadParam,getDCHuffmanTables(),JPEGHuffmanTable[],"Returns a copy of the array of DC Huffman tables set on the most recent call to setDecodeTables, or null if tables are not currently set.","

getDCHuffmanTables
public JPEGHuffmanTable[] getDCHuffmanTables()
Returns a copy of the array of DC Huffman tables set on the
 most recent call to setDecodeTables, or
 null if tables are not currently set.

Returns:
an array of JPEGHuffmanTable objects, or
 null.
See Also:
setDecodeTables(javax.imageio.plugins.jpeg.JPEGQTable[], javax.imageio.plugins.jpeg.JPEGHuffmanTable[], javax.imageio.plugins.jpeg.JPEGHuffmanTable[])


"
JPEGImageReadParam,getQTables(),JPEGQTable[],"Returns a copy of the array of quantization tables set on the most recent call to setDecodeTables, or null if tables are not currently set.","

getQTables
public JPEGQTable[] getQTables()
Returns a copy of the array of quantization tables set on the
 most recent call to setDecodeTables, or
 null if tables are not currently set.

Returns:
an array of JPEGQTable objects, or
 null.
See Also:
setDecodeTables(javax.imageio.plugins.jpeg.JPEGQTable[], javax.imageio.plugins.jpeg.JPEGHuffmanTable[], javax.imageio.plugins.jpeg.JPEGHuffmanTable[])


"
JPEGImageReadParam,"setDecodeTables(JPEGQTable[] qTables, JPEGHuffmanTable[] DCHuffmanTables, JPEGHuffmanTable[] ACHuffmanTables)",void,Sets the quantization and Huffman tables to use in decoding abbreviated streams.,"

setDecodeTables
public void setDecodeTables(JPEGQTable[] qTables,
                            JPEGHuffmanTable[] DCHuffmanTables,
                            JPEGHuffmanTable[] ACHuffmanTables)
Sets the quantization and Huffman tables to use in decoding
 abbreviated streams.  There may be a maximum of 4 tables of
 each type.  These tables are ignored once tables are
 encountered in the stream.  All arguments must be
 non-null.  The two arrays of Huffman tables must
 have the same number of elements.  The table specifiers in the
 frame and scan headers in the stream are assumed to be
 equivalent to indices into these arrays.  The argument arrays
 are copied by this method.

Parameters:
qTables - an array of quantization table objects.
DCHuffmanTables - an array of Huffman table objects.
ACHuffmanTables - an array of Huffman table objects.
Throws:
IllegalArgumentException - if any of the arguments
 is null, has more than 4 elements, or if the
 numbers of DC and AC tables differ.
See Also:
unsetDecodeTables()


"
JPEGImageReadParam,unsetDecodeTables(),void,Removes any quantization and Huffman tables that are currently set.,"

unsetDecodeTables
public void unsetDecodeTables()
Removes any quantization and Huffman tables that are currently
 set.

See Also:
setDecodeTables(javax.imageio.plugins.jpeg.JPEGQTable[], javax.imageio.plugins.jpeg.JPEGHuffmanTable[], javax.imageio.plugins.jpeg.JPEGHuffmanTable[])


"
JPEGImageWriteParam,areTablesSet(),boolean,Returns true if tables are currently set.,"

areTablesSet
public boolean areTablesSet()
Returns true if tables are currently set.

Returns:
true if tables are present.


"
JPEGImageWriteParam,getACHuffmanTables(),JPEGHuffmanTable[],"Returns a copy of the array of AC Huffman tables set on the most recent call to setEncodeTables, or null if tables are not currently set.","

getACHuffmanTables
public JPEGHuffmanTable[] getACHuffmanTables()
Returns a copy of the array of AC Huffman tables set on the
 most recent call to setEncodeTables, or
 null if tables are not currently set.

Returns:
an array of JPEGHuffmanTable objects, or
 null.
See Also:
setEncodeTables(javax.imageio.plugins.jpeg.JPEGQTable[], javax.imageio.plugins.jpeg.JPEGHuffmanTable[], javax.imageio.plugins.jpeg.JPEGHuffmanTable[])


"
