FileName,Compilable,Runnable,Correct
FileCacheImageInputStream_1,False,False,False
FileCacheImageInputStream_3,False,False,False
FileCacheImageOutputStream_1,False,False,False
FileCacheImageOutputStream_3,False,False,False
FileCacheImageOutputStream_5,False,False,False
FileImageInputStream_1,True,False,False
FileImageInputStream_3,True,False,False
FileImageOutputStream_1,True,True,True
FileImageOutputStream_3,True,True,True
FileImageOutputStream_5,True,True,True
ImageInputStreamImpl_1,False,False,False
ImageInputStreamImpl_2,False,False,False
ImageInputStreamImpl_3,False,False,False
ImageOutputStreamImpl_1,False,False,False
ImageOutputStreamImpl_2,False,False,False
ImageOutputStreamImpl_3,False,False,False
MemoryCacheImageInputStream_1,True,True,True
MemoryCacheImageInputStream_3,True,True,True
MemoryCacheImageOutputStream_1,False,False,False
MemoryCacheImageOutputStream_3,False,False,False
MemoryCacheImageOutputStream_5,False,False,False
