ClassName,Method,Return Type,Description
CounterMonitor,getDerivedGauge(),Number,"Deprecated. As of JMX 1.2, replaced by getDerivedGauge(ObjectName)"
CounterMonitor,getDerivedGauge(ObjectName object),Number,"Gets the derived gauge of the specified object, if this object is contained in the set of observed MBeans, or null otherwise."
CounterMonitor,getDerivedGaugeTimeStamp(),long,"Deprecated. As of JMX 1.2, replaced by getDerivedGaugeTimeStamp(ObjectName)"
CounterMonitor,getDerivedGaugeTimeStamp(ObjectName object),long,"Gets the derived gauge timestamp of the specified object, if this object is contained in the set of observed MBeans, or 0 otherwise."
CounterMonitor,getDifferenceMode(),boolean,Gets the difference mode flag value common to all observed MBeans.
CounterMonitor,getInitThreshold(),Number,Gets the initial threshold value common to all observed objects.
CounterMonitor,getModulus(),Number,Gets the modulus value common to all observed MBeans.
CounterMonitor,getNotificationInfo(),MBeanNotificationInfo[],Returns a NotificationInfo object containing the name of the Java class of the notification and the notification types sent by the counter monitor.
CounterMonitor,getNotify(),boolean,Gets the notification's on/off switch value common to all observed MBeans.
CounterMonitor,getOffset(),Number,Gets the offset value common to all observed MBeans.
CounterMonitor,getThreshold(),Number,"Deprecated. As of JMX 1.2, replaced by getThreshold(ObjectName)"
CounterMonitor,getThreshold(ObjectName object),Number,"Gets the current threshold value of the specified object, if this object is contained in the set of observed MBeans, or null otherwise."
CounterMonitor,setDifferenceMode(boolean value),void,Sets the difference mode flag value common to all observed MBeans.
CounterMonitor,setInitThreshold(Number value),void,Sets the initial threshold value common to all observed objects.
CounterMonitor,setModulus(Number value),void,Sets the modulus value common to all observed MBeans.
CounterMonitor,setNotify(boolean value),void,Sets the notification's on/off switch value common to all observed MBeans.
CounterMonitor,setOffset(Number value),void,Sets the offset value common to all observed MBeans.
CounterMonitor,setThreshold(Number value),void,"Deprecated. As of JMX 1.2, replaced by setInitThreshold(java.lang.Number)"
CounterMonitor,start(),void,Starts the counter monitor.
CounterMonitor,stop(),void,Stops the counter monitor.
GaugeMonitor,getDerivedGauge(),Number,"Deprecated. As of JMX 1.2, replaced by getDerivedGauge(ObjectName)"
GaugeMonitor,getDerivedGauge(ObjectName object),Number,"Gets the derived gauge of the specified object, if this object is contained in the set of observed MBeans, or null otherwise."
GaugeMonitor,getDerivedGaugeTimeStamp(),long,"Deprecated. As of JMX 1.2, replaced by getDerivedGaugeTimeStamp(ObjectName)"
GaugeMonitor,getDerivedGaugeTimeStamp(ObjectName object),long,"Gets the derived gauge timestamp of the specified object, if this object is contained in the set of observed MBeans, or 0 otherwise."
GaugeMonitor,getDifferenceMode(),boolean,Gets the difference mode flag value common to all observed MBeans.
GaugeMonitor,getHighThreshold(),Number,Gets the high threshold value common to all observed MBeans.
GaugeMonitor,getLowThreshold(),Number,Gets the low threshold value common to all observed MBeans.
GaugeMonitor,getNotificationInfo(),MBeanNotificationInfo[],Returns a NotificationInfo object containing the name of the Java class of the notification and the notification types sent by the gauge monitor.
GaugeMonitor,getNotifyHigh(),boolean,Gets the high notification's on/off switch value common to all observed MBeans.
GaugeMonitor,getNotifyLow(),boolean,Gets the low notification's on/off switch value common to all observed MBeans.
GaugeMonitor,setDifferenceMode(boolean value),void,Sets the difference mode flag value common to all observed MBeans.
GaugeMonitor,setNotifyHigh(boolean value),void,Sets the high notification's on/off switch value common to all observed MBeans.
GaugeMonitor,setNotifyLow(boolean value),void,Sets the low notification's on/off switch value common to all observed MBeans.
GaugeMonitor,"setThresholds(Number highValue, Number lowValue)",void,Sets the high and the low threshold values common to all observed MBeans.
GaugeMonitor,start(),void,Starts the gauge monitor.
GaugeMonitor,stop(),void,Stops the gauge monitor.
Monitor,addObservedObject(ObjectName object),void,"Adds the specified object in the set of observed MBeans, if this object is not already present."
Monitor,containsObservedObject(ObjectName object),boolean,Tests whether the specified object is in the set of observed MBeans.
Monitor,getGranularityPeriod(),long,Gets the granularity period (in milliseconds).
