ClassName,Method,Return Type,Description,Full Description
CallSite,dynamicInvoker(),abstract MethodHandle,Produces a method handle equivalent to an invokedynamic instruction which has been linked to this call site.,"

dynamicInvoker
public abstract MethodHandle dynamicInvoker()
Produces a method handle equivalent to an invokedynamic instruction
 which has been linked to this call site.
 
 This method is equivalent to the following code:
 
 MethodHandle getTarget, invoker, result;
 getTarget = MethodHandles.publicLookup().bind(this, ""getTarget"", MethodType.methodType(MethodHandle.class));
 invoker = MethodHandles.exactInvoker(this.type());
 result = MethodHandles.foldArguments(invoker, getTarget)
 

Returns:
a method handle which always invokes this call site's current target


"
CallSite,getTarget(),abstract MethodHandle,"Returns the target method of the call site, according to the behavior defined by this call site's specific class.","

getTarget
public abstract MethodHandle getTarget()
Returns the target method of the call site, according to the
 behavior defined by this call site's specific class.
 The immediate subclasses of CallSite document the
 class-specific behaviors of this method.

Returns:
the current linkage state of the call site, its target method handle
See Also:
ConstantCallSite, 
VolatileCallSite, 
setTarget(java.lang.invoke.MethodHandle), 
ConstantCallSite.getTarget(), 
MutableCallSite.getTarget(), 
VolatileCallSite.getTarget()


"
CallSite,setTarget(MethodHandle newTarget),abstract void,"Updates the target method of this call site, according to the behavior defined by this call site's specific class.","

setTarget
public abstract void setTarget(MethodHandle newTarget)
Updates the target method of this call site, according to the
 behavior defined by this call site's specific class.
 The immediate subclasses of CallSite document the
 class-specific behaviors of this method.
 
 The type of the new target must be equal to
 the type of the old target.

Parameters:
newTarget - the new target
Throws:
NullPointerException - if the proposed new target is null
WrongMethodTypeException - if the proposed new target
         has a method type that differs from the previous target
See Also:
getTarget(), 
ConstantCallSite.setTarget(java.lang.invoke.MethodHandle), 
MutableCallSite.setTarget(java.lang.invoke.MethodHandle), 
VolatileCallSite.setTarget(java.lang.invoke.MethodHandle)


"
CallSite,type(),MethodType,Returns the type of this call site's target.,"

type
public MethodType type()
Returns the type of this call site's target.
 Although targets may change, any call site's type is permanent, and can never change to an unequal type.
 The setTarget method enforces this invariant by refusing any new target that does
 not have the previous target's type.

Returns:
the type of the current target, which is also the type of any future target


"
ConstantCallSite,dynamicInvoker(),MethodHandle,Returns this call site's permanent target.,"

dynamicInvoker
public final MethodHandle dynamicInvoker()
Returns this call site's permanent target.
 Since that target will never change, this is a correct implementation
 of CallSite.dynamicInvoker.

Specified by:
dynamicInvoker in class CallSite
Returns:
the immutable linkage state of this call site, a constant method handle
Throws:
IllegalStateException - if the ConstantCallSite constructor has not completed


"
ConstantCallSite,getTarget(),MethodHandle,"Returns the target method of the call site, which behaves like a final field of the ConstantCallSite.","

getTarget
public final MethodHandle getTarget()
Returns the target method of the call site, which behaves
 like a final field of the ConstantCallSite.
 That is, the target is always the original value passed
 to the constructor call which created this instance.

Specified by:
getTarget in class CallSite
Returns:
the immutable linkage state of this call site, a constant method handle
Throws:
IllegalStateException - if the ConstantCallSite constructor has not completed
See Also:
ConstantCallSite, 
VolatileCallSite, 
CallSite.setTarget(java.lang.invoke.MethodHandle), 
getTarget(), 
MutableCallSite.getTarget(), 
VolatileCallSite.getTarget()


"
ConstantCallSite,setTarget(MethodHandle ignore),void,Always throws an UnsupportedOperationException.,"

setTarget
public final void setTarget(MethodHandle ignore)
Always throws an UnsupportedOperationException.
 This kind of call site cannot change its target.

Specified by:
setTarget in class CallSite
Parameters:
ignore - a new target proposed for the call site, which is ignored
Throws:
UnsupportedOperationException - because this kind of call site cannot change its target
See Also:
CallSite.getTarget(), 
setTarget(java.lang.invoke.MethodHandle), 
MutableCallSite.setTarget(java.lang.invoke.MethodHandle), 
VolatileCallSite.setTarget(java.lang.invoke.MethodHandle)


"
LambdaMetafactory,"altMetafactory(MethodHandles.Lookup caller, String invokedName, MethodType invokedType, Object... args)",static CallSite,"Facilitates the creation of simple ""function objects"" that implement one or more interfaces by delegation to a provided MethodHandle, after appropriate type adaptation and partial evaluation of arguments.","

altMetafactory
public static CallSite altMetafactory(MethodHandles.Lookup caller,
                                      String invokedName,
                                      MethodType invokedType,
                                      Object... args)
                               throws LambdaConversionException
Facilitates the creation of simple ""function objects"" that implement one
 or more interfaces by delegation to a provided MethodHandle,
 after appropriate type adaptation and partial evaluation of arguments.
 Typically used as a bootstrap method for invokedynamic
 call sites, to support the lambda expression and method
 reference expression features of the Java Programming Language.

 This is the general, more flexible metafactory; a streamlined version
 is provided by metafactory(java.lang.invoke.MethodHandles.Lookup,
 String, MethodType, MethodType, MethodHandle, MethodType).
 A general description of the behavior of this method is provided
 above.

 The argument list for this method includes three fixed parameters,
 corresponding to the parameters automatically stacked by the VM for the
 bootstrap method in an invokedynamic invocation, and an Object[]
 parameter that contains additional parameters.  The declared argument
 list for this method is:

 
  CallSite altMetafactory(MethodHandles.Lookup caller,
                          String invokedName,
                          MethodType invokedType,
                          Object... args)
 
but it behaves as if the argument list is as follows:

 
  CallSite altMetafactory(MethodHandles.Lookup caller,
                          String invokedName,
                          MethodType invokedType,
                          MethodType samMethodType,
                          MethodHandle implMethod,
                          MethodType instantiatedMethodType,
                          int flags,
                          int markerInterfaceCount,  // IF flags has MARKERS set
                          Class... markerInterfaces, // IF flags has MARKERS set
                          int bridgeCount,           // IF flags has BRIDGES set
                          MethodType... bridges      // IF flags has BRIDGES set
                          )
 
Arguments that appear in the argument list for
 metafactory(MethodHandles.Lookup, String, MethodType, MethodType, MethodHandle, MethodType)
 have the same specification as in that method.  The additional arguments
 are interpreted as follows:
 
flags indicates additional options; this is a bitwise
     OR of desired flags.  Defined flags are FLAG_BRIDGES,
     FLAG_MARKERS, and FLAG_SERIALIZABLE.
markerInterfaceCount is the number of additional interfaces
     the function object should implement, and is present if and only if the
     FLAG_MARKERS flag is set.
markerInterfaces is a variable-length list of additional
     interfaces to implement, whose length equals markerInterfaceCount,
     and is present if and only if the FLAG_MARKERS flag is set.
bridgeCount is the number of additional method signatures
     the function object should implement, and is present if and only if
     the FLAG_BRIDGES flag is set.
bridges is a variable-length list of additional
     methods signatures to implement, whose length equals bridgeCount,
     and is present if and only if the FLAG_BRIDGES flag is set.

Each class named by markerInterfaces is subject to the same
 restrictions as Rd, the return type of invokedType,
 as described above.  Each MethodType
 named by bridges is subject to the same restrictions as
 samMethodType, as described above.

 When FLAG_SERIALIZABLE is set in flags, the function objects
 will implement Serializable, and will have a writeReplace
 method that returns an appropriate SerializedLambda.  The
 caller class must have an appropriate $deserializeLambda$
 method, as described in SerializedLambda.

 When the target of the CallSite returned from this method is
 invoked, the resulting function objects are instances of a class with
 the following properties:
 
The class implements the interface named by the return type
     of invokedType and any interfaces named by markerInterfaces
The class declares methods with the name given by invokedName,
     and the signature given by samMethodType and additional signatures
     given by bridges
The class may override methods from Object, and may
     implement methods related to serialization.


Parameters:
caller - Represents a lookup context with the accessibility
               privileges of the caller.  When used with invokedynamic,
               this is stacked automatically by the VM.
invokedName - The name of the method to implement.  When used with
                    invokedynamic, this is provided by the
                    NameAndType of the InvokeDynamic
                    structure and is stacked automatically by the VM.
invokedType - The expected signature of the CallSite.  The
                    parameter types represent the types of capture variables;
                    the return type is the interface to implement.   When
                    used with invokedynamic, this is provided by
                    the NameAndType of the InvokeDynamic
                    structure and is stacked automatically by the VM.
                    In the event that the implementation method is an
                    instance method and this signature has any parameters,
                    the first parameter in the invocation signature must
                    correspond to the receiver.
args - An Object[] array containing the required
                    arguments samMethodType, implMethod,
                    instantiatedMethodType, flags, and any
                    optional arguments, as described
                    altMetafactory(MethodHandles.Lookup, String, MethodType, Object...) above}
Returns:
a CallSite whose target can be used to perform capture, generating
         instances of the interface named by invokedType
Throws:
LambdaConversionException - If any of the linkage invariants
                                   described above
                                   are violated


"
LambdaMetafactory,"metafactory(MethodHandles.Lookup caller, String invokedName, MethodType invokedType, MethodType samMethodType, MethodHandle implMethod, MethodType instantiatedMethodType)",static CallSite,"Facilitates the creation of simple ""function objects"" that implement one or more interfaces by delegation to a provided MethodHandle, after appropriate type adaptation and partial evaluation of arguments.","

metafactory
public static CallSite metafactory(MethodHandles.Lookup caller,
                                   String invokedName,
                                   MethodType invokedType,
                                   MethodType samMethodType,
                                   MethodHandle implMethod,
                                   MethodType instantiatedMethodType)
                            throws LambdaConversionException
Facilitates the creation of simple ""function objects"" that implement one
 or more interfaces by delegation to a provided MethodHandle,
 after appropriate type adaptation and partial evaluation of arguments.
 Typically used as a bootstrap method for invokedynamic
 call sites, to support the lambda expression and method
 reference expression features of the Java Programming Language.

 This is the standard, streamlined metafactory; additional flexibility
 is provided by altMetafactory(MethodHandles.Lookup, String, MethodType, Object...).
 A general description of the behavior of this method is provided
 above.

 When the target of the CallSite returned from this method is
 invoked, the resulting function objects are instances of a class which
 implements the interface named by the return type of invokedType,
 declares a method with the name given by invokedName and the
 signature given by samMethodType.  It may also override additional
 methods from Object.

Parameters:
caller - Represents a lookup context with the accessibility
               privileges of the caller.  When used with invokedynamic,
               this is stacked automatically by the VM.
invokedName - The name of the method to implement.  When used with
                    invokedynamic, this is provided by the
                    NameAndType of the InvokeDynamic
                    structure and is stacked automatically by the VM.
invokedType - The expected signature of the CallSite.  The
                    parameter types represent the types of capture variables;
                    the return type is the interface to implement.   When
                    used with invokedynamic, this is provided by
                    the NameAndType of the InvokeDynamic
                    structure and is stacked automatically by the VM.
                    In the event that the implementation method is an
                    instance method and this signature has any parameters,
                    the first parameter in the invocation signature must
                    correspond to the receiver.
samMethodType - Signature and return type of method to be implemented
                      by the function object.
implMethod - A direct method handle describing the implementation
                   method which should be called (with suitable adaptation
                   of argument types, return types, and with captured
                   arguments prepended to the invocation arguments) at
                   invocation time.
instantiatedMethodType - The signature and return type that should
                               be enforced dynamically at invocation time.
                               This may be the same as samMethodType,
                               or may be a specialization of it.
Returns:
a CallSite whose target can be used to perform capture, generating
         instances of the interface named by invokedType
Throws:
LambdaConversionException - If any of the linkage invariants
                                   described above
                                   are violated


"
MethodHandle,"asCollector(Class<?> arrayType, int arrayLength)",MethodHandle,"Makes an array-collecting method handle, which accepts a given number of trailing positional arguments and collects them into an array argument.","

asCollector
public MethodHandle asCollector(Class<?> arrayType,
                                int arrayLength)
Makes an array-collecting method handle, which accepts a given number of trailing
 positional arguments and collects them into an array argument.
 The new method handle adapts, as its target,
 the current method handle.  The type of the adapter will be
 the same as the type of the target, except that a single trailing
 parameter (usually of type arrayType) is replaced by
 arrayLength parameters whose type is element type of arrayType.
 
 If the array type differs from the final argument type on the original target,
 the original target is adapted to take the array type directly,
 as if by a call to asType.
 
 When called, the adapter replaces its trailing arrayLength
 arguments by a single new array of type arrayType, whose elements
 comprise (in order) the replaced arguments.
 Finally the target is called.
 What the target eventually returns is returned unchanged by the adapter.
 
 (The array may also be a shared constant when arrayLength is zero.)
 
 (Note: The arrayType is often identical to the last
 parameter type of the original target.
 It is an explicit argument for symmetry with asSpreader, and also
 to allow the target to use a simple Object as its last parameter type.)
 
 In order to create a collecting adapter which is not restricted to a particular
 number of collected arguments, use asVarargsCollector instead.
 
 Here are some examples of array-collecting method handles:
 
MethodHandle deepToString = publicLookup()
  .findStatic(Arrays.class, ""deepToString"", methodType(String.class, Object[].class));
assertEquals(""[won]"",   (String) deepToString.invokeExact(new Object[]{""won""}));
MethodHandle ts1 = deepToString.asCollector(Object[].class, 1);
assertEquals(methodType(String.class, Object.class), ts1.type());
//assertEquals(""[won]"", (String) ts1.invokeExact(         new Object[]{""won""})); //FAIL
assertEquals(""[[won]]"", (String) ts1.invokeExact((Object) new Object[]{""won""}));
// arrayType can be a subtype of Object[]
MethodHandle ts2 = deepToString.asCollector(String[].class, 2);
assertEquals(methodType(String.class, String.class, String.class), ts2.type());
assertEquals(""[two, too]"", (String) ts2.invokeExact(""two"", ""too""));
MethodHandle ts0 = deepToString.asCollector(Object[].class, 0);
assertEquals(""[]"", (String) ts0.invokeExact());
// collectors can be nested, Lisp-style
MethodHandle ts22 = deepToString.asCollector(Object[].class, 3).asCollector(String[].class, 2);
assertEquals(""[A, B, [C, D]]"", ((String) ts22.invokeExact((Object)'A', (Object)""B"", ""C"", ""D"")));
// arrayType can be any primitive array type
MethodHandle bytesToString = publicLookup()
  .findStatic(Arrays.class, ""toString"", methodType(String.class, byte[].class))
  .asCollector(byte[].class, 3);
assertEquals(""[1, 2, 3]"", (String) bytesToString.invokeExact((byte)1, (byte)2, (byte)3));
MethodHandle longsToString = publicLookup()
  .findStatic(Arrays.class, ""toString"", methodType(String.class, long[].class))
  .asCollector(long[].class, 1);
assertEquals(""[123]"", (String) longsToString.invokeExact((long)123));
 

Parameters:
arrayType - often Object[], the type of the array argument which will collect the arguments
arrayLength - the number of arguments to collect into a new array argument
Returns:
a new method handle which collects some trailing argument
         into an array, before calling the original method handle
Throws:
NullPointerException - if arrayType is a null reference
IllegalArgumentException - if arrayType is not an array type
         or arrayType is not assignable to this method handle's trailing parameter type,
         or arrayLength is not a legal array size,
         or the resulting method handle's type would have
         too many parameters
WrongMethodTypeException - if the implied asType call fails
See Also:
asSpreader(java.lang.Class<?>, int), 
asVarargsCollector(java.lang.Class<?>)


"
