ClassName,Method,Return Type,Description
FileFilter,accept(File f),abstract boolean,Whether the given file is accepted by this filter.
FileFilter,getDescription(),abstract String,The description of this filter.
FileNameExtensionFilter,accept(File f),boolean,"Tests the specified file, returning true if the file is accepted, false otherwise."
FileNameExtensionFilter,getDescription(),String,The description of this filter.
FileNameExtensionFilter,getExtensions(),String[],Returns the set of file name extensions files are tested against.
FileNameExtensionFilter,toString(),String,Returns a string representation of the FileNameExtensionFilter.
FileSystemView,"createFileObject(File dir, String filename)",File,Returns a File object constructed in dir from the given filename.
FileSystemView,createFileObject(String path),File,Returns a File object constructed from the given path string.
FileSystemView,createFileSystemRoot(File f),protected File,Creates a new File object for f with correct behavior for a file system root directory.
FileSystemView,createNewFolder(File containingDir),abstract File,Creates a new folder with a default folder name.
FileSystemView,"getChild(File parent, String fileName)",File,NULL
FileSystemView,getDefaultDirectory(),File,Return the user's default starting directory for the file chooser.
FileSystemView,"getFiles(File dir, boolean useFileHiding)",File[],Gets the list of shown (i.e.
FileSystemView,getFileSystemView(),static FileSystemView,NULL
FileSystemView,getHomeDirectory(),File,NULL
FileSystemView,getParentDirectory(File dir),File,Returns the parent directory of dir.
FileSystemView,getRoots(),File[],Returns all root partitions on this system.
FileSystemView,getSystemDisplayName(File f),String,"Name of a file, directory, or folder as it would be displayed in a system file browser."
FileSystemView,getSystemIcon(File f),Icon,"Icon for a file, directory, or folder as it would be displayed in a system file browser."
FileSystemView,getSystemTypeDescription(File f),String,"Type description for a file, directory, or folder as it would be displayed in a system file browser."
FileSystemView,isComputerNode(File dir),boolean,"Used by UI classes to decide whether to display a special icon for a computer node, e.g."
FileSystemView,isDrive(File dir),boolean,"Used by UI classes to decide whether to display a special icon for drives or partitions, e.g."
FileSystemView,isFileSystem(File f),boolean,"Checks if f represents a real directory or file as opposed to a special folder such as ""Desktop""."
FileSystemView,isFileSystemRoot(File dir),boolean,"Is dir the root of a tree in the file system, such as a drive or partition."
FileSystemView,isFloppyDrive(File dir),boolean,Used by UI classes to decide whether to display a special icon for a floppy disk.
FileSystemView,isHiddenFile(File f),boolean,Returns whether a file is hidden or not.
FileSystemView,"isParent(File folder, File file)",boolean,"On Windows, a file can appear in multiple folders, other than its parent directory in the filesystem."
FileSystemView,isRoot(File f),boolean,Determines if the given file is a root in the navigable tree(s).
FileSystemView,isTraversable(File f),Boolean,Returns true if the file (directory) can be visited.
FileView,getDescription(File f),String,A human readable description of the file.
FileView,getIcon(File f),Icon,The icon that represents this file in the JFileChooser.
FileView,getName(File f),String,The name of the file.
FileView,getTypeDescription(File f),String,A human readable description of the type of the file.
FileView,isTraversable(File f),Boolean,Whether the directory is traversable or not.
