Sample Number,ClassName,Snippet Number,Method,Exist
0,AtomicBoolean,1,void set(boolean newValue),True
0,AtomicBoolean,2,boolean get(),True
0,AtomicBoolean,3,"boolean compareAndSet(boolean expect, boolean update)",True
0,AtomicBoolean,4,boolean getAndSet(boolean newValue),True
0,AtomicBoolean,5,String toString(),True
1,AtomicInteger,1,int get(),True
1,AtomicInteger,2,void set(int newValue),True
1,AtomicInteger,3,int incrementAndGet(),True
1,AtomicInteger,4,int decrementAndGet(),True
1,AtomicInteger,5,int getAndIncrement(),True
4,AtomicLong,1,long get(),True
4,AtomicLong,2,void set(long newValue),True
4,AtomicLong,3,long incrementAndGet(),True
4,AtomicLong,4,long decrementAndGet(),True
4,AtomicLong,5,long addAndGet(long delta),True
6,AtomicLongFieldUpdater,1,"void set(Object obj, long newValue)",False
6,AtomicLongFieldUpdater,2,long get(Object obj),False
6,AtomicLongFieldUpdater,3,"long getAndSet(Object obj, long newValue)",False
6,AtomicLongFieldUpdater,4,"boolean compareAndSet(Object obj, long expect, long update)",False
6,AtomicLongFieldUpdater,5,long incrementAndGet(Object obj),False
7,AtomicMarkableReference,1,"boolean attemptMark(Object expectedReference, boolean newMark)",False
7,AtomicMarkableReference,2,boolean isMarked(),True
7,AtomicMarkableReference,3,"boolean compareAndSet(Object expectedReference, Object newReference, boolean expectedMark, boolean newMark)",False
7,AtomicMarkableReference,4,"Pair<V, Boolean> get()",False
7,AtomicMarkableReference,5,V getReference(),True
8,AtomicReference,1,void set(V newValue),True
8,AtomicReference,2,V get(),True
8,AtomicReference,3,"boolean compareAndSet(V expect, V update)",True
8,AtomicReference,4,V getAndSet(V newValue),True
8,AtomicReference,5,"boolean weakCompareAndSet(V expect, V update)",True
9,AtomicReferenceArray,1,"void set(int index, E newValue)",True
9,AtomicReferenceArray,2,"boolean compareAndSet(int index, E expect, E update)",True
9,AtomicReferenceArray,3,E get(int index),True
9,AtomicReferenceArray,4,int length(),True
9,AtomicReferenceArray,5,int hashCode(),False
10,AtomicReferenceFieldUpdater,1,"void set(Object obj, V newValue)",False
10,AtomicReferenceFieldUpdater,2,V get(Object obj),False
10,AtomicReferenceFieldUpdater,3,"boolean compareAndSet(Object obj, V expect, V update)",False
10,AtomicReferenceFieldUpdater,4,"V getAndSet(Object obj, V newValue)",False
10,AtomicReferenceFieldUpdater,5,"boolean weakCompareAndSet(Object obj, V expect, V update)",False
11,AtomicStampedReference,1,"void set(V reference, int stamp)",True
11,AtomicStampedReference,2,V getReference(),True
11,AtomicStampedReference,3,int getStamp(),True
11,AtomicStampedReference,4,"boolean weakCompareAndSet(V expectedReference, V newReference, int expectedStamp, int newStamp)",True
11,AtomicStampedReference,5,"boolean compareAndSet(V expectedReference, V newReference, int expectedStamp, int newStamp)",True
12,DoubleAccumulator,1,double get(),True
12,DoubleAccumulator,2,void reset(),True
12,DoubleAccumulator,3,double accumulate(double x),False
12,DoubleAccumulator,4,"void accumulate(double x, DoubleBinaryOperator accumulatorFunction)",False
12,DoubleAccumulator,5,DoubleAccumulator getThenReset(),False
14,LongAccumulator,1,void accumulate(long x),True
14,LongAccumulator,2,long get(),True
14,LongAccumulator,3,void reset(),True
14,LongAccumulator,4,long getThenReset(),True
14,LongAccumulator,5,void accumulateThenReset(long x),False
15,LongAdder,1,void add(long x),True
15,LongAdder,2,void increment(),True
15,LongAdder,3,void decrement(),True
15,LongAdder,4,long sum(),True
15,LongAdder,5,void reset(),True
